facility_owner_id,facility_owner_name,address_1,address_2,city,county,state,zip,phone,fax,owner_comment,contact_name,tax_id,created_by,created_date,updated_by,updated_date,email_addr,ownership
1,APACHE COUNTY,"""75 W. CLEVELAND
PO BOX 238""",,Saint Johns,Apache,AZ,85936.0,(602) 337-4364,,,,,,2014-02-10 19:05:27,,,,
2,Kayenta Motors and Supply,4 MAIN STREET,,Blanding,San Juan,UT,84511.0,(801) 587-2208,,,,,,2014-02-10 19:05:27,,,,
3,Navajo Nation Oil & Gas aka Navajo Petroleum,P.O. BOX 4439,,Window Rock,McKinley,AZ,86515.0,(520) 871-4880,,"""PROVIDES DIRECT OVERSIGHT TO OPERATIONS IN KAYENTA, CHINLE, AND WINDOW ROCK; 
FRANCHISE STATIONS:
NAV274 - BLACK MESA
NAV237 - SUPER K
NAV265 - WALLY'S CHEVRON
NAV179 - JUNCTION ENTERPRISES""",Sandra Jackson or Gregory Hudson,,,2014-02-10 19:05:27,RJAMISON,2019-04-05 16:23:12,,Government - Tribal
4,BIA,"""FACILITY MANAGEMENT
P.O. BOX 7H""",,Chinle,Apache,AZ,86503.0,(602) 674-5201,,,LEO GRIEGS,,,2014-02-10 19:05:27,,,,
5,ADOT EQUIPMENT SERVICES,2225  S. 22nd AVE.,,Phoenix,Maricopa,AZ,85009.0,(602) 255-6500,,,JERRY G. WEST,,,2014-02-10 19:05:27,,,,
6,,710 E. 20TH ST.,,Farmington,San Juan,NM,87401.0,(505) 326-5571,,,ROBERT JOHNSON,,,2014-02-10 19:05:27,,,,
7,BLACK OIL CO.,P.O. BOX 278,,Blanding,San Juan,UT,84511.0,(801) 727-3210,,,EVELYN JENSEN,,,2014-02-10 19:05:28,,,,
8,BLUE GAP TRADING CO.,P.O. BOX 4412,,Blue Gap,Navajo,AZ,86520.0,(520) 725-3222,,,WALLACE ANDERSON,,,2014-02-10 19:05:28,,,,
9,CLARA BURCH,P.O. BOX 50,,Thoreau,Mckinley,NM,87323.0,(505) 786-5578,,,CLARA BURCH,,,2014-02-10 19:05:28,,,,
10,KENNETH CAYADITTO SERVICE STATION,"""ST. RTE. 2
P.O. BOX 6""",,Cuba,Sandoval,NM,87013.0,(505) 731-2339,,Most recent tank notice 5/16/90. Shown as allotment land on Jicarilla Apache I.R. Checking with Tom Gray of State of New Mexico stationed in Farmington.,KENNETH CAYADITTO,,,2014-02-10 19:05:28,,,,
11,INDIAN CAPITAL DIST. CO.,P.O. BOX 180,,Gallup,mckinley,NM,87305.0,(505) 722-5355,,,DON JACOBS,,,2014-02-10 19:05:28,,,,
12,CEDAR RIDGE TRADING POST CO.,US RTE. 89 - 50 MILES N. OF CAMERON,,Cameron,,AZ,86020.0,(602) 283-5641,,,LEO LEE,,,2014-02-10 19:05:28,,,,
13,CENTRAL CONSOLIDATED SCHOOL DISTRICT 22,558 ROAD 6100,,Kirtland,San Juan,NM,87417.0,(505) 598-5834,,,ROY WATERS,,,2014-02-10 19:05:28,,,,
14,CHEVRON USA,NO STREET ADDRESS,,Concord,Contra Costa,CA,94524.0,(510) 111-1111,,,CLYDE BAKER,,,2014-02-10 19:05:28,,,,
15,CHINLE UNIFIED SCHOOL DISTRICT 24,P.O. BOX 587,,Chinle,Apache,AZ,86503.0,(602) 674-3481,,,LAFEY TSO,,,2014-02-10 19:05:28,,,,
16,CIRCLE K STORES INC.,"""P.O. BOX 52085
3553 CENTRAL AVE., 4TH FLOOR""",,Phoenix,Maricopa,AZ,85012.0,(602) 530-5089,,,MYRON SMITH,,,2014-02-10 19:05:28,,,,
17,"""CHIEF CONOCO, INC.""",P.O. BOX 250,,Shiprock,San Juan,NM,87420.0,(505) 368-4535,,,LARRY WILKERSON,,,2014-02-10 19:05:28,,,,
