ut_facility_owner_hist_id,facility_id,start_date,end_date,date_observed,created_by,created_date,updated_by,updated_date,responsible_entity_id,entity_contact_id,facility_owner_id_obs
2,2,,,2004-03-08 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,398,,2.0
3,3,,,2001-01-17 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,399,390.0,3.0
4,4,,,1998-07-27 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,400,391.0,4.0
5,5,,,1997-05-20 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,401,392.0,5.0
6,6,,,1997-05-20 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,401,392.0,5.0
7,7,,,1997-08-13 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,402,393.0,6.0
8,8,,,1997-08-13 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,402,393.0,6.0
9,9,,,1998-07-27 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,400,391.0,4.0
10,10,,,1998-07-27 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,400,391.0,4.0
11,11,,,1998-07-27 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,400,391.0,4.0
12,12,,,1998-07-27 00:00:00,,2014-02-10 19:05:27,,2022-10-06 08:00:38,400,391.0,4.0
14,14,,,1998-07-27 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,400,391.0,4.0
15,15,,,2000-05-09 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,403,394.0,7.0
16,16,,,2003-08-12 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,404,395.0,8.0
17,17,,,1997-05-28 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,405,396.0,9.0
18,18,,,2002-03-26 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,406,397.0,10.0
19,19,,,1997-10-21 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,407,398.0,11.0
20,20,,,2002-10-09 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,407,398.0,11.0
21,21,,,1997-06-03 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,408,399.0,12.0
22,22,,,1998-07-20 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,409,400.0,13.0
23,23,,,1998-07-20 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,409,400.0,13.0
24,24,,,1998-07-20 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,410,401.0,14.0
25,25,,,1997-06-03 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,411,402.0,15.0
26,26,,,1997-06-03 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,411,402.0,15.0
28,28,,,1998-08-12 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,412,403.0,16.0
29,29,,,1997-06-04 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,412,403.0,16.0
30,30,,,1997-08-13 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,402,393.0,6.0
31,31,,,1997-06-04 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,413,404.0,17.0
33,33,,,1997-06-04 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,415,406.0,19.0
34,34,,,1997-06-04 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,416,407.0,20.0
36,36,,,2002-10-17 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,418,409.0,22.0
37,37,,,2002-08-05 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,419,410.0,23.0
39,39,,,1997-06-04 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,421,412.0,25.0
40,40,,,1997-08-13 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,402,393.0,6.0
42,42,,,1997-06-05 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,423,414.0,27.0
44,44,,,2003-07-17 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,424,415.0,28.0
45,45,,,1997-06-03 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,411,402.0,15.0
49,49,,,2002-10-08 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,428,419.0,32.0
50,50,,,2002-10-08 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,428,419.0,32.0
52,52,,,2003-08-07 00:00:00,,2014-02-10 19:05:28,,2022-10-06 08:00:38,430,421.0,34.0
54,54,,,2004-03-09 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,432,423.0,36.0
56,56,,,2002-03-28 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,434,,38.0
57,57,,,1997-08-07 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,435,,39.0
59,59,,,1997-08-13 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,402,393.0,6.0
60,60,,,2002-11-20 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,437,426.0,41.0
61,61,,,2002-08-15 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,438,427.0,42.0
62,62,,,1997-10-21 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,439,,43.0
64,64,,,1999-05-27 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,441,,45.0
65,65,,,1997-10-21 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,442,,46.0
69,69,,,1997-08-08 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,446,432.0,50.0
72,72,,,2002-10-07 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,445,431.0,49.0
73,73,,,2001-01-17 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,399,390.0,3.0
75,75,,,2002-10-07 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,445,431.0,49.0
76,76,,,2002-10-07 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,445,431.0,49.0
77,77,,,2000-04-27 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,448,433.0,52.0
78,78,,,2000-04-27 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,448,433.0,52.0
80,80,,,1997-08-12 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,449,,53.0
82,82,,,2001-04-16 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,451,,55.0
83,83,,,2003-08-13 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,420,411.0,24.0
86,86,,,1999-03-14 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,453,436.0,57.0
87,87,,,1997-08-12 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,454,437.0,58.0
90,90,,,2002-04-01 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,456,438.0,60.0
92,92,,,1997-08-14 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,458,440.0,62.0
93,93,,,2001-01-17 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,399,390.0,3.0
95,95,,,2002-10-17 00:00:00,,2014-02-10 19:05:29,,2022-10-06 08:00:38,418,409.0,22.0
96,96,,,2002-10-17 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,418,409.0,22.0
99,99,,,2000-05-09 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,460,442.0,64.0
100,100,,,1998-07-20 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,409,400.0,13.0
102,102,,,1997-08-14 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,462,443.0,66.0
103,103,,,2002-09-05 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,463,444.0,67.0
106,106,,,2001-10-15 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,465,445.0,69.0
107,107,,,1997-08-17 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,466,446.0,70.0
108,108,,,2003-04-01 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,467,,71.0
112,112,,,2002-04-01 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,456,438.0,60.0
114,114,,,2003-04-01 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,467,,71.0
116,116,,,2003-07-17 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,424,415.0,28.0
117,117,,,2003-07-17 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,424,415.0,28.0
119,119,,,2003-07-17 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,424,415.0,28.0
121,121,,,2003-07-17 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,424,415.0,28.0
124,124,,,2003-07-17 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,424,415.0,28.0
125,125,,,1997-08-13 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,402,393.0,6.0
127,127,,,2002-04-01 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,456,438.0,60.0
128,128,,,2002-04-01 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,456,438.0,60.0
130,130,,,2003-07-17 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,424,415.0,28.0
131,131,,,2002-04-01 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,456,438.0,60.0
132,132,,,2003-04-01 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,467,,71.0
133,133,,,2002-04-01 00:00:00,,2014-02-10 19:05:30,,2022-10-06 08:00:38,456,438.0,60.0
137,137,,,1997-08-13 00:00:00,,2014-02-10 19:05:31,,2022-10-06 08:00:38,402,393.0,6.0
139,139,,,1997-09-24 00:00:00,,2014-02-10 19:05:31,,2022-10-06 08:00:38,471,449.0,75.0
140,140,1996-04-24,,2001-09-25 00:00:00,,2014-02-10 19:05:31,,2022-10-06 08:00:38,472,450.0,76.0
141,141,,,1998-07-20 00:00:00,,2014-02-10 19:05:31,,2022-10-06 08:00:38,473,451.0,77.0
143,143,,2022-02-01 00:00:00,1998-07-20 00:00:00,,2014-02-10 19:05:31,,2022-10-06 08:00:38,473,451.0,77.0
145,145,,,1997-10-21 00:00:00,,2014-02-10 19:05:31,,2022-10-06 08:00:38,475,453.0,79.0
146,146,,,2001-01-17 00:00:00,,2014-02-10 19:05:31,,2022-10-06 08:00:38,399,390.0,3.0
