land_use_id,land_location_id,land_use_type_id,start_date,end_date,date_observed,land_use_note,created_by,created_date,updated_by,updated_date
1,1,16,,,1987-02-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
2,2,17,,,1986-04-09 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
3,3,12,,,1997-10-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
4,4,4,,,1986-04-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
5,5,13,,,1993-09-27 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
6,6,13,,,1991-04-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
7,7,1,,,2000-11-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
8,8,12,,,1995-08-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
9,9,4,,,1986-04-29 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
10,10,4,,,1986-04-29 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
11,11,4,,,1986-04-29 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
12,12,4,,,1986-04-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
13,13,13,,,1986-05-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
14,14,4,,,1989-12-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
15,15,1,,,1986-04-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
16,16,1,,,1988-12-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
17,17,1,,,1988-12-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
18,18,1,,,1990-05-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
19,19,1,,,1988-10-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
20,20,12,,,1986-04-06 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
21,21,12,,,1986-04-14 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
22,22,13,,,1991-04-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
23,23,13,,,2002-06-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
24,24,12,,,1986-04-22 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
25,25,13,,,1989-04-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
26,26,13,,,1989-04-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
27,27,13,,,1989-04-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
28,28,12,,,1999-01-26 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
29,29,12,,,1986-04-24 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
30,30,1,,2021-08-24,1986-05-07 00:00:00,Migrated from previous TLUST system. Tanks installed ~1990.,,2014-02-10 18:37:33,LBRANDT,2022-09-27 13:38:24
31,31,12,,,1986-04-09 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
32,32,12,,,1989-05-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
33,33,8,,,1993-05-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
34,34,12,,,1986-05-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
35,35,12,,,1986-04-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
36,36,1,,,1992-12-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
37,37,8,,,1996-01-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
38,38,1,,,1995-11-06 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
39,39,12,,,1989-08-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
40,40,1,,,1995-09-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
41,41,13,,,1993-08-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
42,42,12,,,1986-04-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
43,43,1,,,2003-01-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
44,44,1,,,1995-08-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
45,45,13,,,1989-02-24 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
46,46,14,,,1989-02-24 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
47,47,1,,,1995-01-31 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
48,48,8,,,2000-10-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
49,49,4,,,1993-04-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
50,50,4,,,1992-08-18 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
51,51,1,,,1992-03-09 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
52,52,1,,,1995-08-29 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
53,53,13,,,1990-10-02 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
54,54,1,,,1986-04-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
55,55,1,,,1989-11-14 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
56,56,1,,,1986-04-11 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
57,57,1,,,1997-02-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
58,58,1,,,1990-04-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
