release_priority_id,release_id,rank_date,rank_score,soil_contam_observed,gw_contam_observed,primary_coc,limited_source_rem,gw_used,gw_assess_uncertainty,vapor_intrusion_pathway,vi_assess_uncertainty,direct_contact_pathway,direct_contact_uncertainty,other_pathway_desc,other_pathway_certainty,other_pathway_likelihood,closest_receptor_well_lat,closest_receptor_well_long,impacted_well,dw_exposure_control,future_use_impaired,future_use_5yr,residual_napl,napl_migrating,ranking_narrative,created_by,created_date,updated_by,updated_date,priority_for_tribe
109,277,2013-03-22,1,Y,Y,Benzene,N,Not Likely,Medium,Possible,Medium,Possible,Medium,,NA,NA,,,,,,,Measurable,,"On 12/12/01, the Tribe paid for the removal of 3 USTs and conducted some remedial work. On 6/12/09, BERS sampled the 5 site groundwater monitoring wells and found several inches of free product in MW-4 (this was an allowed use of LUST Trust Funds to determine what contamination remained).
After removing the free product and sampling the underlying water, BERS obtained 110 ppb benzene (versus the 5 ppb MCL). Groundwater has been as shallow as 5 feet bgs. One residences is within 60 feet of the Site. The nearest downgradient Tribal drinking water well is 0.7 mile from the Site. Vapor intrusion is an issue; may need V.I. Survey. 
",,2014-02-11 10:52:21,,,
110,278,2013-03-22,3,,,MtBE,N,Not Likely,Medium,Not Likely,Medium,Possible,Medium,"Potential migration of dissolved hydrocarbons to the Tribal marina on Lake Havasu, about 200 feet downgradient.",Medium,Possible,,,,,,,ERROR,,"10+ years ago, the Tribe’s contractor removed the previous USTs, removed PCS, and conducted some remediation.  However, the remaining hydrocarbon concentrations in soil are unknown since no confirmatory soil sampling was conducted. The highest historical MTBE in groundwater was 22,000 ppb. Years ago, the Tribe shut down 2 downgradient drinking water wells (one had 40 ppb MTBE). Two of the remaining groundwater monitoring wells at the Site were sampled in the last quarter and the VOC results were ND. The Tribe did not respond to our request for a Tribal Council or Planning Department resolution stating that no drinking water wells would be installed at the Site. The former UST area is about 200 feet from the Tribe’s marina on Lake Havasu. I’ll send an email to the Tribe asking for confirmatory soil samples.
",,2014-02-11 10:52:21,,,
111,279,2013-03-22,3,,,MtBE,N,Not Likely,Medium,Not Likely,Medium,Possible,Medium,"Potential migration of dissolved hydrocarbons to the Tribal marina on Lake Havasu, about 200 feet downgradient.",Medium,Possible,,,,,,,ERROR,,"10+ years ago, the Tribe’s contractor removed the previous USTs, removed PCS, and conducted some remediation.  However, the remaining hydrocarbon concentrations in soil are unknown since no confirmatory soil sampling was conducted. The highest historical MTBE in groundwater was 22,000 ppb. Years ago, the Tribe shut down 2 downgradient drinking water wells (one had 40 ppb MTBE). Two of the remaining groundwater monitoring wells at the Site were sampled in the last quarter and the VOC results were ND. The Tribe did not respond to our request for a Tribal Council or Planning Department resolution stating that no drinking water wells would be installed at the Site. The former UST area is about 200 feet from the Tribe’s marina on Lake Havasu. I’ll send an email to the Tribe asking for confirmatory soil samples.
",,2014-02-11 10:52:21,,,
112,281,2013-03-22,3,Y,Y,Benzene,Y,Not Likely,Medium,Possible,Medium,Not Likely,Medium,,NA,NA,,,,,,,Measurable,,"Up to a foot of free product was present on the water table in the last quarter. The Tribe’s contractor is conducting free product recovery with a vacuum truck and passive skimmers. The free product and dissolved plumes appear to be stable. The primary receptor appears to be Lake Havasu (the Tribe’s marina), about 500 feet downgradient.
",,2014-02-11 10:52:21,,,
113,282,2013-03-26,4,N,Y,Benzene,Y,Not Likely,Medium,Not Likely,Low,Not Likely,Low,Surface Water,High,Possible,,,No,Yes,No,No,None,No,"MTBE detected in shallow GW sample at 77ug/L in 2004. GW sample from excavation pit contained B: 20ug/L, X: 260 ug/L, Petroleum Hydrocarbons 0.8 ug/L in 2006. However there was no MTBE analysis on soil/GW. No soil contamination observed. Limited groundwater contamination. Last assessment activities in 2006. Two 410 ft production wells located 800 feet west of site. GW flow in vicinity of site is SE to Beaver Creek, which flows into Verde River. GW in area primarily obtained from shallow alluvial aquifers associated with Verde River, but deeper aquifers also utilized. ",,2014-02-11 10:52:21,,,
114,284,2013-03-22,4,Y,,Benzene,Y,Not Likely,Medium,Possible,Medium,Not Likely,Medium,,NA,NA,,,,,,,ERROR,,"UST removal by Tribe and benzene residential RSL exceeded at 16’ bgs. Groundwater is shallow and may be in close proximity to the benzene-contaminated soil. The Army Corps obtained no VOC detections in an agricultural well about 500’ west of the Site (probably downgradient). NFA letter has been drafted. 
",,2014-02-11 10:52:21,,,
115,288,2013-02-27,2,Y,Y,TPH-D,Y,Not Likely,Medium,Possible,High,Not Likely,Low,surface water,High,Possible,,,No,Yes,Yes,Yes,Measurable,Yes,"Stable plume. NAPL remains in groundwater. No current exposure: Seepage of product in drainage canal has been controlled with the installation of the interceptor pipe. Ongoing passive skimmer system recovers free product. Future use of groundwater and land may be impaired by contamination. 
",,2014-02-11 10:52:21,,,
116,291,2013-02-27,4,Y,Y,Benzene,Y,Not Likely,High,Possible,High,Not Likely,Medium,surface water,High,Possible,,,No,Yes,Yes,No,Sheen,Yes,"Limited site characterization – elevated benzene and TPH concentration in soil at 7’ bgs and 9’ bgs  (max benzene at 1.6 ppm @ 9’ bgs (capillary fringe); max TPH at 4,340 ppm at 9’bgs). Groundwater is at 9’-10’ bgs and observed to be contaminated (no confirmation samples taken). Unknown exposure at receptor points: Nearest groundwater well is 1,000 feet west (within ¼ mile) and the drainage canal is 2,000 feet east (within ½ mile).
",,2014-02-11 10:52:21,,,
117,292,2013-02-27,4,Y,Y,TPH-D,Y,Not Likely,Low,Not Likely,Low,Not Likely,Medium,surface water,Medium,Possible,,,No,Yes,Yes,No,None,Yes,"Limited site characterization (1 soil sample) – elevated TPH in soil at 9’ bgs.  TPH-DRO at 16,200 ppm. Unknown exposure at receptor points: Drainage canal is within ¼ mile to the west. Groundwater is at 9’-10’ bgs and maybe impacted
",,2014-02-11 10:52:21,,,
118,295,2013-02-27,1,Y,Y,Benzene,Y,Likely,Low,Likely,Medium,Possible,High,surface water,Low,Likely,,,No,Yes,Yes,Yes,None,Yes,"Potential exposure at receptor points based on current CSM: adjacent to the Colorado River to the east ; drinking water well within 300 feet; soil and groundwater impacted. Groundwater is at 5-8’ bgs; flows toward the east. Contaminated soil is deeper than 10’ bgs based on site characterization during the 1999 UST removal.  Limitation of equipment prevented further delineation and excavated contaminated soil was returned to the excavation. Elevated BTEX and MTBE in soil:  At 6’ bgs, B was at 140 ppm, T at 810 ppm, E at 250 ppm, X at 2,100 ppm and MTBE at 3.8 ppm. Maximum concentration in groundwater:  B at 7 ppm, T at 10 ppm, E at 2.1 ppm, X at 6 ppm; all above AWQS except xylene.
",,2014-02-11 10:52:21,,,
