tribe_id,region_id,epa_internal_id,current_name,old_ustrac_name,current_name_start_date,current_name_end_date,bia_code,bia_recognized_indicator,created_by,created_date,updated_by,updated_date,trustd_custom_tribe_name
235,8,100000171.0,"Navajo Nation, Arizona, New Mexico, & Utah",NAVAJO,2000-03-03 00:00:00,,780,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
236,8,100000180.0,"Ohkay Owingeh, New Mexico",,2007-03-22 00:00:00,,714,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
237,8,100000185.0,The Osage Nation,,2012-08-10 00:00:00,,930,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
238,8,100000186.0,Ottawa Tribe of Oklahoma,,1000-01-01 00:00:00,,922,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
239,8,100000187.0,"Otoe-Missouria Tribe of Indians, Oklahoma",,1996-11-13 00:00:00,,811,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
240,8,100000197.0,Pawnee Nation of Oklahoma,,2000-03-03 00:00:00,,812,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
241,8,100000200.0,Peoria Tribe of Indians of Oklahoma,,1997-10-23 00:00:00,,926,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
242,8,100000206.0,Ponca Tribe of Indians of Oklahoma,,1982-11-24 00:00:00,,813,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
243,8,100000212.0,"Pueblo of Acoma, New Mexico",,1982-11-24 00:00:00,,703,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
244,8,100000213.0,"Pueblo of Cochiti, New Mexico",,1982-11-24 00:00:00,,704,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
245,8,100000214.0,"Pueblo of Jemez, New Mexico",,1982-11-24 00:00:00,,706,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
246,8,100000215.0,"Pueblo of Isleta, New Mexico",,1982-11-24 00:00:00,,705,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
247,8,100000216.0,"Pueblo of Laguna, New Mexico",,1982-11-24 00:00:00,,707,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
248,8,100000217.0,"Pueblo of Nambe, New Mexico",,1982-11-24 00:00:00,,708,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
249,8,100000218.0,"Pueblo of Picuris, New Mexico",,1982-11-24 00:00:00,,709,1.0,,2020-06-27 10:25:27,,2023-07-21 03:00:03,
