FACILITYID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID
6001281,AOC - CAPITOL GROUNDS AUTOMOTIVE GARAGE,Federal Government - Non Military,Other,,"14 E ST SE
CAPITOL GROUNDS GARAGE",,Washington DC,,20003,DC,3,,,38.88348153,-77.00770527,,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2005410,SENATE UNDERGROUND PARKING GARAGE,Federal Government - Non Military,Other,,N JERSEY AV & C ST NW,,Washington DC,,20001,DC,3,,,38.8935697,-77.01052049,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,Yes,98023.0
8000066,AOC - BOTANICAL GARDEN SUPPLY,Federal Government - Non Military,Other,,"4700 SHEPHERD PW SW
BLUE PLAINS DRIVE SW",,Washington DC,,20032,DC,3,,,38.81811471,-77.01580879,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2000139,FORD HOUSE OFFICE BUILDING,Federal Government - Non Military,Other,,D ST & VIRGINIA AV SW,,Washington DC,,20024,DC,3,,,38.8848407,-77.01920228,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2000141,HART SENATE OFFICE BUILDING,Federal Government - Non Military,Other,,CONSTITUTION AV & 2ND ST NE,,Washington DC,,20001,DC,3,,,38.89200996,-77.00351455,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,No,
9000824,LONGWORTH OFFICE HOUSE BUILDING,Federal Government - Non Military,Other,,1ST AND INDEPENCE AV SE,,Washington DC,,20003,DC,3,,,38.88761234,-77.00589703,,ARCHITECT OF THE CAPITOL,,No,No,No,No,No,No,No,No,No,No,No,,No,
9000855,RUSSEL BUILDING,Federal Government - Non Military,Other,,"100 CONSTITUTION AV NE
C ST & DELAWARE AVE NE",,Washington DC,,20510,DC,3,,,38.89362885,-77.00757531,,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2019019.0
9000937,AOC - JOHN ADAMS BUILDING,Federal Government - Non Military,Other,,110 2ND ST SE,,Washington DC,,20540,DC,3,,,38.88848492,-77.00282522,,ARCHITECT OF THE CAPITOL, 21,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2000149,CAPITOL POLICE HQ PARKING LOT,Federal Government - Non Military,Other,,119 D ST NE,,Washington DC,,20002,DC,3,,,38.89448966,-77.00469795,,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,No,
6000011,THOMAS JEFFERSON LIBRARY OF CONGRESS,Federal Government - Non Military,Other,,"2ND & E CAPITOL ST SE
10 1ST ST SE",,Washington DC,,20003,DC,3,,,38.88322,-77.00352,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
9000663,US GOVT/SUPREME COURT,Federal Government - Non Military,Other,,1ST & E CAPITOL ST NE,,Washington DC,,20002,DC,3,,,38.90566,-77.01055,Geocoded address,ARCHITECT OF THE CAPITOL,,No,No,No,No,No,No,No,No,No,No,No,,No,
9000692,CAPITAL VISITOR CENTER,Federal Government - Non Military,Other,,NEW JERSEY & CONSTITUTION AV,,Washington DC,,20002,DC,3,,,38.89207,-77.00995,,ARCHITECT OF THE CAPITOL,,No,No,No,No,No,No,No,No,No,No,No,,No,
9000724,PARKING LOT #10,Federal Government - Non Military,Other,,27 IVY ST SW,,Washington DC,,20003,DC,3,,,38.88409,-77.00822,Geocoded address,ARCHITECT OF THE CAPITOL,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2006015.0
9000730,AOC - CAPITOL POWER PLANT SOUTH SITE,Federal Government - Non Military,Other,,"42 I STREET SE
25 I ST SE",,Washington DC,,20003,DC,3,,,38.87950091,-77.00770415,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2000142,DIRKSEN SENATE OFFICE BUILDING,Federal Government - Non Military,Other,,1ST ST & C ST NE,,Washington DC,,20002,DC,3,,,38.89362525,-77.00588854,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,Yes,98021.0
2000143,RAYBURN HOUSE OFFICE BUILDING,Federal Government - Non Military,Other,,"C ST SW AND SOUTH CAPITOL ST SW
50 INDPENDENCE AV SW
",,Washington DC,,20024,DC,3,,,38.88383841,-77.01228742,,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,98020.0
2000144,CAPITOL POWER PLANT,Federal Government - Non Military,Other,,N JERSEY AV & E ST SE,,Washington DC,,20003,DC,3,,,38.88323396,-77.00659688,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,Yes,2004007.0
2000145,CAPITOL POWER PLANT COAL YARD,Federal Government - Non Military,Other,,I ST SE,,Washington DC,,20003,DC,3,,,38.88011,-76.99762,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,Yes,2000015.0
2000146,CANNON HOUSE OFFICE BUILDING,Federal Government - Non Military,Other,,C ST & F ST SE,,Washington DC,,20003,DC,3,,,38.8793,-76.9888,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,No,
2000147,O'NEILL HOUSE OFFICE BUILDING,Federal Government - Non Military,Other,,NEW JERSEY AV SE,,Washington DC,,20003,DC,3,,,38.88115,-77.00586,Geocoded address,ARCHITECT OF THE CAPITOL,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,Yes,2003065.0
2000153,BUREAU OF ENGRAVING & PRINTING,Federal Government - Non Military,Other,,14TH & C ST SW,,Washington DC,,20228,DC,3,,,38.8859676,-77.03195728,Geocoded address,BUREAU OF ENGRAVING & PRINTING,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90064.0
2000268,NAT.PHOTO.INTER.CENTER (NPIC),Federal Government - Non Military,Other,,WASHINGTON NAVAL YARD SW,,Washington DC,,20024,DC,3,,,38.8883,-77.01678,Geocoded address,CENTRAL INTELLIGENCE AGENCY (CIA,,No,No,No,No,No,No,No,No,No,No,No,,No,
2002328,US DEPARTMENT OF JUSTICE,Federal Government - Non Military,Other,,"950 PENNSYLVANIA AV NW 
(PREVIOUSLY 900 PENN AV)",,Washington DC,,20530,DC,3,,,38.9073,-76.98936,,US DEPARTMENT OF JUSTICE,ROBERT METZ,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2003540,SANITATION DEPARTMENT,Federal Government - Non Military,Other,,2ND & K ST SE,,Washington DC,,20003,DC,3,,,38.87841,-77.00352,Geocoded address,FEDERAL GOVERNMENT,,No,No,No,No,No,No,No,No,No,No,No,,No,
2003811,DEPARTMENT OF AGRICULTURE,Federal Government - Non Military,Other,,13TH & CONSTITUTION AV NW,,Washington DC,,20001,DC,3,,,38.89201,-76.9883,Geocoded address,FEDERAL GOVERNMENT,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000411,STATE DEPARTMENT,Federal Government - Non Military,Other,,2201 C ST NW,,Washington DC,,20520,DC,3,,,38.89412735,-77.04830849,,DEPARTMENT OF STATE,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2000412,REGIONAL OFFICE BUILDING.,Federal Government - Non Military,Other,,7TH & D ST SW,,Washington DC,,20024,DC,3,,,38.8848376,-77.02190887,Geocoded address,DEPARTMENT OF STATE,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,95014.0
2000228,EISENHOWER EXECUTIVE BUILDING,Federal Government - Non Military,Other,,"NEW  EXECUTIVE OFFICE BUILDING 
ROOM #2020",,Washington DC,,20503,DC,3,,,38.89944268,-77.03907635,Geocoded address,GENERAL SERVICES ADMINISTRATION,KELLY HOLLAND,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2002999,WHITE HOUSE PARKING GARAGE,Federal Government - Non Military,Other,,1222 22ND ST NW,,Washington DC,,20037,DC,3,,,38.90587651,-77.04916361,Geocoded address,GENERAL SERVICES ADMINISTRATION,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90036.0
9000443,HUBERT HUMPHREY BUILDING,Federal Government - Non Military,Commercial,,200 INDEPENDENCE AV SW,,Washington DC,,20024,DC,3,,,38.88687553,-77.01439445,Geocoded address,GENERAL SERVICES ADMINISTRATION,KELLY HOLLAND,No,No,No,No,No,No,No,No,No,No,No,,No,
9000749,FMS - LIBERTY LOAN BLDG (FOB),Federal Government - Non Military,Other,,401 14TH ST SW,,Washington DC,,20227,DC,3,,,38.8847345,-77.03242256,,GENERAL SERVICES ADMINISTRATION,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
8000557,NAVAL RESEARCH LABORATORY (NRL),Military,Other,,4555 OVERLOOK AV SW,,Washington DC,,20375,DC,3,,,38.82243925,-77.01810367,Geocoded address,NAVAL RESEARCH LABORATORY (NRL),,Yes,No,No,No,No,No,No,Yes,No,No,No,Other Finance,Yes,93027.0
