Facility ID,Tank IDAssociatedwith Release,LUSTID,Federally Reportable Release,Site Name,Site Address,Site Address2,Site City,Zipcode,County,State,EPARegion,Facility Type,Tribal Site,Tribe,Latitude,Longitude,Coordinate Source,LUSTStatus,Reported Date,NFADate,Media Impacted Soil,Media Impacted Groundwater,Media Impacted Surface Water,Substance Released1,Quantity Released1,Unit1,Substance Released2,Quantity Released2,Unit2,Substance Released3,Quantity Released3,Unit3,Substance Released4,Quantity Released4,Unit4,Substance Released5,Quantity Released5,Unit5,Source Of Release1,Cause Of Release1,Source Of Release2,Cause Of Release2,Source Of Release3,Cause Of Release3,How Release Detected,Corrective Action Strategy1,Corrective Action Strategy1Start Date,Corrective Action Strategy2,Corrective Action Strategy2Start Date,Corrective Action Strategy3,Corrective Action Strategy3Start Date,Closed With Contamination,No Further Action Letter URL,Military Do DSite
5010010,,2017018,Yes,BLADENSBURG RD LLC,1016 BLADENSBURG RD NE,,Washington DC,20002,,DC,3,Auto dealership/auto maintenance & repair,,,38.90305719,-76.98186192,,No further action,2017-09-21,2018-01-11,Yes,No,No,,,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
5000045,,2019021,Yes,Autobody Supply Co. Inc.,934 MICHIGAN AVE. NE,,Washington DC,20017,,DC,3,Other,,,38.93526,-76.99354,Geocoded address,Active: general,2019-09-23,,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1010022,,2023006,Yes,2400 ONTARIO ROAD,2400 ONTARIO RD NW,,Washington DC,20009,,DC,3,Other,,,,,,Active: general,2023-03-17,,Yes,Yes,No,Unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7001354,,2019014,Yes,TEXACO GAS STATION (FORMER),1100 EASTERN AV NE,,Washington DC,20019,,DC,3,Retail fuel sales (non-marina),,,38.90418741,-76.92430916,Geocoded address,No further action,2019-05-30,2022-09-30,Yes,Yes,No,,,,,,,,,,,,,,,,Tank,Corrosion,,,,,,,,,,,,,,No
1002911,,2023001,Yes,RICHMAN TOWERS,3055 16TH ST NW,,Washington DC,20009,,DC,3,Residential,,,38.92807375,-77.0360971,Geocoded address,Active: general,2022-11-17,,Yes,No,No,Unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5005491,,2017009,Yes,SEARS & ROEBUCK COMPANY,1640 MARYLAND AV NE,,Washington DC,20002,,DC,3,Unknown,,,38.9015,-76.98011,Geocoded address,No further action,2017-07-06,2019-08-28,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,Pump and treat,2019-03-18,,,,,,,No
4001106,,2020001,Yes,AUTO,1201 KENNEDY ST NW,,Washington DC,20011,,DC,3,Retail fuel sales (non-marina),,,38.95653074,-77.02830512,Geocoded address,Active: general,2019-10-08,,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
8010017,,2025003,Yes,2633 BARRY ROAD,2633 BARRY RD SE,,Washington DC,20020,,DC,3,Other,,,,,,Active: general,2024-10-30,,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8000090,,2016017,Yes,DOI & NPS - POPLAR POINT NURSERY,600 HOWARD RD SE,,Washington DC,20020,,DC,3,Other,,,38.86581,-77.00127,Geocoded address,No further action,2016-06-28,2019-07-09,Yes,Yes,No,,,,,,,,,,,,,,,,Unknown,Other,,,,,,,,,,,,,,No
1010003,,2017008,Yes,CITADEL CORP,1731 KALORAMA RD,,Washington DC,20007,,DC,3,Other,,,38.92059325,-77.04047991,,No further action,2017-03-17,2020-04-09,Yes,Yes,No,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
