FacilityID,Dispenser ID,Dispenser UDC,Dispenser UDCWall Type
2000196,2000196-1,Yes,Unknown
2000196,2000196-2,Yes,Unknown
2000196,2000196-3,Yes,Unknown
2000196,2000196-4,Yes,Unknown
2000197,2000197-2,Yes,Unknown
2000197,2000197-4,Yes,Unknown
2000197,2000197-3,Yes,Unknown
2000197,2000197-1,Yes,Unknown
2000203,2000203-2,Yes,Unknown
2000203,2000203-1,Yes,Unknown
2000203,2000203-3,Yes,Unknown
4000034,4000034-1,Yes,Unknown
4000034,4000034-2,Yes,Unknown
4000034,4000034-3,Yes,Unknown
4000034,4000034-4,Yes,Unknown
4000034,4000034-5,Yes,Unknown
4000062,4000062-1,Yes,Unknown
4000062,4000062-2,Yes,Unknown
4000062,4000062-3,Yes,Unknown
4000062,4000062-4,Yes,Unknown
4000078,4000078-2,Yes,Unknown
4000078,4000078-4,Yes,Unknown
4000078,4000078-1,Yes,Unknown
4000078,4000078-3,Yes,Unknown
2000249,2000249-1,Yes,Unknown
2000249,2000249-2,Yes,Unknown
2000249,2000249-3,Yes,Unknown
2000249,2000249-4,Yes,Unknown
4000086,4000086-1,Yes,Unknown
4000086,4000086-2,Yes,Unknown
4000086,4000086-3,Yes,Unknown
4000086,4000086-4,Yes,Unknown
4000086,4000086-5,Yes,Unknown
2000339,2000339-1,Yes,Unknown
2000339,2000339-2,Yes,Unknown
2000339,2000339-3,Yes,Unknown
2000339,2000339-4,Yes,Unknown
2000339,2000339-5,Yes,Unknown
2000339,2000339-6,Yes,Unknown
2000352,2000352-1,Yes,Unknown
2000352,2000352-2,Yes,Unknown
2000352,2000352-3,Yes,Unknown
2000352,2000352-4,Yes,Unknown
2000356,2000356-2,Yes,Unknown
2000356,2000356-1,Yes,Unknown
6000101,6000101-1,Yes,Unknown
6000101,6000101-2,Yes,Unknown
6000101,6000101-3,Yes,Unknown
6000112,6000112-1,Yes,Unknown
6000112,6000112-2,Yes,Unknown
6000112,6000112-3,Yes,Unknown
6000112,6000112-4,Yes,Unknown
6000112,6000112-5,Yes,Unknown
6000112,6000112-6,Yes,Unknown
5004794,5004794-1,Yes,Unknown
5004794,5004794-2,Yes,Unknown
5004794,5004794-3,Yes,Unknown
5004794,5004794-4,Yes,Unknown
5004794,5004794-5,Yes,Unknown
5004794,5004794-6,Yes,Unknown
3004977,3004977-1,Yes,Unknown
4000341,4000341-1,Yes,Unknown
4000341,4000341-2,Yes,Unknown
4000341,4000341-3,Yes,Unknown
4000341,4000341-4,Yes,Unknown
4000343,4000343-1,Yes,Unknown
4000343,4000343-2,Yes,Unknown
4000343,4000343-3,Yes,Unknown
4000343,4000343-4,Yes,Unknown
4000343,4000343-5,Yes,Unknown
4000343,4000343-6,Yes,Unknown
4000344,4000344-1,Yes,Unknown
4000344,4000344-2,Yes,Unknown
4000344,4000344-3,Yes,Unknown
4000345,4000345-1,Yes,Unknown
4000345,4000345-2,Yes,Unknown
4000347,4000347-1,Yes,Unknown
4000347,4000347-2,Yes,Unknown
4000347,4000347-3,Yes,Unknown
4000347,4000347-4,Yes,Unknown
2000524,2000524-1,Yes,Unknown
2000524,2000524-2,Unknown,Unknown
2000524,2000524-3,Unknown,Unknown
8000029,8000029-2,Yes,Unknown
8000029,8000029-3,Yes,Unknown
8000029,8000029-1,Yes,Unknown
8000052,8000052-1,Yes,Unknown
8000052,8000052-2,Yes,Unknown
8000052,8000052-3,Yes,Unknown
8000052,8000052-4,Yes,Unknown
8000056,8000056-1,Yes,Unknown
8000118,8000118-1,Yes,Unknown
8000118,8000118-2,Yes,Unknown
8000118,8000118-3,Yes,Unknown
8000118,8000118-4,Yes,Unknown
8000118,8000118-5,Yes,Unknown
8000118,8000118-6,Yes,Unknown
6000359,6000359-1,Yes,Unknown
6000359,6000359-2,Yes,Unknown
6000359,6000359-3,Yes,Unknown
6000359,6000359-4,Yes,Unknown
6000364,6000364-1,Yes,Unknown
6000364,6000364-2,Yes,Unknown
6000365,6000365-1,Yes,Unknown
6000365,6000365-2,Yes,Unknown
6000365,6000365-3,Yes,Unknown
8000205,8000205-1,Yes,Unknown
8000205,8000205-2,Yes,Unknown
8000205,8000205-3,Yes,Unknown
8000205,8000205-4,Yes,Unknown
4000560,4000560-1,Yes,Unknown
4000560,4000560-2,Yes,Unknown
2000733,2000733-1,Yes,Unknown
2000733,2000733-2,Yes,Unknown
3000081,3000081-1,Yes,Unknown
3000081,3000081-2,Yes,Unknown
3000081,3000081-3,Yes,Unknown
