FacilityID,TankID,TankName,CompartmentID,CompartmentName,PipingID,Piping Style,Safe Suction,American Suction,High Pressure Or Bulk Piping,Piping Material FRP,Piping Material Gal Steel,Piping Material Stainless Steel,Piping Material Steel,Piping Material Copper,Piping Material Flex,Piping Material No Piping,Piping Material Other,Piping Material Unknown,Piping Flex Connector,Piping Corrosion Protection Sacrificial Anode,Piping Corrosion Protection Impressed Current,Piping Corrosion Protection Cathodic Not Required,Piping Corrosion Protection Other,Piping Corrosion Protection Unknown,Piping Line Leak Detector,Piping Automated Intersticial Monitoring,Piping Line Test Annual,Piping Line Test3yr,Piping Groundwater Monitoring,Piping Vapor Monitoring,Piping Interstitial Monitoring,Piping Statistical Inventory Reconciliation,Piping Release Detection Other,Piping Subpart KLine Test,Piping Subpart KOther,Pipe Tank Top Sump,Pipe Tank Top Sump Wall Type,Piping Wall Type,Pipe Trench Liner,Pipe Secondary Containment Other,Pipe Secondary Containment Unknown
8010003,8010003-2,2,8010003-2-1,1,8010003-2-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
8010003,8010003-3,3,8010003-3-1,1,8010003-3-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
8010003,8010003-4,4,8010003-4-1,1,8010003-4-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
6010026,6010026-1,1,6010026-1-1,1,6010026-1-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
6010026,6010026-2,2,6010026-2-1,1,6010026-2-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
1010012,1010012-1,1,1010012-1-1,1,1010012-1-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
1010012,1010012-2,2,1010012-2-1,1,1010012-2-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
1010012,1010012-3,3,1010012-3-1,1,1010012-3-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
1010012,1010012-4,4,1010012-4-1,1,1010012-4-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
1010001,1010001-1,1,1010001-1-1,1,1010001-1-1-1,Unknown,No,No,Unknown,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Single walled,No,No,No
3010020,3010020-1,1,3010020-1-1,1,3010020-1-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
5010032,5010032-1,1,5010032-1-1,1,5010032-1-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
5010032,5010032-2,2,5010032-2-1,1,5010032-2-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
5010032,5010032-3,3,5010032-3-1,1,5010032-3-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
5010032,5010032-4,4,5010032-4-1,1,5010032-4-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
5010032,5010032-5,5,5010032-5-1,1,5010032-5-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
5010032,5010032-6,6,5010032-6-1,1,5010032-6-1-1,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
6010013,6010013-3,3,6010013-3-1,1,6010013-3-1-1,Suction,Yes,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
6010013,6010013-4,4,6010013-4-1,1,6010013-4-1-1,Suction,Yes,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
6010013,6010013-5,5,6010013-5-1,1,6010013-5-1-1,Suction,Yes,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,No,Unknown,Yes
