FacilityID,TankID,TankName,TankLocation,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrant System,MultipleTanks,TankClosureDate,TankInstallationDate,CompartmentalizedUST,TankStatus,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther
8010003,8010003-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2017-11-03,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
8010003,8010003-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2017-11-03,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
8010003,8010003-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2017-11-03,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010026,6010026-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (in place),1,,No,No,No,No,No,Yes,Single wall,,
6010026,6010026-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
1010012,1010012-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-10-15,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
1010012,1010012-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-01-08,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
1010012,1010012-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-01-08,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
1010012,1010012-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-10-15,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
1010001,1010001-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2016-09-30,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
3010020,3010020-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2022-05-25,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010032,5010032-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010032,5010032-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010032,5010032-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010032,5010032-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010032,5010032-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010032,5010032-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
6010013,6010013-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-05-16,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010013,6010013-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-05-16,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010013,6010013-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-05-16,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010013,6010013-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-05-16,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010007,5010007-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2016-12-13,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010007,5010007-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2016-12-13,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010035,5010035-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010016,5010016-7,7,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-08-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010016,5010016-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-08-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010016,5010016-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-08-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
