FacilityID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID,DispenserID,DispenserUDC,DispenserUDCWallType
1-000001,Kent County Motor Sales,Private Organization,Commercial,,2181 South DuPont Highway,,Dover,Kent,19901,DE,3,,,39.118174,-75.534738,Map interpolation,"Silver Corporation, William Paradee",,No,,,,,,,,No,,,,,,,,
1-000002,Townsend Brothers Inc,Private Organization,Commercial,,1450 South Dual Highway,,Dover,Kent,19901,DE,3,,,39.134649,-75.528402,Map interpolation,Townsend Brothers,,No,,,,,,,,No,,,,Yes,K9711191,,,
1-000003,Former Goodyear Tire Center,Private Organization,Auto dealership/auto maintenance & repair,,601 South Governors Avenue,,Dover,Kent,19901,DE,3,,,39.152113,-75.524691,Map interpolation,Bayhealth- Kent General Hospital,,No,,,,,,,,No,,,,,,,,
1-000004,Dover Lubricants,Private Organization,Commercial,,236 South DuPont Highway,,Dover,Kent,19901,DE,3,,,39.160572,-75.513438,Map interpolation,Dover Lubricants,,No,,,,,,,,No,,,,,,,,
1-000005,H&E Farm Equipment Inc,Person,Commercial,,4123 Forrest Ave,,Dover,Kent,19901,DE,3,,,39.1557,-75.6165,Map interpolation,"Cox, Howard ",,No,,,,,,,,No,,,,,,,,
1-000006,Milford Motors Toyota,Private Organization,Commercial,,US Route 113 North,,Milford,Kent,19963,DE,3,,,38.9477,-75.4252,Map interpolation,Milford Motors Toyota,,No,,,,,,,,No,,,,Yes,K9608149,,,
1-000007,B&C Equipment Inc,Private Organization,Commercial,,702 Milford Harrington Highway,,Milford,Kent,19963,DE,3,,,38.92385,-75.453488,Map interpolation,B&C Equipment,,No,,,,,,,,No,,,,Yes,K9402059,,,
1-000008,Winner Ford Dover,Private Organization,Commercial,,1127 South DuPont Highway,,Dover,Kent,19901,DE,3,,,39.142136,-75.51815,Map interpolation,Winner Ford Dover,,No,,,,,,,,No,,,,,,,,
1-000009,Delmar Ford Tractor Inc,Private Organization,Commercial,,5336 N Dupont Hwy,,Cheswold,Kent,19936,DE,3,,,39.2225,-75.5757,Map interpolation,DEL-MAR Ford Tractor,,No,,,,,,,,No,,,,,,,,
1-000010,Burke Equipment Company,Private Organization,Commercial,,125 North Main Street,,Camden Wyoming,Kent,19934,DE,3,,,39.1159,-75.5389,Map interpolation,Burke Equipment,,No,,,,,,,,No,,,,,,,,
1-000011,Lift Parts & Service,Private Organization,Auto dealership/auto maintenance & repair,,24 Clark Street,,Harrington,Kent,19952,DE,3,,,38.923598,-75.575111,Map interpolation,Harrington Motor Company,,No,,,,,,,,No,,,,,,,,
1-000012,Halls Auto Tire & Service,State Organization,Commercial,,1062 Lafferty Lane,,Dover,Kent,19901,DE,3,,,39.1408,-75.4959,Map interpolation,Delaware (State Of) Department of Transportation - Kent Sussex,,No,,,,,,,,No,,,,Yes,K9011097,,,
1-000013,George C Rothwell Inc,Private Organization,Commercial,,115 South Main Street,,Smyrna,Kent,19977,DE,3,,,39.2988,-75.604674,Map interpolation,George C Rothwell,,No,,,,,,,,No,,,,Yes,K9612199,,,
1-000014,Tilcon Delaware Inc Demco Materials Div,Private Organization,Industrial,,752 Long Point Rd,,Dover,Kent,19901,DE,3,,,39.1788,-75.4745,Map interpolation,"ICM of Delaware, Inc.",,No,,,,,,,,No,,,,Yes,K9902032,,,
1-000015,Rothwells Garage Inc,Private Organization,Auto dealership/auto maintenance & repair,,19 South DuPont Boulevard,,Smyrna,Kent,19977,DE,3,,,39.301975,-75.603863,Map interpolation,Rothwells Gargage,"Gray, Kenneth ",No,,,,,,,,No,,,,Yes,K8711079,,,
1-000016,Matthews Motor Company,Private Organization,Commercial,,600 South Governors Avenue,,Dover,Kent,19901,DE,3,,,39.152016,-75.525,Map interpolation,Matthews Motor Company,,No,,,,,,,,No,,,,,,,,
1-000017,Delaware Auto Sales Inc,Private Organization,Commercial,,319 West Division Street,,Dover,Kent,19904,DE,3,,,39.160894,-75.530691,Map interpolation,Delaware Auto Sales,,No,,,,,,,,No,,,,,,,,
1-000018,Eds Auto Repair,Private Organization,Auto dealership/auto maintenance & repair,,3100 S State Street,,Camden Wyoming,Kent,19934,DE,3,,,39.0958,-75.5091,Map interpolation,Eds Auto Repair,,No,,,,,,,,No,,,,Yes,K9408207,,,
1-000019,Silver Lake Amoco,Private Organization,Retail fuel sales (non-marina),,426 North DuPont Highway,,Dover,Kent,19901,DE,3,,,39.1719,-75.5206,Map interpolation,Shore Stop,,No,,,,,,,,No,,,,,,,,
1-000020,Service Specialist Inc,Private Organization,Commercial,,1565 South DuPont Highway,,Dover,Kent,19901,DE,3,,,39.133041,-75.527713,Map interpolation,Service Specialist,,No,,,,,,,,No,,,,Yes,K0008103,,,
1-000022,Schaeffer Lincoln Mercury Inc,Private Organization,Commercial,,701 South Governors Avenue,,Dover,Kent,19901,DE,3,,,39.149061,-75.524508,Map interpolation,Schaefer Lincoln Mercury,,No,,,,,,,,No,,,,Yes,K9102034,,,
1-000023,Towers Auto Service,Person,Auto dealership/auto maintenance & repair,,16381 S Dupont Hwy,,Harrington,Kent,19952,DE,3,,,38.9348,-75.5651,Map interpolation,"Towers Sr, William E",,No,,,,,,,,No,,,,,,,,
1-000024,Hammond Cadillac Inc,Private Organization,Commercial,,601 N Dupont Hwy,,Milford,Kent,19963,DE,3,,,38.9168,-75.4431,Map interpolation,Hammond Cadillac,,No,,,,,,,,No,,,,Yes,K1302011,,,
1-000025,Eastern Shore Equipment Company,Private Organization,Commercial,,1219 South DuPont Highway,,Dover,Kent,19901,DE,3,,,39.142694,-75.517718,Map interpolation,Eastern Shore Equipment,,No,,,,,,,,No,,,,Yes,K8802002,,,
1-000026,Wharton & Barnard Inc,Private Organization,Commercial,,603 North Rehoboth Boulevard,,Milford,Kent,19963,DE,3,,,38.927255,-75.428172,Map interpolation,Wharton & Barnard,"Barnard, Thomas ",No,,,,,,,,No,,,,Yes,K9909187,,,
1-000028,Dover Volkswagen,Person,Commercial,,1387 North DuPont Highway,,Dover,Kent,19901,DE,3,,,39.1925,-75.5445,Map interpolation,"Carlson Sr, Arthur R",,No,,,,,,,,No,,,,Yes,K9402044,,,
1-000029,Dover Leasing Company Inc,Private Organization,Commercial,,613 Clara Street,,Dover,Kent,19901,DE,3,,,39.166144,-75.53618,Map interpolation,Dover Leasing,,No,,,,,,,,No,,,,Yes,K9005024,,,
1-000030,Pep Boys,Private Organization,Auto dealership/auto maintenance & repair,,919 North DuPont Highway,,Dover,Kent,19903,DE,3,,,39.184091,-75.532172,Map interpolation,Pep Boys,,No,,,,,,,,No,,,,Yes,K9603047,,,
1-000031,Willis Chevrolet Inc,Private Organization,Commercial,,36 South DuPont Highway,,Smyrna,Kent,19977,DE,3,,,39.266997,-75.585572,Map interpolation,Willis Chevrolet,,No,,,,,,,,No,,,,Yes,K8908245,,,
1-000032,Harrington Service Center,Private Organization,Retail fuel sales (non-marina),,8 Clark Street,,Harrington,Kent,19952,DE,3,,,38.923536,-75.576911,Map interpolation,Harrington Service Center,"Beene, James ",No,,,,,,,,No,,,,Yes,K9111266,,,
1-000033,Bilbroughs Auto Parts Big A,Private Organization,Auto dealership/auto maintenance & repair,,119 N DuPont Highway,,Smyrna,Kent,19977,DE,3,,,39.3041,-75.6053,Map interpolation,Service Oil Company,,No,,,,,,,,No,,,,Yes,K9505103,,,
1-000034,Lee F Slaughter,Person,Commercial,,119 North DuPont Highway,,Dover,Kent,19901,DE,3,,,39.166661,-75.516302,Map interpolation,"Slaughter, Lee F","Slaughter, Lee ",No,,,,,,,,No,,,,Yes,K9411246,,,
1-000036,CF Motor Schwartz Inc,Private Organization,Commercial,,1536 North DuPont Highway,PO Box 755,Dover,Kent,19903,DE,3,,,39.19418,-75.549711,Map interpolation,"Schwartz, C F Motor",,No,,,,,,,,No,,,,,,,,
1-000037,IG Burton Chevrolet,Private Organization,Commercial,,411 Rehoboth Boulevard,,Milford,Kent,19963,DE,3,,,38.926548,-75.426269,Map interpolation,IG Burton & Company,,No,,,,,,,,No,,,,,,,,
1-000038,Firestone Store,Private Organization,Auto dealership/auto maintenance & repair,,625 Bay Road,Blue Hen Mall off US Route 113 South,Dover,Kent,19901,DE,3,,,39.153121,-75.505686,Map interpolation,Firestone Store,,No,,,,,,,,No,,,,,,,,
1-000039,Joe Malago Inc,Private Organization,Auto dealership/auto maintenance & repair,,1155 South Governors Avenue,,Dover,Kent,19901,DE,3,,,39.1382,-75.5262,Map interpolation,Joe Malago,,No,,,,,,,,No,,,,,,,,
1-000040,Joe Malago Inc,Private Organization,Auto dealership/auto maintenance & repair,,400 Jimmy Dr ,,Smyrna,Kent,19977,DE,3,,,39.2835,-75.5942,Map interpolation,Joe Malago,,No,,,,,,,,No,,,,Yes,K9103053,,,
1-000041,Reichhold Chemicals Inc,Private Organization,Industrial,,200 Fork Branch Rd,,Dover,Kent,19903,DE,3,,,39.2028,-75.5697,Map interpolation,Reichhold Chemicals,"Owens, James C",No,,,,,,,,No,,,,Yes,K9109194,,,
1-000042,Atlantic Concrete Co,Private Organization,Commercial,,S Dupont Hwy,,Harrington,Kent,19952,DE,3,,,38.909,-75.5694,Map interpolation,Atlantic Concrete - David Jones,,No,,,,,,,,No,,,,,,,,
1-000044,Lebanon Chemical  (DE-0022),Private Organization,Industrial,,4474 Wheatley Pond Road,,Smyrna,Kent,19977,DE,3,,,39.2839,-75.6301,Map interpolation,Clements Supply,"Money, Lee ",No,,,,,,,,No,,,,,,,,
1-000045,James Julian Inc,Private Organization,Contractor,,Fairground Rd,,Harrington,Kent,19952,DE,3,,,38.9148,-75.5779,Map interpolation,James Jullian Inc,,No,,,,,,,,No,,,,Yes,K9209225,,,
1-000046,Dover Plumbing Supply Company,Person,Commercial,,3626 North DuPont Highway,,Dover,Kent,19903,DE,3,,,39.201613,-75.557583,Map interpolation,"Burton, John R","Kelly, Herbert E",No,,,,,,,,No,,,,Yes,K8908255,,,
1-000047,Wyoming Concrete Industries Inc,Private Organization,Industrial,,140 Southern Blvd,,Wyoming,Kent,19934,DE,3,,,39.1137,-75.5613,Map interpolation,Wyoming Concrete Industries,,No,,,,,,,,No,,,,Yes,K9906118,,,
1-000048,Marvel Contracting Company Inc,Private Organization,Contractor,,614 Main Street ,,Little Creek,Kent,19961,DE,3,,,39.1689,-75.4488,Map interpolation,Marvel Contracting,,No,,,,,,,,No,,,,Yes,K9911242,,,
1-000049,Marvel Contracting Company Inc,Private Organization,Contractor,,3152 S State St,,Camden Wyoming,Kent,19934,DE,3,,,39.0955,-75.508,Map interpolation,Marvel Contracting,,No,,,,,,,,No,,,,,,,,
1-000050,Webb Paving Company Inc,Private Organization,Contractor,,11804 Willow Grove Road,Route 10,Camden,Kent,19934,DE,3,,,39.1053,-75.5611,Map interpolation,Webb Paving,,No,,,,,,,,No,,,,,,,,
1-000051,Simpson Lumber Company,Private Organization,Commercial,,329-331 East Camden Wyoming,,Camden Wyoming,Kent,19934,DE,3,,,39.113387,-75.5395,Map interpolation,Carl King,,No,,,,,,,,No,,,,,,,,
1-000052,Martys Mobil Homes,Private Organization,Commercial,,1501 North DuPont Highway,,Dover,Kent,19901,DE,3,,,39.194611,-75.546719,Map interpolation,Carl King,,No,,,,,,,,No,,,,,,,,
1-000053,IA Construction Corp,Private Organization,Industrial,,4449 Milford Harrington Hwy,,Harrington,Kent,19952,DE,3,,,38.9281,-75.5166,Map interpolation,IA Construction,,No,,,,,,,,No,,,,Yes,K9104072,,,
1-000054,Teal Construction Inc,Private Organization,Contractor,,612 Mary Street,PO Box 779,Dover,Kent,19903,DE,3,,,39.16325,-75.535088,Map interpolation,Teal Construction Inc,,No,,,,,,,,No,,,,Yes,K0608096,,,
1-000055,Clements Supply Company,Private Organization,Commercial,,50 Clayton Ave ,,Clayton,Kent,19938,DE,3,,,39.2908,-75.6341,Map interpolation,Clements Supply,,No,,,,,,,,No,,,,,,,,
1-000056,Mitten Construction Co,Private Organization,Contractor,,"1420 E Lebanon Rd, Dover, DE 19901",,Dover,Kent,19903,DE,3,,,39.1184,-75.5037,Map interpolation,Clements Supply,,No,,,,,,,,No,,,,,,,,
1-000057,Tilcon Delaware Inc,Private Organization,Contractor,,73 Horsepond Road,,Dover,Kent,19901,DE,3,,,39.14628,-75.479722,Map interpolation,Tilcon Delaware,,No,,,,,,,,No,,,,Yes,K9711184,,,
1-000058,PolyTech High School,District Organization,School,,823 Walnut Shade Road,,Woodside,Kent,19980,DE,3,,,39.07227,-75.546219,Map interpolation,Polytech VoTech District,,No,,,,,,,,No,,,,Yes,K0312099,,,
1-000059,DTCC - Del Tech Terry Campus,State Organization,School,,100 Campus Drive,,Dover,Kent,19901,DE,3,,,39.197533,-75.562902,Map interpolation,DTCC,"Lasana, Clint ",No,,,,,,,,No,,,,Yes,K0107069,,,
1-000061,Capital School District Receiving,District Organization,School,,65 Carver Road,,Dover,Kent,19904,DE,3,,,39.161624,-75.541836,Map interpolation,Capital School District,,No,,,,,,,,No,,,,Yes,K8905237,,,
1-000062,Dover High School,District Organization,School,,1 Pat Lynn Drive,,Dover,Kent,19901,DE,3,,,39.177061,-75.540222,Map interpolation,Capital School District,,Yes,NO,NO,NO,NO,NO,,YES,No,NO,NO,,,,,,
1-000063,John Bassett Moore Intermediate School,State Organization,School,,20 West Frazier Street,,Smyrna,Kent,19977,DE,3,,,39.298297,-75.60438,Map interpolation,Smyrna School District,,No,NO,NO,NO,NO,NO,,NO,No,NO,NO,,Yes,K9807125,,,
1-000066,Burris Foods,Private Organization,Other,,111 Reese Avenue,,Harrington,Kent,19952,DE,3,,,38.9183,-75.5782,Map interpolation,Burris Foods - Attention John Burris,,Yes,NO,YES,NO,NO,NO,,NO,No,NO,NO,,Yes,K9411245,,,
1-000068,Milford Fertilizer Co,Private Organization,Commercial,,NE Front Street,,Milford,Kent,19963,DE,3,,,38.9144,-75.423,Map interpolation,Milford Fertilizer,,No,,,,,,,,No,,,,Yes,K9005031,,,
1-000069,Perdue Farms Inc,Private Organization,Agricultural/farm,,255 North Rehoboth Boulevard,,Milford,Kent,19963,DE,3,,,38.922205,-75.421872,Map interpolation,Perdue Farms,,No,,,,,,,,No,,,,Yes,K9808141,,,
1-000070,Thomas Farms,Private Organization,Agricultural/farm,,896 Sandy Bend Road,,Marydel,Kent,19964,DE,3,,,39.097513,-75.696199,Map interpolation,Thomas Farms,,Yes,NO,YES,NO,NO,NO,,NO,No,NO,NO,,Yes,K1404016,,,
1-000071,Cartanza Grain Inc,Private Organization,Agricultural/farm,,102 Columbus Drive,,Dover,Kent,19901,DE,3,,,39.169952,-75.466197,Map interpolation,Shadybrook Farms,,No,,,,,,,,No,,,,Yes,K0002036,,,
1-000073,Shadybrook Farms,Private Organization,Agricultural/farm,,6401 Bayside Drive,,Dover,Kent,19901,DE,3,,,39.188972,-75.467116,Map interpolation,Shadybrook Farms,"Cartanza, Philip ",No,,,,,,,,No,,,,Yes,K0002035,,,
1-000074,Southern States Cooperative Inc,Private Organization,Commercial,,92 North West Street,,Dover,Kent,19903,DE,3,,,39.161727,-75.534005,Map interpolation,Southern States Cooperative,,No,,,,,,,,No,,,,Yes,K9112300,,,
1-000075,Southern States Cooperative Inc,Private Organization,Commercial,,850 New Burton Road,,Dover,Kent,19901,DE,3,,,39.148908,-75.530238,Map interpolation,Southern States Cooperative,,No,,,,,,,,No,,,,,,,,
1-000076,Southern States Cooperative Inc,Private Organization,Commercial,,227 School Lane,PO Box 218,Clayton,Kent,19938,DE,3,,,39.286,-75.6326,Map interpolation,Southern States,,No,,,,,,,,No,,,,,,,,
1-000077,Southern States Milford,Private Organization,Retail fuel sales (non-marina),,7308 Williamsville Road,,Milford,Kent,19963,DE,3,,,38.9175,-75.4472,Map interpolation,Southern States Milford,,Yes,NO,YES,NO,NO,NO,,NO,No,NO,NO,,Yes,K1203033,,,
