FacilityID,TankID,TankName,CompartmentID,CompartmentName,PipingID,PipingStyle,SafeSuction,AmericanSuction,HighPressureOrBulkPiping,PipingMaterialFRP,PipingMaterialGalSteel,PipingMaterialStainlessSteel,PipingMaterialSteel,PipingMaterialCopper,PipingMaterialFlex,PipingMaterialNoPiping,PipingMaterialOther,PipingMaterialUnknown,PipingFlexConnector,PipingCorrosionProtectionSacrificialAnode,PipingCorrosionProtectionImpressedCurrent,PipingCorrosionProtectionCathodicNotRequired,PipingCorrosionProtectionOther,PipingCorrosionProtectionUnknown,PipingLineLeakDetector,PipingAutomatedIntersticialMonitoring,PipingLineTestAnnual,PipingLineTest3yr,PipingGroundwaterMonitoring,PipingVaporMonitoring,PipingInterstitialMonitoring,PipingStatisticalInventoryReconciliation,PipingReleaseDetectionOther,PipingSubpartKLineTest,PipingSubpartKOther,PipeTankTopSump,PipeTankTopSumpWallType,PipingWallType,PipeTrenchLiner,PipeSecondaryContainmentOther,PipeSecondaryContainmentUnknown
1-000001,1,1,1,1,,Pressure,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000001,2,2,2,2,,Unknown,No,No,No,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000002,10,10,11,10,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000002,11,11,12,11,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000002,12,12,13,12,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000002,2,2,4,2,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000002,3,3,5,3,,Pressure,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000002,7,7,8,7,,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000002,8,8,9,8,,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
1-000002,9,9,10,9,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
