FacilityID,TankID,TankName,TankLocation,TankStatus,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrantSystem,MultipleTanks,TankClosureDate,TankInstallationDate,CompartmentalizedUST,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther,DispenserID,DispenserUDC,DispenserUDCWallType
1-000001,1,1,Underground,Removed,Yes,No,No,No,No,1990-10-08,1984-01-08,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000001,2,2,Underground,Removed,Yes,No,No,No,No,1990-10-08,1984-01-08,No,1,Epoxy Coated Steel,No,No,Yes,No,No,No,No,No,,,,
1-000002,11,10,Underground,Removed,Yes,No,No,No,No,1985-08-15,1965-01-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000002,12,11,Underground,Removed,Yes,No,No,No,No,1985-08-13,1965-01-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000002,13,12,Underground,Removed,Yes,No,No,No,No,1985-08-13,1965-01-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000002,4,2,Underground,Removed,Yes,No,No,No,No,1987-06-13,1965-01-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000002,5,3,Underground,Removed,Yes,No,No,No,No,1987-06-13,1965-01-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000002,8,7,Underground,Removed,Yes,No,No,No,No,1991-08-28,1983-01-18,No,1,Epoxy Coated Steel,No,No,Yes,No,No,No,No,No,,,,
1-000002,9,8,Underground,Removed,Yes,No,No,No,No,1987-06-13,1965-01-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000002,10,9,Underground,Removed,Yes,No,No,No,No,1985-08-15,1965-01-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000003,17,1,Underground,Removed,Yes,No,No,No,No,1991-01-01,1984-04-18,No,1,Fiberglass Reinforced Plastic,No,No,Yes,No,No,No,No,No,,,,
1-000004,18,1,Underground,Closed in Place,Yes,No,No,No,No,1991-03-31,1984-04-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000004,19,2,Underground,Closed in Place,Yes,No,No,No,No,1991-03-31,1984-04-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000004,20,3,Underground,Closed in Place,Yes,No,No,No,No,1991-03-31,1984-04-17,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000005,21,1,Underground,Removed,Yes,No,No,No,No,1994-01-03,1984-04-25,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000005,22,2,Underground,Removed,Yes,No,No,No,No,1994-01-03,1974-01-01,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000006,23,1,Underground,Removed,Yes,No,No,No,No,1996-08-06,1984-04-29,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000006,24,3,Underground,Removed,Yes,No,No,No,No,1996-08-12,1984-04-29,No,1,Epoxy Coated Steel,No,No,Yes,No,No,No,No,No,,,,
1-000006,25,4,Underground,Removed,Yes,No,No,No,No,1996-08-12,1984-04-29,No,1,Epoxy Coated Steel,No,No,Yes,No,No,No,No,No,,,,
1-000007,29,3,Underground,Removed,Yes,No,No,No,No,1994-01-06,1978-04-28,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000007,30,4,Underground,Removed,Yes,No,No,No,No,1994-01-06,1973-04-28,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000007,28,5,Underground,Removed,Yes,No,No,No,No,1994-01-06,1973-04-28,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000007,27,6,Underground,Removed,Yes,No,No,No,No,1987-01-01,1978-04-28,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000008,35,1,Underground,Removed,Yes,No,No,No,No,1991-01-01,1973-05-02,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
1-000008,34,2,Underground,Removed,Yes,No,No,No,No,1991-01-01,1973-05-02,No,1,Asphalt Coated or Bare Steel,No,No,Yes,No,No,No,No,No,,,,
