FacilityID,TankName,CompartmentID,CompartmentName,CompartmentSubstanceStored,CompartmentCapacityGallons,OverfillPreventionBallFloatValve,OverfillPreventionFlowShutoffDevice,OverfillPreventionHighLevelAlarm,OverfillPreventionOther,OverfillPreventionUnknown,OverfillPreventionNotRequired,SpillBucketInstalled,ConcreteBermInstalled,SpillPreventionOther,SpillPreventionNotRequired,SpillBucketWallType,TankInterstitialMonitoring,TankAutomaticTankGaugingReleaseDetection,AutomaticTankGaugingContinuousLeakDetection,TankManualTankGauging,TankStatisticalInventoryReconciliation,TankTightnessTesting,TankInventoryControl,TankGroundwaterMonitoring,TankVaporMonitoring,TankSubpartKTightnessTesting,TankSubpartKOther,TankOtherReleaseDetection,DispenserID,DispenserUDC,DispenserUDCWallType
GEPA-UST-001,AAFES Service Station,"AAFB Yigo, GU 96929",GEPA-UST-001,Gasoline,4 x 10000,,,,,,,X,,,,,X,,,,,,X,,,,,,,,
GEPA-UST-002,Tanguisson Beach Cable Station,"Route 34 Tanguisson Beach Road Yigo, GU 96929",GEPA-UST-002,Diesel,3 x 8000 ,,,,,X,,X,,,,,X,X,X,,,X,,,,,,,,,
GEPA-UST-003,Tumon Bay Cable Station,"1169 North Marine Corps Drive Tamuning, GU 96913",GEPA-UST-003,Diesel,2 x 12000,,,,,X,,X,,,,,X,X,X,,,X,,,,,,,,,
GEPA-UST-004,Bank of Guam,"111 Chalan Santo Papa Hagatna, GU",GEPA-UST-004,Diesel,1 x 6000,X,,,,,,X,,,,,,X,X,,,,,,,,,,,,
GEPA-UST-005,Citadel Plaza,"134 West Soledad Avenue Hagatna,  GU 96910",GEPA-UST-005,Diesel,1 x 6000,,,,61SO Flapper,,,X,,,,,X,X,X,,,X,X,,,,,,,,
GEPA-UST-006,Black Construction Coorporation," Harmon, GU",GEPA-UST-006,Used Oil,1 x 550,,,,,X,,X,,,,,X,,,,,,,,,,,,,,
GEPA-UST-007,Cars Plus Maite,"648 Purple Heart Highway Rt 8, Maite",GEPA-UST-007,Mixture,1 x 1000,,,,,,,X,,,,,,,,,,,,,,,,X,,,
GEPA-UST-008,DNA Inc. ,"238 AFC Flores Street Ste 301 Hagatna, HU 96910",GEPA-UST-008,Diesel,1 x 4000,,,,,,,X,,,,,,X,X,,,X,,,,,,,,,
GEPA-UST-009,GCIC Building,"414 Soledad Ave Ste 500 Hagatna, GU",GEPA-UST-009,Diesel,1 x 4000,,,,615SO Flapper,,,X,,,,,,,,,,,,,,,,X,,,
GEPA-UST-010,GICC,"495 Batulo St Dededo, GU 96929",GEPA-UST-010,"2 x Gasoline, 1 x Diesel","1 x 6000gas, 1 x 2500gas, 1 x 8000diesel",,,,,X,,X,,,,,X,X,X,,,X,,,,,,,,,
GEPA-UST-011,Barrigada Post Office,"489 Route 16 Barrigada, GU 96913",GEPA-UST-011,Diesel,1 x 4000,,,,,X,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST012,The Home Depot,"295 Chalan Pasaheru Tamuning, GU ",GEPA-UST-012,Diesel,1 x 12000,,,,,X,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-014,Ladera Towers,"310 Ladera Lane Mangilao, GU",GEPA-UST-014,Diesel,1 x 4000,,,,,X,,X,,,,,,X,X,,,X,X,,,,,,,,
GEPA-UST-015,Leo Palace Resort- Booster Pump Station,"221 Lakeview Drive, Yona, GU",GEPA-UST-015,Diesel,1 x 4000,,,,615SO Flapper,,,X,,,,,,X,X,,,,,,,,,,,,
GEPA-UST-019,Micornesia Mall,"1088 West Marine Corps Drive Suite 214 Dededo, GU 96929",GEPA-UST-019,Diesel,"1 x 4000, 1 x 10000",,,,,X,,X,,,,,X,,,,,X,,,,,,,,,
GEPA-UST-020,Adelup Mobil Service Station,"490 Chorito Blvd Marine Drive Rt 1 Hagatna, GU 96910",GEPA-UST-020,"2 x Gasoline, 1 x Diesel","1 x 6000gas, 1 x 8000 gas, 1 x 4000diesel",,,,2 x 615SO Flapper,1 x unknown,,X,,,,,X,X,X,,,X,X,,,,,,,,
GEPA-UST-021 ,Agana Mobil Service Station,"B-230 Route 4 Hagatna, GU 96910",GEPA-UST-021,Gasoline,"1 x 6000, 1 x 8000",,,,615SO Flapper,,,X,,,,,,X,X,,,X,X,,,,,,,,
GEPA-UST-022,Agat Mobil Service Station,"854 North Route 2 Agat, GU",GEPA-UST-022,"2 x Gasoline, 1 x Diesel","2 x 10000gas, 1 x 6000diesel",,,,,X,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-023,Airport Mobil Service Station,Bldg 101 Chalan Pasaheru,GEPA-UST-023,"3 x Gasoline, 2 x Diesel","3 x 10000gas, 2 x 5000diesel",,,,,X,,X,,,,,X,X,X,,,X,X,,,,,,,,
GEPA-UST-025,Anigua Mobil Service Station,"Bldg 752 Marine Corps Drive Anigua, GU",GEPA-UST-025,"2 x Gasoline, 1 x Diesel","1 x 10000gas, 1 x 5000gas, 1 x 5000 diesel",,,,,X,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-026,Apra Heights Mobil Service Station,Bldg 547 Santa Rita Drive,GEPA-UST-026,Gasoline,2x 10000,,,,,X,,X,,,,,,X,X,,,,,,,,,,,,
GPEA-UST-027,Barrigada Heights Mobil Service Station,"Bldg 1116 Rt 16 Barrigada, GU 96913",GEPA-UST-027,Gasoline,"1 x 10000, 2 x 60000",,,,,X,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-030,East Agana Mobil Service Station,"Bldg 620 East Marine Corps Drive Hagatna, GU 96910",GEPA-UST-030,"2 x Gasoline, 1 x Diesel","2 x 10000gas, 1 x 1000diesel",,X,,,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-032,Fatima Mobil Service Station,"614 Marine Corps Drive Dededo, GU 96929",GEPA-UST-032,"2 x Gasoline, 2 x Diesel","2 x 10000gas, 2 x 5000 diesel",,,,,X,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-037,Holiday Resort & Spa Guam,"881 Pale San Vitores Road Tamuning, GU ",GEPA-UST-037,Diesel,1x 4000,,,,,X,,X,,,,,X,,,,,X,,,,,,,,,
GEPA-UST-039,Ipan Mobil Service Station,"251 North Chalan Antigo Street Route 4 Ipan, GU",GEPA-UST-039,Gasoline,2 x 4000,,,,,X,,X,,,,,X,X,X,,,X,X,,,,,,,,
GEPA-UST-041,Liguan Mobil Service Station,"Bldg 479 Faima Street Dededo, GU 92929",GEPA-UST-041,Gasoline,"1 x 7000, 1 x 8000, 1 x 15000",,,,,X,,X,,,,,X,X,X,,,X,,,,,,,,,
GEPA-UST-042,Maite Mobil Service Station,"Bldg 860 West Rt 4 Barrigada, GU 96913",GEPA-UST-042,"3 x Gasoline, 1 x Diesel","3 x 10000gas, 1 x 10000 Diesel",,,,615SO Flapper,,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-043,Mangilao Mobil Service Station,"493 South Route 10 Mangilao, GU",GEPA-UST-043,"2 x Gasoline, 1 x Diesel","1 x 10000gas, 1 x 6000gas, 1x6000 Diesel",,,,615SO Flapper,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-045,Onward Agana Beach Resort,"445 Governor Carlos G Camacho Rd Tamuning, GU",GEPA-UST-045,Diesel,"1 x 1000, 1 x 4000, 1 x 6000",,,,,X,,X,,,,,X,X,X,,,X,,,,,,,,,
GEPA-UST-049,Sinajana Mobil Service Station,"Bldg 118 Chalan Canton tutujuan Sinajana, GU",GEPA-UST-049,"2 x Gasoline, 1 x Diesel","1 x 8000gas, 1 x 15000gas, 1 x 6000 diesel",,,,615SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-051,Tamuning Mobil Service Station,"Bldg 706 South Marine Corps Drive Tamuning, GU",GEPA-UST-051,"2 x Gasoline, 1 x Diesel","1 x 8000gas, 1 x 120000gas, 1 x 6000 diesel",,,,615SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-052,Upper Tumon Mobi Service Station,"422 North Marine Corps Drive Tamuning, GU",GEPA-UST-052,"2 x Gasoline, 1 x Diesel","2 x 10000gas, 1 x 10000diesel",,,,615SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-054,Yigo North Mobil Service Station,"214 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",GEPA-UST-054,"3 x Gasoline, 1 x Diesel","3 x 10000gas, 1 x 10000 Diesel",,X,,,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-055,Yigo Perez Acres Mobil Service Station,"465 Marine Corps Drive Yigo, GU 96929",GEPA_UST-055,"2 x Gasoline, 1 x Diesel","1 x 8000gas, 1 x10000gas, 1 x 10000 diesel",,,,71SO Flapper,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-056,Yona Mobil Service Station,"1552 North Kanton Tasi Street Yona, GU",GEPA-UST-056,"2 x Gasoline, 1 x Diesel","1 x 6000gas, 2 x 8000gas, 1 x 6000 diesel",,,,61SO Flapper,,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-057,Ysengsong Mobil Service Station,"Bldg 240 East Marine Corps Drive Dededo, GU 96929",GEPA-UST-057,3 x Gasolinek 1 x Deisel,"1 x 6000gas, 2 x 12000gas, 1 x 4000 diesel",,,,61SO Flapper,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-058,Nissan Upper Tumon,"1012 North Marine Corps Drive Tamuning, GU",GEPA-UST-058,"1 x Gasoline, 1 x Used Oil","1 x 4000gas, 1 x 1000 used oil",,,X (Used Oil),61SO Flapper (Gas),,,X,,,,, X,,,,,X,X,,,,,,,,
GEPA-UST-059,Oka Towers Condominium,"Suite 1514 162 Western Blvd Tamuning, GU",GEPA-UST-059,Diesel,1 x 1000,X,,,,,,X,,,,,,X,X,,,X,,,,,,,,,
GEPA-UST-060,Onard Mangilao Golf Club,"1810 Rt 15 Pagat Mangilao, GU",GEPA-UST-060,Used Oil,1 x 550,,,,,,,X,,,,,X,,,,,,,,,,,,,,
GEPA-UST-061,Onward Talofofo Golf Club,"825 Route 4A Talofofo, GU",GEPA-UST-061,"2 x Gasoline, 2 x Diesel, 1 x Used Oil","1 x 4000gas, 1 x 1000gas, 2 x 2000 diesel, 1 x 500 use doil",,,,61SO Flapper,,,X,,,,,X,,,,,,,,,,,,,,
GEPA-UST-062,Pacific Islands Club Guam,"210 Pale San Vitores Road Tamuning, GU",GEPA-UST-062,Diesel,2 x 4000,,,,61SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-063,Reflection Center,"222 Chalan Santo Papa Suite 304 Hagatna, GU 96910",GEPA-UST-063,Diesel,1 x 550,,,,61SO Flapper,,,X,,,,,,,,,,,,,,,,,,,
GEPA-UST-064,Alupang Beach Club,"997 South Marine Drive Tamunin,g GU",GEPA-UST-064,Gasoline,1 x 4000,,,,61SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-065,Shell/Foody's Barrigada ,"446 West Rt 8 Brrigada, GU 96913",GEPA-UST-065,"4 x Gasoline, 1 x Diesel","4 x 4000gas, 1 x 4000 diesel",,,,61SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
