Permit Number,Facility Name,Address,City,Owner,Tank  Capacity/Substance,Date Installed,Facility Description
GEPA038,Former Martinez Service Station,Lot 10 Block 1 Tract 109 Barrigada,Barrigada,Martinez  Incorporated,T1-8000 Gas T2- 8000 Gas T3-8000 Gas,1999-01-01 00:00:00,Gas Station
GEPA043,Tumon Bay Capital Hotel,1448 Pale SanVitores Street,Tamuning,Tai Shan Investment Co. Inc.,T1-1000 Diesel,1991-12-01 00:00:00,Commercial
GEPA-UST-001,AAFES Service Station,Bldg. 26104 Carolines Avenue AAFB,Yigo,Andersen AFB,"T1-10000 Gas T2-10000 Gas T3-10000 Gas
T4-10000 Gas",1994-06-01 00:00:00,Gas Station
GEPA-UST-002,Tanguisson Beach Cable Station,Route 34 Tanguisson Beach Road,Dededo,"AT&T Global
Communication  Services Incorporated",T1-8000 Diesel T2-8000 Diesesl T3-8000 Diesel,1993-07-01 00:00:00,Utilities
GEPA-UST-003,Tumon Bay Cable Station,1169 North Marine Corps Drive,Tamuning,"AT&T Global
Communication  Services Incorporated","T1-12000 Diesel T2-12000
Diesel",1991-09-01 00:00:00,Utilities
GEPA-UST-004,Bank of Guam,111 Chalan Santo Papa,Hagatna,Bank of Guam,T1-6000 Diesel,1988-05-01 00:00:00,Commercial
GEPA-UST-005,Citadel Plaza (Former Bank of Hawaii Building),134 West Soledad Avenue,Hagatna,"Prospector Retail Concepts, LLC",T1-6000 Diesel,1974-01-01 00:00:00,Commercial
GEPA-UST-006,Black  Construction Corporation,JL Baker Street,Harmon,"Black  Construction
Corporation",T1-550 Used Oil,,Industrial
GEPA-UST-007,Car's Plus Maite,"648 Purple Heart highway, Rt. 8",Maite,"Car's Plus, LLC",T1-1000 OWS,2007-12-01 00:00:00,Auto  Dealership
GEPA-UST-008,"DNA, Inc.",238 AFC Flores Street Ste 301,Hagatna,"DNA, Inc.",T1-4000 Diesel,1999-11-01 00:00:00,Commercial
GEPA-UST-009,GCIC BUILDING,414 W. Soledad Ave. Ste 500,Hagatna,GUAM CAPITAL INVESTMENT  CORP (GCIC),T1-4000 Diesel,1994-02-01 00:00:00,Commercial
GEPA-UST-010,Guam International Country Club,495 Battulo Street,Dededo,"Japan Golf Management Company, Ltd","T1-6000 Gas
T2-8000 Diesel T3-2500 Gas",1994-07-01 00:00:00,Commercial
GEPA-UST-011,"Barrigada Post Office, GMF",489 Route 16,Barrigada,US POSTAL SERVICE,T1-4000 Diesel,1991-07-01 00:00:00,Federal  Non-Military
GEPA-UST-012,The Home Depot #1710,295 Chalan Pasaheru,Tamuning,"HOME DEPOT U.S.A., INCORPORATED c/o 3E
Company",T1-12000 Diesel,2007-06-01 00:00:00,Commercial
GEPA-UST-014,LADERA TOWERS,310 Ladera Lane,Mangilao,LTA LLC dba Ladera Tower,T1-4000 Diesel,1994-01-01 00:00:00,Commercial
GEPA-UST-015,"Leo Palace Resort - Booster Pump
Station",221 Lakeview Drive,Yona,"LeoPalace Guam Corporation
dba LeoPalace Resort",T1-4000 Diesel,1991-08-01 00:00:00,Utilities
GEPA-UST-019,Micronesia Mall,"Corner of Route 1 and Route 16, Suite 1
1088 West Marine Corps
Drive, Suite 214",Dededo,Goodwind  Development Corporation,"T1-4000 Diesel T2-10000
Diesel",1998-12-31 00:00:00,Commercial
GEPA-UST-020,Adelup Mobil Service Station,490 Chorito Blvd. Marine Drive Route 1,Hagatna,MOBIL OIL GUAM INC.,"T1-8000 Gas T2-6000 Gas
T3-4000 Diesel",1989-06-01 00:00:00,Gas Station
GEPA-UST-021,Agana Mobil Service Station,B-230 Route 4,Hagatna,MOBIL OIL GUAM INC.,"T1-4000 Gas T2-6000 Gas
T3-6000 Gas",7/25&27/23,Gas Station
GEPA-UST-022,Agat Mobil Service Station,854 North Route 2,Agat,MOBIL OIL GUAM INC.,T1-6000 Gas T2-10000 Gas T3-1000 Gas,1985-01-01 00:00:00,Gas Station
GEPA-UST-023,Airport Mobil Service Station,Bldg 101 Chalan Pasaheru,Tamuning,MOBIL OIL GUAM INC.,"T1-10000 Gas T2-5000 Diesel T3-10000 Gas T4-10000 Gas
T5-5000 Diesel",1998-10-01 00:00:00,Gas Station
