FacilityID,TankID,TankName,CompartmentID,CompartmentName,PipingID,PipingStyle,SafeSuction,AmericanSuction,HighPressureOrBulkPiping,PipingMaterialFRP,PipingMaterialGalSteel,PipingMaterialStainlessSteel,PipingMaterialSteel,PipingMaterialCopper,PipingMaterialFlex,PipingMaterialNoPiping,PipingMaterialOther,PipingMaterialUnknown,PipingFlexConnector,PipingCorrosionProtectionSacrificialAnode,PipingCorrosionProtectionImpressedCurrent,PipingCorrosionProtectionCathodicNotRequired,PipingCorrosionProtectionOther,PipingCorrosionProtectionUnknown,PipingLineLeakDetector,PipingAutomatedIntersticialMonitoring,PipingLineTestAnnual,PipingLineTest3yr,PipingGroundwaterMonitoring,PipingVaporMonitoring,PipingInterstitialMonitoring,PipingStatisticalInventoryReconciliation,PipingReleaseDetectionOther,PipingSubpartKLineTest,PipingSubpartKOther,PipeTankTopSump,PipeTankTopSumpWallType,PipingWallType,PipeTrenchLiner,PipeSecondaryContainmentOther,PipeSecondaryContainmentUnknown
GEPA-UST-001,,AAFES Service Station,"AAFB Yigo, GU 96929",GEPA-UST-001,,Pressurized,,,X,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,
GEPA-UST-002,,Tanguisson Beach Cable Station,"Route 34 Tanguisson Beach Road Yigo, GU 96929",GEPA-UST-002,,Unsafe Suction,,,,X,,,,,,,,,,,,,FRP,,,X,,,,,,,,,,,,,,,
GEPA-UST-003,,Tumon Bay Cable Station,"1169 North Marine Corps Drive Tamuning, GU 96913",GEPA-UST-003,,Unsafe Suction,,,,X,,,,,,,,,,,,,FRP,,,X,,,,,,,,,,,,,,,
GEPA-UST-004,,Bank of Guam,"111 Chalan Santo Papa Hagatna, GU",GEPA-UST-004,,Safe Suction,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
GEPA-UST-005,,Citadel Plaza,"134 West Soledad Avenue Hagatna,  GU 96910",GEPA-UST-005,,Unsafe Suction,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,
GEPA-UST-006,,Black Construction Coorporation," Harmon, GU",GEPA-UST-006,,Gravity Fed,,,,X,,,,,,,,,,,,,FRP,,,X,,,,,,,,,,,,,,,
GEPA-UST-007,,Cars Plus Maite,"648 Purple Heart Highway Rt 8, Maite",GEPA-UST-007,,Gravity Fed,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,
GEPA-UST-008,,DNA Inc. ,"238 AFC Flores Street Ste 301 Hagatna, HU 96910",GEPA-UST-008,,Unsafe Suction,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
GEPA-UST-009,,GCIC Building,"414 Soledad Ave Ste 500 Hagatna, GU",GEPA-UST-009,,Unsafe Suction,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
GEPA-UST-010,,GICC,"495 Batulo St Dededo, GU 96929",GEPA-UST-010,,Unsafe Suction,,,,X,,,,,,,,,,,,,FRP,,,,,,,,,,,,,,,,,,X
GEPA-UST-011,,Barrigada Post Office,"489 Route 16 Barrigada, GU 96913",GEPA-UST-011,,Unsafe Suction,,,,X,,,,,,,,,,,,,FRP,,,X,,,,,,,,,,,,,,,
GEPA-UST012,,The Home Depot,"295 Chalan Pasaheru Tamuning, GU ",GEPA-UST-012,,Unsafe Suction,,,,X,,,,,,,,,,,,,FRP,,,X,,,,,,,,,,,,,,,
GEPA-UST-014,,Ladera Towers,"310 Ladera Lane Mangilao, GU",GEPA-UST-014,,Safe Suction,X,,,X,,,,,,,,,,,,,FRP,,,X,,,,,,,,,,,,,,,
GEPA-UST-015,,Leo Palace Resort- Booster Pump Station,"221 Lakeview Drive, Yona, GU",GEPA-UST-015,,Safe Suction,X,,,X,,,,,,,,,,,,,FRP,,,X,,,,,,,,,,,,,,,
GEPA-UST-019,,Micornesia Mall,"1088 West Marine Corps Drive Suite 214 Dededo, GU 96929",GEPA-UST-019,,Safe Suction,X,,,X,,,,,,,,,,,,,FRP,,,X,,,,,,,,,,,,,,,
GEPA-UST-020,,Adelup Mobil Service Station,"490 Chorito Blvd Marine Drive Rt 1 Hagatna, GU 96910",GEPA-UST-020,,Pressurized,,,X,X,,,,,,,,,,,,,FTP,,,X,,,,,,,,,,,,,,,
GEPA-UST-021 ,,Agana Mobil Service Station,"B-230 Route 4 Hagatna, GU 96910",GEPA-UST-021,,Pressurized,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
GEPA-UST-022,,Agat Mobil Service Station,"854 North Route 2 Agat, GU",GEPA-UST-022,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,,,,,,X,,,,,,,,,,
GEPA-UST-023,,Airport Mobil Service Station,Bldg 101 Chalan Pasaheru,GEPA-UST-023,,Pressurized,,,X,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,
GEPA-UST-025,,Anigua Mobil Service Station,"Bldg 752 Marine Corps Drive Anigua, GU",GEPA-UST-025,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,
GEPA-UST-026,,Apra Heights Mobil Service Station,Bldg 547 Santa Rita Drive,GEPA-UST-026,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,
GPEA-UST-027,,Barrigada Heights Mobil Service Station,"Bldg 1116 Rt 16 Barrigada, GU 96913",GEPA-UST-027,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
GEPA-UST-030,,East Agana Mobil Service Station,"Bldg 620 East Marine Corps Drive Hagatna, GU 96910",GEPA-UST-030,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,X,,,,,,,,,,,,,,,
GEPA-UST-032,,Fatima Mobil Service Station,"614 Marine Corps Drive Dededo, GU 96929",GEPA-UST-032,,Pressurized,,,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-037,,Holiday Resort & Spa Guam,"881 Pale San Vitores Road Tamuning, GU ",GEPA-UST-037,,Safe Suction,X,,,,,,,,X,,,,,,,,,,,X,X,X,,,,,,,,,,,,,
GEPA-UST-039,,Ipan Mobil Service Station,"251 North Chalan Antigo Street Route 4 Ipan, GU",GEPA-UST-039,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-041,,Liguan Mobil Service Station,"Bldg 479 Faima Street Dededo, GU 92929",GEPA-UST-041,,Pressurized,,,X,,,,,,X,,,,,,,,,,,X,X,X,,,,,,,,,,,,,
GEPA-UST-042,,Maite Mobil Service Station,"Bldg 860 West Rt 4 Barrigada, GU 96913",GEPA-UST-042,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-043,,Mangilao Mobil Service Station,"493 South Route 10 Mangilao, GU",GEPA-UST-043,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-045,,Onward Agana Beach Resort,"445 Governor Carlos G Camacho Rd Tamuning, GU",GEPA-UST-045,,"2 x Unsafe Suction, 1 x Pressurized",,,X,X,,,,,,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-049,,Sinajana Mobil Service Station,"Bldg 118 Chalan Canton tutujuan Sinajana, GU",GEPA-UST-049,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-051,,Tamuning Mobil Service Station,"Bldg 706 South Marine Corps Drive Tamuning, GU",GEPA-UST-051,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-052,,Upper Tumon Mobi Service Station,"422 North Marine Corps Drive Tamuning, GU",GEPA-UST-052,,Pressurized,,,,,,,,,X,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-054,,Yigo North Mobil Service Station,"214 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",GEPA-UST-054,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-055,,Yigo Perez Acres Mobil Service Station,"465 Marine Corps Drive Yigo, GU 96929",GEPA-UST-055,,Pressurized,,,X,,,,,,X,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
