FacilityID,TankName,TankLocation,TankStatus,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrantSystem,MultipleTanks,TankClosureDate,TankInstallationDate,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther,DispenserID,DispenserUDC,DispenserUDCWallType
GEPA-UST-001,AAFES Service Station,"AAFB Yigo, GU 96929",Active,Yes,,,,3,,1994-06-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-06-01 00:00:00,,,,
GEPA-UST-002,Tanguisson Beach Cable Station,"Route 34 Tanguisson Beach Road Yigo, GU 96929",Active,Yes,,,,3,,1991-01-12 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-01-12 00:00:00,,,,
GEPA-UST-003,Tumon Bay Cable Station,"1169 North Marine Corps Drive Tamuning, GU 96913",Active,Yes,,,,2,,1994-01-06 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-01-06 00:00:00,,,,
GEPA-UST-004,Bank of Guam,"111 Chalan Santo Papa Hagatna, GU 96910",Active,Yes,,,,1,,1988-01-05 00:00:00,,Composite (Steel w/ FRP),,,,,FRP,,Secondary Containment,1988-01-05 00:00:00,,,,
GEPA-UST-005,Citadel Plaza,"134 West Soledad Avenue Hagatna,  GU 96910",Active,Yes,,,,1,,1974-01-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1974-01-01 00:00:00,,,,
GEPA-UST-006,Black Construction Coorporation," JL Baker Street Harmon, GU",Active,Yes,,,,1,,,,Fiberglass Reinforced Plastic,,,,,FRP,,Secondary Containment,,,,,
GEPA-UST-007,Cars Plus Maite,"648 Purple Heart Highway Rt 8, Maite",Active,Yes,,,,1,,2007-01-12 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2007-01-12 00:00:00,,,,
GEPA-UST-008,DNA Inc. ,"238 AFC Flores Street Ste 301 Hagatna, HU 96910",Active,Yes,,,,1,,1999-11-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1999-11-01 00:00:00,,,,
GEPA-UST-009,GCIC Building,"414 Soledad Ave Ste 500 Hagatna, GU",Active,Yes,,,,1,,1994-02-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,Secondary Containment,1994-02-01 00:00:00,,,,
GEPA-UST-010,GICC,"495 Batulo St Dededo, GU 96929",Active,Yes,,,,3,,1994-01-07 00:00:00,Doubnle-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-01-07 00:00:00,,,,
GEPA-UST-011,Barrigada Post Office,"489 Route 16 Barrigada, GU 96913",Active,Yes,,,,1,,1991-07-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-07-01 00:00:00,,,,
GEPA-UST012,The Home Depot,"295 Chalan Pasaheru Tamuning, GU ",Active,Yes,,,,1,,2007-06-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2007-06-01 00:00:00,,,,
GEPA-UST-014,Ladera Towers,"310 Ladera Lane Mangilao, GU",Active,Yes,,,,1,,1994-01-01 00:00:00,Lined Interior,Polyethylene Tank Jacket,,,,X,,,,1994-01-01 00:00:00,,,,
GEPA-UST-015,Leo Palace Resort- Booster Pump Station,"221 Lakeview Drive, Yona, GU",Active,Yes,,,,1,,1991-08-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-08-30 00:00:00,,,,
GEPA-UST-019,Micornesia Mall,"1088 West Marine Corps Drive Suite 214 Dededo, GU 96929",Active,Yes,,,,2,,1998-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1998-12-31 00:00:00,,,,
GEPA-UST-020,Adelup Mobil Service Station,"490 Chorito Blvd Marine Drive Rt 1 Hagatna, GU 96910",Active,Yes,,,,3,,"1: 7/29/1988, 2: 6/1/1989",Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,"1: 7/29/1988, 2: 6/1/1989",,,,
GEPA-UST-021 ,Agana Mobil Service Station,"B-230 Route 4 Hagatna, GU 96910",Active,Yes,,,,3,,2023-05-09 00:00:00,,Fiberglass Reinforced Plastic,,,,,FRP,,,1990-01-31 00:00:00,,,,
GEPA-UST-022,Agat Mobil Service Station,"854 North Route 2 Agat, GU",Active,Yes,,,,3,,1985-01-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1985-01-01 00:00:00,,,,
GEPA-UST-023,Airport Mobil Service Station,Bldg 101 Chalan Pasaheru,Active,Yes,,,,5,,1998-10-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1998-10-30 00:00:00,,,,
GEPA-UST-025,Anigua Mobil Service Station,"Bldg 752 Marine Corps Drive Anigua, GU",Active, Yes,,,,3,,1992-07-31 00:00:00,Double-walled,"2 x Fiberglass Reinforced Plastic, 1 x Epoxy Coated Steel",,,,,FRP,,,1992-07-31 00:00:00,,,,
GEPA-UST-026,Apra Heights Mobil Service Station,Bldg 547 Santa Rita Drive,Active,Yes,,,,2,,2017-12-17 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2017-12-17 00:00:00,,,,
GPEA-UST-027,Barrigada Heights Mobil Service Station,"Bldg 1116 Rt 16 Barrigada, GU 96913",Active,Yes,,,,3,,1996-06-28 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1996-06-28 00:00:00,,,,
GEPA-UST-030,East Agana Mobil Service Station,"Bldg 620 East Marine Corps Drive Hagatna, GU 96910",Active,Yes,,,,3,,2019-12-11 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2019-12-11 00:00:00,,,,
GEPA-UST-032,Fatima Mobil Service Station,"614 Marine Corps Drive Dededo, GU 96929",Active ,Yes,,,,4,,1996-04-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1996-04-30 00:00:00,,,,
GEPA-UST-037,Holiday Resort & Spa Guam,"881 Pale San Vitores Road Tamuning, GU ",Active,Yes,,,,1,,1996-02-29 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1996-02-29 00:00:00,,,,
