FacilityID,FacilityIdimport,Owner ID,AltFacilityID,Facility Name,Street Address,ZIP Linkage,ZIP+4,Phone,Authorized Representative,Title,FormDate,Facility Description,Clerk,Date of Entry,FacilityStatus,LUSTSummaryStatus,SupplementalLocationText,Fax,SOCDeficiency,LUSTRankingScore,Hawaii Common Identifier,FacilityRegistryIdentifier,TaxMapKey,FormReceivedDate,DataCollectionDate,LatitudeMeasure,LongitudeMeasure,HorizontalReferenceDatumName,GeometricTypeName,HorizontalCollectionMethodName,HorizontalAccuracyMeasuremeters,GeographicReferencePointName,LocationCommentsText,ProjectOfficer,GPSSource,ComplianceStatus,LastInspectionDate,USTStatus,UST97FacilityId
8000001,8000001,994.0,9-703830,LIHUE AIRPORT RENOVATION,LIHUE AIRPORT,57542.0,,,,,,State Government,roxanne.kwan,2016-11-30 15:49:53,Closed,Site Cleanup Completed (NFA),,,,,,,,1991-02-28,2009-04-20,21.978351,-159.349311,NAD83,Area,Zip Code,,,,Jose Ruiz,,No Visits,,,8000001
9100001,9100001,1552.0,9-100001,PRECAST INC,3103 N NIMITZ HWY,57591.0,,,HAROLD TAKARA,MAINT. ENGINEER,1993-02-09,Other,roxanne.kwan,2022-08-18 14:13:41,Closed,,,,,,,110014046870.0,lynn,1993-02-10,,,,,,,,,,Allison Hutto,,No Visits,,,9100001
9100002,9100002,1179.0,9-100002,WASA ELECTRICAL SERVICES INC,2908 KAIHIKAPU ST,57591.0,,,RICHARD TAKAHATA,SECRETARY,1997-09-05,Contractor,rkwan,2011-04-01 13:22:17,Closed,,,,,,,110012219580.0,,1997-09-08,1996-10-09,21.34082,-157.898978,NAD83,Point,GPS,,,,,,Closed,10/9/1996,,9100002
9100003,9100003,203.0,9-100003,NAVAL STATION - PEARL HARBOR,"BLDG 216    TANK 71, 72A, 72b",57623.0,,,R.M. NATSUHARA,"LCDR, CEC, USN, SCE",1997-03-13,Federal Military,roxanne.kwan,2024-11-19 12:07:55,Closed,Site Cleanup Completed (NFA),,,,,,110006863732.0,,1997-03-14,2011-09-08,21.348704,-157.94678,NAD83,Area,Map,,,From Report,Richard Takaba,,No Visits,,,9100003
9100006,9100006,1517.0,9-100006,"HIGHWAY CONSTRUCTION CO, LTD",720 UMI ST,57591.0,,,E. KIDO,RESIDENT MANAGER,,Not Listed,nicole.okino,2017-07-14 07:56:21,Closed,,,,,,,110014046996.0,,1991-10-23,,,,,,,,,,,,No Visits,,,9100006
9100015,9100015,1552.0,9-100015,TENNEY'S BISHOP UNION,169 S BERETANIA ST,57585.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,,Gas Station,rkwan,2013-10-03 11:03:43,Operating,Site Cleanup Completed (NFA),,,,0.0,,110005728150.0,,1992-08-10,2009-04-20,21.310227,-157.858592,NAD83,Area,Address Matching,,,,Roger Brewer,,No Visits,,,9100015
9100017,9100017,2483.0,9-100017,Mid Pac Petroleum LLC 2705958,540 N NIMITZ HWY,57589.0,,(808) 545-5550,john Grimmer,"Director, EHS and security",2004-09-20,Gas Station,william.campbell,2018-10-24 13:11:54,Closed,Site Cleanup Completed (NFA),,,,,,110009360093.0,,2004-09-27,1997-01-23,21.314051,-157.868452,NAD83,Point,GPS,,,,Shunsheng Fu,,Closed,4/27/2006,,9100017
9100022,9100022,1552.0,9-100022,SASAMOTO UNION SERVICE L-5005,33 S VINEYARD BLVD,57585.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,,Not Listed,jnagashima,2011-04-07 09:50:36,Operating,Site Cleanup Completed (NFA),,,,,,110005728230.0,,1992-08-05,2009-04-20,21.313649,-157.857429,NAD83,Area,Address Matching,,,,Not Assigned,,No Visits,,,9100022
9100023,9100023,2483.0,9-100023,76 Sand Island #104,165 SAND ISLAND ACCESS RD,57591.0,,(808) 841-8441,Janet Garcia,"EHS  Coordinator, Retail",2023-07-28,Gas Station,george.tabil,2024-06-26 15:32:00,Operating,Site Cleanup Completed (NFA),,(808) 694-3034,,,,110013782683.0,120220260000,2023-07-28,1996-03-05,21.32448,-157.88991,NAD83,Point,GPS,10.0,Underground Storage Tank,,Shunsheng Fu,,Closed,3/25/2024,,9100023
9100028,9100028,34.0,9-100028,76 Kapalama 7-11 #173,1136 N KING ST.,57589.0,,(808) 842-1711,Patrick Iona,"Manager, EH&S",2019-11-19,Gas Station,Timothy.Ugaitafa,2023-07-13 08:46:41,Operating,Site Cleanup Completed (NFA),,,,,,110013782166.0,16002103,2019-11-21,2008-10-24,21.32548,-157.86891,NAD83,Point,GPS,17.0,Underground Storage Tank,,Roger Brewer,,Closed,5/19/2023,,9100028
