Compliance Count ID,Compliance ID,StateSectionNumber,OriginalPenalty,FinalPenalty,SOCType,ComplianceDetailCommentsText,ViolationWithdrawn,ViolationResolved
1,1,,,0.0,,Written Warning,False,False
2,2,,,0.0,,Written Warning: U0146AEJ,False,False
3,3,,,0.0,,"Field Citation: ANTHONY JOHN ACCOMPANY NORWOOD; FFC ISSUED, REC'D COPY OF CIATATION, FINED 50",False,False
6,6,,,0.0,,Written Warning,False,False
7,7,,250.0,0.0,,Field Citation: JACK ACCOMPANY RUSS BECKWITH.  $250 fine,False,False
8,8,,,0.0,,"Written Warning: U09173JS  12/4/98 SUBMITTED LETTER - RK  
2/18/99 RECEIVED LETTER ON STATUS OF RESEARCH ON THE 550 WASTE OIL UST - RK",False,False
9,9,,,0.0,,"Field Citation: FINED 700;   

7/11/2000 RECEIVED NOI INFORMATION - RK   

12/4/2000 LTR REDUCING FINE FROM $700 TO $400 -RK

12/12/2000 rec returned receipt dated 12/11/2000.  new due date is 01/11/2001 - rk 

12/18/2000 RECEIVED CHECK OF 400 ANDᬁর؂_x0013_砇᭴뫠؂ޮ",False,False
11,11,,,0.0,,Written Warning,False,False
12,12,,1200.0,1200.0,,"Field Citation: FINED $1200, ROXANNE ACCOMPANY - RK",False,False
13,13,,,0.0,,Written Warning,False,False
14,14,,,0.0,,Field Citation: FINED $350,False,False
15,15,,,0.0,,Written Warning: u07019aej requested notifiation form also. -rk,False,False
16,16,,,0.0,,Written Warning,False,True
17,17,,,0.0,,None: NO VIOLATIONS WERE FOUND,False,False
18,18,,,0.0,,Written Warning,False,False
19,19,,,0.0,,Written Warning: U0153JR,False,False
20,20,,,0.0,,Written Warning,False,False
21,21,,,0.0,,Written Warning,False,False
22,22,,,0.0,,Written Warning: u081476aej,False,False
23,23,,,0.0,,Written Warning: U0156JR,False,False
24,24,,,0.0,,Field Citation: $450.00 FINE,False,False
25,25,,,0.0,,Written Warning: U06064AEJ - REQUESTED NOTIFICATION FORM FOR THE NEW AND OLD USTS - RK,False,False
26,26,,,0.0,,Written Warning,False,False
27,27,,,0.0,,Written Warning: U07045AEJ -- ALSO REQUESTED NOTIFICATION FORM - RK,False,False
28,28,,,0.0,,Written Warning: 6/6/97 U0645JR,False,False
29,29,,600.0,0.0,,Field Citation: FINED 600.  RICH ACCOMPANY,False,False
32,32,,,0.0,,"Written Warning: U0220JS, 3/31/99 RECEIVED NOTIFICATION FORM FOR THE 3 REMOVED USTS - RK",False,False
33,33,,50.0,50.0,,"Field Citation: 50.00 fine cited w/ noi w/ numerous follow-up
5/5/2000 received $50 check - rk
8/1/2000 LTR TO GARY GILL FOR SIGNATURE - RK",False,True
35,35,,,0.0,,Written Warning,False,False
36,36,,,0.0,,Written Warning,False,False
37,37,,,0.0,,None: NO CITATION CITED.  ACCOMPANY BY JAN - RK,False,False
38,38,,,0.0,,"Written Warning: U0321JS, U1189JS",False,False
39,39,,,0.0,,"OTHER: ISSUED 4 NOIs with Renato

12/4/2000 received notification form - rk

1/27/2003 BASED ON THE INSPECTION CONDUCTED BY STEFAN IN 1/27/2003. IT SEEMS THAT THE NOI ARE RESOLVED - RK",False,False
40,40,,,0.0,,"None: 4-20-99 UST removed in Aug. 97, no letter was written. - AEJ",False,False
41,41,,,0.0,,None: 10/21/97 LTR SENT - NO VIOLATIN,False,False
42,42,,,0.0,,"OTHER: noi issued; 8/7/2000 REC'D NOTIFICATIN FORM - RK

4/4/2002 REC SERVICE RECORD  AND PAST 3 MOS TAPE - RK

4/11/2002 rec response on how noi were addressed - rk",False,False
43,43,,,0.0,,,False,False
44,44,,,0.0,,OTHER: noi ONLY; 8/7/2000 RECIVED NOTIFICATION FORM - RK  8/14/2000 RECEIVED ADDITIONAL INFORMATION - RK    rk 4/11/2002 rec response on how noi were addressed - rk,False,False
45,45,,,0.0,,Written Warning,False,False
46,46,,,0.0,,Written Warning: 6/3/97 U0620AEJ,False,False
