OrganizationId,OrganizationFormalName,StampInit,StampDate,OwnerId
1,25TH ID (LIGHT) & USARHAW,sli,2002-08-22 08:53:54,2406
2,3 W PARTNERS,rkwan,1997-11-28 11:39:16,1069
3,300 CORPORATION,SUP,1992-02-26 00:00:00,1246
4,328 KALIHI ST LTD PARTNERS,CCLARK,1997-05-09 11:25:02,2165
5,5/57TH ATC CO. (FWD),rkwan,2001-08-22 16:32:35,2
6,50 Space Wing/CC,RKWAN,2004-09-21 10:01:11,2481
7,510 PIIKOI LLC,rkwan,2003-04-14 09:14:51,2448
8,900 EHA CORPORATION,RKWAN,1997-10-30 14:14:16,2082
9,"A & B PROPERTIES, INC",RSK,1995-09-13 00:00:00,2098
10,"A & B PROPERTIES, INC.",RKWAN,1997-09-22 15:09:57,153
13,A & M CORPORATION,rkwan,1998-11-16 13:50:31,1777
14,A T & T COMMUNICATION,rilaga,2006-01-12 09:32:12,4
16,A T & T COMMUNICATIONS CORP,knatarajan,2000-10-20 14:10:37,2306
17,"A. B. DELA CRUZ, INC.",,,9
18,A. H. BRODIE,,,1459
19,A.L. KILGO,rkwan,1999-03-04 15:13:14,2334
20,"A-1 A-LECTRICIAN, INC.",,,5
21,"AA ELECTRIC, LTD.",,,10
22,AALA PRODUCE,,,1566
23,ABC CHEMICAL,CJR,1995-09-13 00:00:00,1802
24,ABC CORPORATION,,,11
25,ABE LAUNDRY & DRY CLEANING,,,12
26,ACE TRANSMISSION,RKWAN,1998-12-24 10:30:10,1256
27,"AERONAUTICAL RADIO, INC",rkwan,2001-08-21 08:56:07,1420
28,"AIRPORT FLOWER AND FRUIT, INC",RKWAN,1997-09-22 15:11:05,1771
29,AIRPORT INDUSTRIAL PARK ASS.,rkwan,2001-05-02 11:55:46,1398
30,AIRPORT URGENT CARE,SUP,1992-12-22 00:00:00,1334
31,AKANA PETROLEUM INC.,,,14
32,AKINA BUS SERVICE,rkwan,1998-12-21 15:54:36,2297
33,"AKITA ENTERPRISES, LTD",rkwan,2000-02-17 11:41:12,15
34,AL PHILLIPS THE CLEANER,,,17
37,AL TAKAHATA SUBARU,SUP,1992-06-01 00:00:00,1533
38,"Ala Moana Property Development, LLC",rilaga,2006-06-13 08:33:58,84
39,ALAMO RENT A CAR,EJS,1996-02-29 00:00:00,1617
40,"ALAMO RENT-A-CAR, INC.",RKWAN,2004-02-11 09:32:29,21
41,"ALBERT C. KOBAYASHI, INC",SUP,1993-02-22 00:00:00,1528
42,ALBERT CASTILLO,SUP,1992-06-29 00:00:00,1549
43,ALBERT'S DRY CLEANERS,,,23
44,ALEX N. OKADA,,,24
46,ALEXANDER & BALDWIN INC.,,,25
48,ALEXANDER TOWER,rkwan,1999-05-25 13:27:03,2350
49,ALFRED & BETTY G. SANTOS,EJS,1996-03-01 00:00:00,194
50,ALFRED G. SANTOS SR,SUP,1993-08-13 00:00:00,1800
51,ALFRED I. CASTILLO (LEASEE),SUP,1992-07-20 00:00:00,1644
52,"ALII MOTORS, INC.",,,27
53,ALII STOR-MOR,,,1450
54,ALL POOL & SPA,,,28
55,ALLIED AGGREGATES CORPORATION,,,29
56,ALLIED BUILDERS SYSTEM,SUP,1993-03-11 00:00:00,1348
57,ALLIED FLOOR CORPORATION,rkwan,1999-08-25 11:43:50,30
58,ALLIED MACHINERY CORP,rkwan,1996-10-07 09:46:53,2151
59,Allied Machinery Corporation,cclark,1996-11-26 14:31:46,2158
60,ALLIED PACIFIC COMPANY OF HAWAII,,,31
61,"ALOHA AIRLINES, INC.",,,32
62,ALOHA COUNCIL,,,33
63,"ALOHA PETROLEUM, LTD.",rkwan,2006-08-01 09:59:06,34
64,ALOHA STATE CORPORATION,,,44
65,ALOHA STATE SALES CO.,,,45
66,"ALOHA TOWER ASSOCIATED PIERS 7, 8, 9",SUP,1994-02-15 00:00:00,1936
67,ALPAC CORPORATION,SUP,1992-01-17 00:00:00,1368
68,ALSCOM INC.,EJS,1996-02-29 00:00:00,2046
69,ALVIN MAKIMOTO,rkwan,2004-03-01 12:01:32,2464
70,AMA PRO SPORTING GOODS,,,46
71,AMARCO REAL ESTATE COMPANY,EJS,1996-02-29 00:00:00,1683
72,AMELCO CORPORATION,SUP,1993-07-28 00:00:00,47
73,AMERICAN FENCE,RKWAN,1999-01-12 10:12:10,2205
74,AMERICAN FENCE COMPANY,,,49
77,AMERICAN PACIFIC TRANSPORT CO.,rkwan,1998-08-28 10:56:30,51
78,AMERON H C & D,,,52
80,AMERON QUARRY & PROPOSED,EJS,1996-02-29 00:00:00,1977
81,AMFAC DISTRIBUTION HAWAII,rkwan,1996-11-20 16:45:13,56
82,AMFAC GARDEN HAWAII,,,59
83,AMFAC PROPERTY INVESTMENT CORP.,,,60
84,AMFAC SUGAR KAUAI,rkwan,1999-10-27 11:44:44,648
85,ANDRADE SERVICE INC.,rkwan,1998-12-10 17:06:15,61
86,"ANDREWS, JOSEPH DR.",CCLARK,1997-03-07 14:59:33,2181
87,ANTHONY A. TAM TRUST,RKWAN,2003-09-11 15:05:39,1435
88,AOAO HARBOR SQUARE,RKWAN,2000-09-06 14:31:25,2329
89,"ARAKI TAXI & U-DRIVE, INC.",rkwan,1999-11-29 17:02:28,64
90,ARAKI TAXI AND U DRIVE DBA PACIFIC RENT A CAR,rkwan,1999-11-29 17:06:57,2370
91,ARCADIA RETIREMENT,rkwan,1998-11-16 16:17:19,2275
92,ARISUMI BROTHERS. INC.,,,65
93,ARMY AIR FORCE EXCHANGE SERVICE (aafes),RKWAN,2006-08-01 15:03:59,2516
94,ARTHUR K. DUNCAN,,,66
95,ASAHI JYUKEN (U.S.A.) INC,RKWAN,2006-06-07 10:34:53,1379
96,ASAKURA BROTHERS LTD.,SUP,1993-08-06 00:00:00,1703
97,"ASSOCIATED STEEL WORKERS, LTD",SUP,1993-03-18 00:00:00,1662
99,"ASSOCIATED STEEL WORKERS, LTD.",,,67
101,ASSOCIATES FOUR,,,69
102,ATELIER USA INC,rkwan,1999-05-27 11:10:32,2351
103,ATHERTON FAMILY FOUNDATION,,,70
104,ATLAS PACIFIC,esadoyama,1997-08-25 10:28:34,71
105,ATSUGI KOKUSAI KANKO LTD.,rkwan,1999-10-19 13:03:36,72
106,"ATTCO, INC.",,,73
107,"AUTO IMPORTS OF HAWAII, INC.",,,74
108,"AUTOMOTIVE WAREHOUSE, INC.",SUP,1992-10-29 00:00:00,75
109,AVCO RESEARCH LAB,,,76
110,AVIS RENT A CAR,rkwan,2003-03-04 10:49:20,81
111,AZEKA BUILDING CORPORATION,rkwan,1996-09-24 10:29:15,2147
112,"AZEKA'S ENTERPRISES, INC.",,,85
113,B & A AUTOMOTIVE,,,86
114,"B & C TRUCKING CO., LTD.",rkwan,2000-03-16 08:47:49,87
115,B&C TRUST C/O ALAKAI REALITY INC,EJS,1996-02-29 00:00:00,1046
116,BACON-UNIVERSAL CO. INC.,SUP,1992-02-12 00:00:00,88
117,BANK OF HAWAII,rkwan,1999-08-03 11:53:01,90
