RankingId,FacilityId,AltFacilityID,RankingDate,DissolvedConcentrations,DissolvedConcentrationsPoints,AquiferUsage,AquiferUsagePoints,SourceType,SourceTypePoints,ReleaseVolumeInGallons,ReleaseVolumeInGallonsPoints,FireExplosionHazards,FireExplosionHazardsPoints,FireExplosionHazardsSpecify,PublicHealthHazard,PublicHealthHazardPoints,PublicHealthHazardSpecify,DepthToGroundWater,DepthToGroundWaterPoints,WaterSupplyWellProximity,WaterSupplyWellProximityPoints,WaterSupplyWellProximitySpecify,SurfaceWaterImpactProximity,SurfaceWaterImpactProximityPoints,SurfaceWaterImpactProximitySpecify,AdditionalMigrationPathways,AdditionalMigrationPathwaysPoints,AdditionalMigrationPathwaysSpecify,SoilConcentrations,SoilConcentrationsPoints,OtherConsiderations,OtherConsiderationsPoints,OtherConsiderationsSpecify,IrreplaceableFuelSupply,IrreplaceableFuelSupplyPoints,IrreplaceableFuelSupplySpecify,DateCreated,UserCreated,DateModified,UserModified,RankingCategory
1,9707824,,2007-01-18,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2007-01-18 13:50:18,RKwan,,,
2,9707792,,2007-05-04,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2007-05-04 10:09:17,rkwan,,,
3,9200311,,2007-05-16,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2007-05-16 15:01:57,rkwan,,,
4,9707843,,2007-07-03,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2007-07-03 13:31:25,rkwan,,,
5,9707830,,2007-08-20,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2007-08-20 11:09:35,rkwan,,,
6,9101472,,2007-10-15,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2007-10-15 14:25:48,rkwan,,,
7,9101273,,2007-10-19,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2007-10-19 10:25:17,rkwan,,,
8,9701714,,2008-05-09,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2008-05-09 09:53:31,rilaga,,,
9,9201209,,2009-01-23,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2009-01-23 10:17:30,rkwan,,,
10,9200034,,2009-02-01,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2009-02-01 10:03:36,rkwan,,,
11,9100046,,2009-02-19,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2009-02-19 11:13:36,rkwan,,,
12,9600011,,2009-02-27,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2009-02-27 15:28:52,rkwan,,,
13,9100015,,2009-03-13,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2009-03-13 14:27:05,rkwan,,,
14,9602710,,2009-10-06,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2009-10-06 09:11:38,rkwan,,,
15,9707789,,2009-11-17,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2009-11-17 13:38:11,rkwan,,,
16,9602427,,2010-05-10,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2010-05-10 15:35:47,rkwan,,,
17,9707897,,2010-06-08,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2010-06-08 08:22:24,rkwan,,,
18,9102001,,2012-07-18,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2012-07-18 14:26:24,rkwan,,,
19,9102991,,2013-01-31,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2013-01-31 09:48:26,rilaga,,,
20,9707736,,2013-11-25,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2013-11-25 09:26:30,rkwan,,,
21,9100250,,2014-04-02,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2014-04-02 07:35:01,jkanagy,,,
22,9200065,,2015-03-06,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2015-03-06 09:07:42,rkwan,,,
23,9707591,,2015-03-20,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2015-03-20 13:10:28,jkanagy,,,
24,9102213,,2015-04-24,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2015-04-24 08:35:51,gtabil,,,
25,9600486,,2015-09-16,,,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2015-09-16 15:03:49,rilaga,,,
26,9501890,,2015-11-09,,,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2015-11-09 11:12:49,gtabil,,,
27,9200093,,2016-01-19,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2016-01-19 10:58:16,gtabil,,,
28,9100851,,2016-04-08,,,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2016-04-08 10:58:49,george.tabil,,,
29,9100815,,2016-06-08,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2016-06-08 12:40:36,george.tabil,,,
30,9707975,,2016-10-18,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2016-10-18 12:58:36,roxanne.kwan,,,
31,9100001,,2016-12-15,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2016-12-15 14:27:35,roxanne.kwan,,,
32,9202365,,2017-01-13,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2017-01-13 14:34:37,roxanne.kwan,,,
33,9201931,,2017-01-24,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2017-01-24 14:25:13,george.tabil,,,
34,9101720,,2017-02-24,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2017-02-24 08:44:02,roxanne.kwan,,,
35,9102014,,2017-09-07,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2017-09-07 10:16:11,roxanne.kwan,,,
36,9200532,,2019-05-16,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2019-05-16 09:24:32,roxanne.kwan,,,
37,9600592,,2019-11-12,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2019-11-12 09:16:01,roxanne.kwan,,,
38,9600579,,2020-09-29,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2020-09-29 13:04:53,miranda.fleisher,,,
39,9100499,,2020-12-08,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2020-12-08 11:44:16,miranda.fleisher,,,
40,9707998,,2021-01-22,Above MCLs or site-specific levels,30.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2021-01-22 10:44:22,nicole.okino,,,
41,9707338,,2021-03-23,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2021-03-23 14:47:56,miranda.fleisher,,,
42,9707994,,2021-06-17,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2021-06-17 08:47:05,roxanne.kwan,,,
43,9707348,,2021-08-30,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2021-08-30 16:27:57,roxanne.kwan,,,
44,9101391,,2022-06-14,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2022-06-14 16:03:33,roxanne.kwan,,,
45,9502423,,2023-12-21,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2023-12-21 09:30:38,yongkeng.liu,,,
46,9701046,,2024-04-12,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2024-04-12 15:13:53,yongkeng.liu,,,
47,9602753,,2024-05-20,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2024-05-20 10:18:01,roxanne.kwan,,,
48,9501899,,2024-10-09,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2024-10-09 10:07:14,roy.ilaga,,,
49,9100049,,2024-11-27,,0.0,,0,,0,,0,,0,,,0,,,0,,0,,,0,,,0,,,0,,0,,,0,,2024-11-27 15:26:32,roxanne.kwan,,,
