CounterID,EventID,Status,Lead,StatusDate,LUSTStatusCommentsText,ProjectOfficer
3,2,Confirmed Release,RP-Lead,1993-12-20,SHOULD BE 12/20/93,
4,2,LUST Cleanup Initiated,RP-Lead,1994-05-23,,
5,2,Site Cleanup Completed (NFA),RP-Lead,1995-01-12,,
6,3,Confirmed Release,RP-Lead,1990-06-28,,
7,3,LUST Cleanup Initiated,RP-Lead,2001-06-13,"UST Closure rpt , OHM 1997",
8,3,Site Cleanup Completed (NFA),RP-Lead,2001-08-29,"NFA'd 29 Aug 2001, UO8043JAR",
9,4,Confirmed Release,RP-Lead,1990-01-24,,
10,4,LUST Cleanup Initiated,RP-Lead,1990-06-01,,
11,4,Site Cleanup Completed (NFA),RP-Lead,1997-06-20,U0693ES,
12,5,LUST Cleanup Initiated,RP-Lead,1989-10-14,BEGAN EXCAVATION AND STOCKPILING,
13,5,Confirmed Release,RP-Lead,1989-10-14,NOTED DURING A REMOVAL PROJECT,
14,5,Site Cleanup Completed (NFA),RP-Lead,2003-10-20,NFA U10026RT,
15,6,Confirmed Release,RP-Lead,1988-01-13,,
16,6,LUST Cleanup Initiated,RP-Lead,1993-09-22,ACTUAL 1-19-88,
17,6,Site Cleanup Completed (NFA),RP-Lead,1999-03-23,3/23/99 U03082JU letter,
18,7,Confirmed Release,RP-Lead,1992-01-01,RELEASE REPT 10.25/91,
19,7,Site Cleanup Completed (NFA),RP-Lead,1993-08-23,,
20,7,LUST Cleanup Initiated,RP-Lead,1993-08-23,,
21,8,Confirmed Release,RP-Lead,1994-05-12,,
22,8,LUST Cleanup Initiated,RP-Lead,1994-05-26,,
23,8,Site Cleanup Completed (NFA),RP-Lead,1999-11-26,DOH letter U11072JU,
24,9,LUST Cleanup Initiated,RP-Lead,1989-08-21,,
25,9,Confirmed Release,RP-Lead,1989-08-21,,
26,9,Disconfirmed Release,RP-Lead,1997-05-22,"Release was reported based on an inventory discrepancy and a ""rough"" tightness test. Removal of the USTs in 1990 did not reveal any actual soil contamination.",
27,10,Confirmed Release,RP-Lead,1994-11-09,VIA CALL,
28,10,LUST Cleanup Initiated,RP-Lead,1994-11-30,11/30/94 Closure Report,
29,10,Site Cleanup Completed (NFA),RP-Lead,1997-03-06,U0255ES,
30,11,Confirmed Release,RP-Lead,1992-03-11,,
31,11,LUST Cleanup Initiated,RP-Lead,1993-11-15,SOIL MGMT BEGAN W/REMOVAL PROJEC,
32,11,Site Cleanup Completed (NFA),RP-Lead,1994-01-07,,
33,12,LUST Cleanup Initiated,RP-Lead,1995-08-04,DATE OF UST REMOVAL,
34,12,Confirmed Release,RP-Lead,1995-10-10,DATE OF LAB SAMPLES,
35,12,Site Cleanup Completed (NFA),RP-Lead,1998-04-23,4/23/98 U0467SO letter,
36,13,Confirmed Release,RP-Lead,1994-02-08,ARMY LTR OF 3/30/94,
37,13,Site Cleanup Completed (NFA),RP-Lead,1997-03-14,U0330JS,
38,13,LUST Cleanup Initiated,RP-Lead,1997-03-14,,
39,14,LUST Cleanup Initiated,RP-Lead,1996-01-25,SOIL STOCKPILED FOR AERATION ON,
40,14,Confirmed Release,RP-Lead,1996-01-25,NOTED DURING REMOVAL-CALL TO JAC,
41,14,Site Cleanup Completed (NFA),RP-Lead,1996-06-27,,
42,15,Confirmed Release,RP-Lead,1993-12-02,,
43,15,LUST Cleanup Initiated,RP-Lead,1994-05-09,,
44,15,Site Cleanup Completed (NFA),RP-Lead,1994-05-09,,
45,16,LUST Cleanup Initiated,RP-Lead,1993-12-02,FREE PRODUCT PUMPED OUT OF WATER,
46,16,Confirmed Release,RP-Lead,1993-12-02,DOCUMENTED DURING PRELIM SITE IN,
47,17,Confirmed Release,RP-Lead,1995-08-18,DATE OF UST REMOVAL,
48,17,LUST Cleanup Initiated,RP-Lead,1995-10-10,DATE OF LAB SAMPLES,
49,18,LUST Cleanup Initiated,RP-Lead,1994-05-23,"Closure Report dated on Nov. 25, 1994, and received on Aug. 14, 2001",
50,18,Confirmed Release,RP-Lead,1994-05-23,CRN form dated 2/18/94,
51,19,LUST Cleanup Initiated,RP-Lead,1988-05-27,,
52,19,Confirmed Release,RP-Lead,1988-05-27,,
53,19,Site Cleanup Completed (NFA),RP-Lead,2000-06-07,"NFA's issued 5/22/00, U05039JAR",
55,20,Confirmed Release,RP-Lead,1992-06-03,,
56,20,Case Transferred to HEER (regulated),RP-Lead,1996-07-17,7/17/96 HEER Letter - Letter from Leslie Au to Army.,
57,21,Confirmed Release,RP-Lead,1990-12-19,LETTER,
58,21,Disconfirmed Release,RP-Lead,1992-06-04,,
59,22,LUST Cleanup Initiated,RP-Lead,1993-11-29,2/1/94 Walker Consultants Report,
60,22,Confirmed Release,RP-Lead,1993-11-29,12/14/93 DOH letter,
61,22,Site Cleanup Completed (NFA),RP-Lead,1997-09-09,9/9/97 U0901JAR Letter - NFA issued,
62,23,LUST Cleanup Initiated,RP-Lead,1993-10-15,,
63,23,Confirmed Release,RP-Lead,1993-10-15,,
64,24,Confirmed Release,RP-Lead,1994-02-07,PER CRN,
65,24,LUST Cleanup Initiated,RP-Lead,1994-02-07,PER CRN,
66,24,Site Cleanup Completed (NFA),RP-Lead,2001-12-27,,
67,25,LUST Cleanup Initiated,RP-Lead,1995-06-06,,
68,25,Confirmed Release,RP-Lead,1995-06-06,CALL TO JACK,
69,25,Site Cleanup Completed (NFA),RP-Lead,1995-08-21,,
70,26,Confirmed Release,RP-Lead,1992-11-24,,
71,26,LUST Cleanup Initiated,RP-Lead,1994-05-12,12/4/94 Morrison Knudsen Corporation Report - ,
72,26,Case Transferred to HEER (unregulated),RP-Lead,1998-03-13,heating oil tank transferred to heer office - rk,
73,27,LUST Cleanup Initiated,RP-Lead,1994-05-17,12/15/94 Morrison Knudsen Corporation Report,
74,27,Confirmed Release,RP-Lead,1994-05-17,,
75,27,Site Cleanup Completed (NFA),RP-Lead,1999-02-26,2/26/99 U02103JU letter,
76,28,LUST Cleanup Initiated,RP-Lead,1995-06-13,,
