CitationID,Description,Year,StateSectionNumber,FederalSectionNumber,Section,Units,ExtentofDeviation,PotentialforHarm,SOC,TCR,Penalty,Clerk,Date of Entry
438.0,Installation of improperly constructed fiberglass-reinforced plastic tank,2000,{2000}  12(1),20(a)(1),System Design & Installation,,,,p,,300.0,,
439.0,Installation of an improperly designed and constructed steel tank that fails to meet corrosion protection standards,2000,{2000}  12(2),20(a)(2),System Design & Installation,,,,p,,300.0,,
440.0,Installation of a steel tank with unsuitable dielectric coating,2000,{2000}  12(2)(A),20(a)(2)(I),System Design & Installation,,,,,,150.0,,
441.0,Installation of an improperly designed cathodic protection system for a steel tank,2000,{2000}  12(2)(B),20(a)(2)(ii),System Design & Installation,,,,,,300.0,,
442.0,Impressed current system is not designed to allow determination of current operating status,2000,{2000}  12(2)(C),20(a)(2)(iii),System Design & Installation,,,,,,150.0,,
443.0,Improper operation or maintenance of tank cathodic protection system,2000,{2000}  12(2)(D),20(a)(2)(iv),System Design & Installation,,,,,,150.0,,
444.0,Installation of an improperly constructed steel-fiberglass-reinforced- plastic tank,2000,{2000}  12(3),20(a)(3),System Design & Installation,,,,p,,300.0,,
445.0,Installation of improperly constructed fiberglass-reinforced plastic piping,2000,{2000}  13(1),20(b)(1),System Design & Installation,,,,p,,300.0,,
446.0,Failure to provide any cathodic protection for steel piping,2000,{2000}  13(2),20(b)(2),System Design & Installation,,,,p,,300.0,,
447.0,Installation of piping with unsuitable dielectric coating,2000,{2000}  13(2)(A),20(b)(2)(I),System Design & Installation,,,,,,150.0,,
448.0,Installation of improperly designed cathodic protection for steel piping,2000,{2000}  13(2)(B),20(b)(2)(ii),System Design & Installation,,,,,,300.0,,
449.0,Improper installation of cathodic protection system for piping,2000,{2000}  13(2)(C),20(b)(2)(iii),System Design & Installation,,,,,,150.0,,
450.0,Impressed current system is not designed to allow determination of current operating status,2000,{2000}  13(2)(D),20(b)(2)(iv),System Design & Installation,,,,,,150.0,,
451.0,Failure to use a spill prevention system or an overfill prevention system,2000,{2000}  14(a),20( c)(1),System Design & Installation,,,,p,,300.0,,
452.0,Installation of inadequate spill prevention equipment,2000,{2000}  14(a)(1),20(c )(1)(I),System Design & Installation,,,,p,,150.0,,
453.0,Installation of inadequate overfill prevention equipment,2000,{2000}  14(a)(2),20( c) (1)(ii),System Design & Installation,,,,p,,150.0,,
454.0,Failure to provide adequate alarms that are clearly labeled and located where the delivery person can clearly see or hear the alarm,2000,{2000}  14(c),20( c)(1)(ii)(b),System Design & Installation,,,,p,,150.0,,
455.0,Failure to install tank or piping in accordance with accepted codes and standards,2000,{2000}  15,20(d),System Design & Installation,,,,,,150.0,,
456.0,Failure to provide adequate certification of UST installation,2000,{2000}  16(a),20(e),System Design & Installation,,,,,,150.0,,
457.0,Failure to provide installer certification of compliance with installation requirements on notification form,2000,{2000}  16(b),20(e),System Design & Installation,,,,,,150.0,,
458.0,Failure to provide adequate secondary containment,2000,{2000}  17(a),,System Design & Installation,,,,,,300.0,revised to 17(b),
459.0,Failure to provide adequate double-walled tank or adequate lining,2000,{2000}  17(b),,System Design & Installation,,,,,,300.0,revised to 17(c ),
460.0,Failure to provide adequate external liners,2000,{2000}  17(c),,System Design & Installation,,,,,,300.0,revised to 17(d),
461.0,Failure to provide adequate secondary containment of piping,2000,{2000}  17(d),,System Design & Installation,,,,,,300.0,revised to 17(e),
462.0,"Failure to perform replacement, upgrade, or closure for existing substandard tank systems",2000,{2000}  18(a),21(a),System Design & Installation,,,,,,300.0,deleted,
463.0,Failure to meet all tank upgrade standards,2000,{2000}  18(b),21(b),System Design & Installation,,,,p,,300.0,deleted,
464.0,Improper installation of interior lining for tank upgrade requirements,2000,{2000}  18(b)(1)(A),21(b)(1)(I),System Design & Installation,,,,,,150.0,deleted,
465.0,Failure to meet interior lining inspection requirements for tank upgrade,2000,{2000}  18(b)(1)(B),21(b)(1)(ii),System Design & Installation,,,,p,,150.0,deleted,
466.0,Failure to ensure that tank is structurally sound before installing cathodic protection,2000,{2000}  18(b)(2)(A),21(b)(2)(I),System Design & Installation,,,,,,150.0,deleted,
467.0,Failure to conduct monthly release detection monitoring for upgraded tank under 10 years of age,2000,{2000}  18(b)(2)(B),21(b)(2)(ii),System Design & Installation,,,,,,300.0,deleted,
468.0,Failure to meet tightness test requirements for a tank upgraded with cathodic protection,2000,{2000}  18(b)(2)(C),21(b)(2)(iii),System Design & Installation,,,,,,150.0,deleted,
469.0,Failure to meet requirements for testing for corrosion holes for a tank upgraded with cathodic protection,2000,{2000}  18(b)(2)(D),21(b)(2)(iv),System Design & Installation,,,,,,150.0,nbc  deleted,12/30/2006 0:00
470.0,Failure to meet piping tightness test requirements for metal piping after upgrade with cathodic protection,2000,{2000}  18(c),21(c ),System Design & Installation,,,,p,,150.0,"deleted, SOC same as 13(2)",
471.0,Failure to provide adequate spill or overfill prevention system for an existing tank,2000,{2000}  18(d),21(d),System Design & Installation,,,,p,,300.0,"deleted, SOC same as 14(a0",
472.0,Failure to notify director of change in ownership within 30 days,2000,{2000}  21(1),,"Notifiation, Permits",,,,,,150.0,deleted,
473.0,Failure to notify director of change in operator within 30 days,2000,{2000}  21(2),,"Notifiation, Permits",,,,,,150.0,deleted,
474.0,Failure to amend notification within proper timeframe,2000,{2000}  21(3),,"Notifiation, Permits",,,,,,50.0,deleted,
475.0,Failure to apply for a permit,2000,{2000}  23,,"Notifiation, Permits",,,,,,300.0,,
476.0,Failure to inform the department at least seven days prior to installation,2000,{2000}  25(c),,"Notifiation, Permits",,,,,,150.0,,
477.0,Failure to inform the department within 30 days after installation,2000,{2000}  25(d),,"Notifiation, Permits",,,,,,150.0,,
478.0,Failure to renew a permit,2000,{2000}  26,,"Notifiation, Permits",,,,,,150.0,,
479.0,Failure to apply for the modification of a permit or submit a notice of change,2000,{2000}  29,,"Notifiation, Permits",,,,,,150.0,,
480.0,Failure to apply for transfer of a permit,2000,{2000}  31,,"Notifiation, Permits",,,,,,150.0,revised to 31(a),
481.0,Failure to properly maintain a permit or variance,2000,{2000}  34,,"Notifiation, Permits",,,,,,50.0,,
482.0,Failure to take necessary precautions to prevent overfill or spillage during the transfer of product                                                                                                                                        ,2000,{2000}  41(a),30(a),General Operating Requirements,,,,,,300.0,,
483.0,Failure to operate or maintain corrosion protection system continuously,2000,{2000}  42(a)(1),31(a),General Operating Requirements,,,,p,,150.0,,
484.0,Failure to ensure proper operation of cathodic protection system,2000,{2000}  42(a)(2),31(b)(1),General Operating Requirements,,,,p,,150.0,nbc,
485.0,Failure to inspect impressed current systems every 60 days,2000,{2000}  42(a)(3),31( c),General Operating Requirements,,,,p,,150.0,,
486.0,Failure to maintain records of cathodic protection inspections,2000,{2000}  42(b),31(d),General Operating Requirements,,,,,,50.0,,
487.0,Failure to ensure that UST system is made of or lined with materials compatible with substance stored,2000,{2000}  43,32,General Operating Requirements,,,,,,150.0,,
488.0,Failure to repair UST system in accordance with accepted codes and standards,2000,{2000}  44(b)(1),33(a),General Operating Requirements,,,,,,150.0,,
489.0,Failure to repair fiberglass-reinforced UST in accordance with accepted codes and standards,2000,{2000}  44(b)(2),33(b),General Operating Requirements,,,,,,150.0,,
490.0,Failure to replace metal piping which has released product,2000,{2000}  44(b)(3),33( c),General Operating Requirements,,,,,,150.0,deleted,
491.0,Failure to repair fiberglass-reinforced piping in accordance with manufacturers specifications,2000,{2000}  44(b)(3),33( c),General Operating Requirements,,,,,,150.0,deleted,
492.0,Failure to ensure that repaired tank systems are tightness tested within 30 days of completion of repair,2000,{2000}  44(b)(4),33(d),General Operating Requirements,,,,p,,300.0,revised to 44(b)(3),
493.0,Failure to test cathodic protection system within 6 months of repair of an UST system,2000,{2000}  44(b)(5),33(e),General Operating Requirements,,,,p,,150.0,revised to 44(b)(4),
494.0,Failure to maintain records of each repair to an UST system,2000,{2000}  44(c),33(f),General Operating Requirements,,,,,,50.0,deleted,
495.0,Failure to maintain analysis of site corrosion potential if corrosion protection equipment is not used or to maintain the records for the required time period,2000,{2000}  45(c)(1),34(b)(1),General Operating Requirements,,,,,,50.0,"nbc, revised to 45(b)(1)",
496.0,Failure to maintain corrosion protection equipment operation documentation or to maintain the records for the required time period,2000,{2000}  45(c)(2),34(b)(2),General Operating Requirements,,,,,,50.0,"nbc, deleted",
497.0,Failure to maintain documentation of UST system repairs or to maintain the records for the required time period,2000,{2000}  45(c)(3),34(b)(3),General Operating Requirements,,,,,,50.0,revised to 45(b)(4),
498.0,Failure to maintain documentation of compliance with release detection requirements or to maintain the records for the required time period,2000,{2000}  45(c)(4),34(b)(4),General Operating Requirements,,,,,,50.0,"nbc, revised to 45(b)(2)",
499.0,Failure to maintain record of compliance with change-in-service or permanent closure requirements including results of the site assessment or to maintain the records for the required time period,2000,{2000}  45(c)(5),34(b)(5),General Operating Requirements,,,,,,50.0,"nbc, revised to 45(b)(5)",
500.0,Failure to make records immediately available for inspection by maintaining the records on site or at an alternative site through another method of recordkeeping as approved by the director,2000,{2000}  45(d)(1),34(( c) (1-2),General Operating Requirements,,,,,,50.0,"nbc, revised to 45 (c )(1)",
501.0,Failure to maintain permanent closure records at a readily available alternative site,2000,{2000}  45(d)(2),34( c)(3),General Operating Requirements,,,,,,50.0,revised to 45(c )(2),
502.0,Failure to provide adequate release detection method,2000,{2000}  51(a),40(a),Release Detection,,,,d,,300.0,,
503.0,Failure to close or complete change-in-service for any UST system that cannot meet release detection requirements,2000,{2000}  51(d),40(d),Release Detection,,,,,,300.0,,
504.0,Failure to monitor tanks at least every 30 days,2000,{2000}  51(e)(1),41(a),Release Detection,,,,d,,300.0,"deleted, SOC moved to 54(a)",
505.0,Failure to conduct tank tightness testing for the appropriate time period,2000,{2000}  51(e)(1)(A),41(a)(1),Release Detection,,,,d,,300.0,"delelted, SOC for upgraded tanks",
506.0,Failure to conduct monthly inventory control and tank tightness testing every 12 months,2000,{2000}  51(e)(1)(B),41(a)(2),Release Detection,,,,,,300.0,deleted,
507.0,Failure to equip pressurized piping with automatic line leak detector,2000,{2000}  51(e)(2)(A)(i),41(b)(1)(I),Release Detection,,,,,,300.0,deleted,
508.0,Failure to conduct a tank tightness test every 12 months or perform monthly monitoring on pressurized piping,2000,{2000}  51(e)(2)(A)(ii),41(b)(1)(ii),Release Detection,,,,d,,300.0,"deleted, SOC moved to 531(1)(a)",
509.0,Failure to conduct line tightness test every 12 months or use monthly monitoring on suction piping,2000,{2000}  51(e)(2)(B),41(b)(2),Release Detection,,,,d,,300.0,"deleted, SOC moved to 53(2)(a),(b) and (c )",
510.0,Failure to conduct adequate monthly inventory control,2000,{2000}  52(1),43(a),Release Detection,,,,,,300.0,,
511.0,Failure to record inventory volume measurements each operating day,2000,{2000}  52(1)(A)*,43(a)(1),Release Detection,,,,d,,50.0,,
512.0,Failure to use inventory control equipment capable of measurements to the nearest 1/8th of an inch,2000,{2000}  52(1)(B)*,43(a)(2),Release Detection,,,,d,,50.0,,
513.0,Failure to take proper readings,2000,{2000}  52(1)(C)*,,Release Detection,,,,,,50.0,,
514.0,Failure to reconcile product inputs with delivery receipts,2000,{2000}  52(1)(D)*,43(a)(3),Release Detection,,,,d,,50.0,,
515.0,Failure to use a drop tube that extends to within one foot of the tank bottom,2000,{2000}  52(1)(E)*,43(a)(4),Release Detection,,,,,,50.0,,
516.0,Failure to perform adequate calibration every 12 months,2000,{2000}  52(1)(F)*,43(a)(5),Release Detection,,,,d,,50.0,,
517.0,Failure to measure water level to the nearest 1/8th of an inch at least once a month,2000,{2000}  52(1)(G)*,43(a)(6),Release Detection,,,,d,,50.0,,
518.0,Inadequate operation or maintenance of manual tank gauging (MTG),2000,{2000}  52(2),43(b),Release Detection,,,,,,300.0,,
519.0,Failure to conduct MTG for the appropriate time period,2000,{2000}  52(2)(A),43(b)(1),Release Detection,,,,d,,50.0,,
520.0,Failure to take two proper level measurements at the beginning and end of the appropriate MTG time period,2000,{2000}  52(2)(B),43(b)(2),Release Detection,,,,,,50.0,nbc,
521.0,Failure to use MTG equipment that is capable of measurements to the nearest 1/8th of an inch,2000,{2000}  52(2)(C),43(b)(3),Release Detection,,,,d,,50.0,,
522.0,Failure to conduct weekly or monthly testing or to conduct testing for the minimum test duration,2000,{2000}  52(2)(D),43(b)(4),Release Detection,,,,d,,50.0,,
