ProgramAcronymName,ProgramActivityTypeName,DocumentTypeName
UST,Remediation,Activities Log
UST,Remediation,Checklist
UST,Remediation,Closure
UST,Remediation,Comm Log
UST,Remediation,Courtesy Copy
UST,Remediation,Cover Letter
UST,Remediation,CRN
UST,Remediation,Disposal
UST,Remediation,Inspection
UST,Remediation,Legal
UST,Remediation,Management Plan
UST,Remediation,Meeting
UST,Remediation,MW Closure
UST,Remediation,NFA
UST,Remediation,Picture
UST,Remediation,Ranking
UST,Remediation,Release Response
UST,Remediation,Response Letter
UST,Remediation,RFI
UST,Remediation,Risk Assessment
UST,Remediation,Site Investigation
UST,Remediation,Tank Testing
UST,Remediation,Transfer
UST,Remediation,Work Plan
