ZIP ID,ZIP Code,State,City,County,LocationIsland,Time of entry.,Entered by
1,96740,PR,Adjuntas,Adjuntas,,,
2,00602,PR,Aguada,Aguada,,,
3,00603,PR,Aguadilla,Aguadilla,,,
4,00604,PR,Aguadilla,Aguadilla,,,
5,00605,PR,Aguadilla,Aguadilla,,,
6,00610,PR,Anasco,Anasco,,,
7,00611,PR,Angeles,Utuado,,,
8,00612,PR,Arecibo,Arecibo,,,
9,00613,PR,Arecibo,Arecibo,,,
10,00616,PR,Bajadero,Arecibo,,,
11,00617,PR,Barceloneta,Barceloneta,,,
12,00622,PR,Boqueron,Cabo Rojo,,,
13,00623,PR,Cabo Rojo,Cabo Rojo,,,
14,00624,PR,Penuelas,Penuelas,,,
15,00627,PR,Camuy,Camuy,,,
16,00631,PR,Adjuntas,Lares,,,
17,00636,PR,Rosario,San German,,,
18,00637,PR,Sabana Grande,Sabana Grande,,,
19,00638,PR,Ciales,Ciales,,,
20,00641,PR,Utuado,Utuado,,,
21,00646,PR,Dorado,Dorado,,,
22,00647,PR,Ensenada,Guanica,,,
23,00650,PR,Florida,Florida,,,
24,00652,PR,Garrochales,Arecibo,,,
25,00653,PR,Guanica,Guanica,,,
26,00656,PR,Guayanilla,Guayanilla,,,
27,00659,PR,Hatillo,Hatillo,,,
28,00660,PR,Hormigueros,Hormigueros,,,
29,00662,PR,Isabela,Isabela,,,
30,00664,PR,Jayuya,Jayuya,,,
31,00667,PR,Lajas,Lajas,,,
32,00669,PR,Lares,Lares,,,
33,00670,PR,Las Marias,Anasco,,,
34,00674,PR,Manati,Manati,,,
35,00676,PR,Moca,Moca,,,
36,00677,PR,Rincon,Rincon,,,
37,00678,PR,Quebradillas,Quebradillas,,,
38,00680,PR,Mayaguez,Mayaguez,,,
39,00681,PR,Mayaguez,Mayaguez,,,
40,00683,PR,San German,San German,,,
41,00685,PR,San Sebastian,San Sebastian,,,
42,00687,PR,Morovis,Morovis,,,
43,00688,PR,Sabana Hoyos,Arecibo,,,
44,00690,PR,San Antonio,Aguadilla,,,
45,00692,PR,Vega Alta,Vega Alta,,,
46,00693,PR,Vega Baja,Vega Alta,,,
47,00694,PR,Vega Baja,Vega Alta,,,
48,00698,PR,Yauco,Yauco,,,
49,00703,PR,Aguas Buenas,Aguas Buenas,,,
50,00704,PR,Aguirre,Guayama,,,
51,00705,PR,Aibonito,Aibonito,,,
52,00707,PR,Maunabo,Maunabo,,,
53,00714,PR,Arroyo,Arroyo,,,
54,00715,PR,Mercedita,Ponce,,,
55,00718,PR,Naguabo,Naguabo,,,
56,00719,PR,Naranjito,Naranjito,,,
57,00720,PR,Orocovis,Orocovis,,,
58,00721,PR,Rio Grande,Rio Grande,,,
59,00723,PR,Patillas,Patillas,,,
60,00725,PR,Caguas,Caguas,,,
61,00726,PR,Caguas,Caguas,,,
62,00729,PR,Canovanis,Canovanas,,,
63,00731,PR,Ponce,Ponce,,,
64,00732,PR,Ponce,Ponce,,,
65,00733,PR,Ponce,Ponce,,,
66,00734,PR,Ponce,Ponce,,,
67,00735,PR,Ceiba,Ceiba,,,
68,00736,PR,Cayey,Cayey,,,
69,00737,PR,Cayey,Cayey,,,
70,00738,PR,Fajardo,Fajardo,,,
71,00739,PR,Cidra,Cidra,,,
72,00740,PR,Puerto Real,Fajardo,,,
