FacilityID,TankIDAssociatedwithRelease,LUSTID,FederallyReportableRelease,SiteName,SiteAddress,SiteAddress2,SiteCity,Zipcode,County,State,EPARegion,FacilityType,TribalSite,Tribe,Latitude,Longitude,CoordinateSource,LUSTStatus,ReportedDate,NFADate,MediaImpactedSoil,MediaImpactedGroundwater,MediaImpactedSurfaceWater,SubstanceReleased1,QuantityReleased1,Unit1,SubstanceReleased2,QuantityReleased2,Unit2,SubstanceReleased3,AmountReleased3,Unit3,SubstanceReleased4,AmountReleased4,Unit4,SubstanceReleased5,AmountReleased5,Unit5,SourceOfRelease1,CauseOfRelease1,SourceOfRelease2,CauseOfRelease2,SourceOfRelease3,CauseOfRelease3,HowReleaseDetected,CorrectiveActionStrategy1,CorrectiveActionStrategy1StartDate,CorrectiveActionStrategy2,CorrectiveActionStrategy2StartDate,CorrectiveActionStrategy3,CorrectiveActionStrategy3StartDate,ClosedWithContamination,NoFurtherActionLetterURL,MilitaryDoDSite
560,,9LTL37,No,ONAWA PUBLIC LIBRARY,707 IOWA AVENUE,,Onawa,51040-,Monona,IA,7,,,,42.02639,-96.09334,GPS,,2004-03-31,,No,No,No,Diesel,,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
8771,,7LTG02,No,"MERITON AUTOMOTIVE, HVS, LCC",1801 WEST STONE RD,,Fairfield,525560000,Jefferson,IA,7,,,,41.01419,-91.98454,GPS,No further action,1989-09-28,1994-10-21,No,No,No,Waste Oil,0.0,Gallons,,,,,,,,,,,,,,,,,,,At tank removal,,,,,,,Yes,,Unknown
9365,,7LTF63,No,IDOT DIST OFFICE,5455 KIRKWOOD AVE,,Cedar Rapids,524040000,Linn,IA,7,,,,41.96238,-91.67591,GPS,No further action,1989-09-11,1999-12-23,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
11449,,9LTR86,No,HOLTZ'S MINI MART,150 MAIN ST,,Hornick,51026,Woodbury,IA,7,,,,42.22869,-96.09693,Geocoded address,,2017-05-22,,No,No,No,Diesel,0.0,Gallons,Gasoline,0.0,Gallons,,,,,,,,,,Unknown,Unknown,Dispenser,Other,,,Other,,,,,,,Yes,,Unknown
7291,,8LTQ74,No,GAS AMERICA,3205 BRADY ST,,Davenport,52803,Scott,IA,7,,,,41.55312,-90.56892,GPS,No further action,1991-02-22,2010-06-03,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Piping,Piping failure,,,,,Other,Groundwater Treatment: Injection Oxygen,2003-06-15,,,,,Yes,,Unknown
4769,,7LTE97,No,AG PROCESSING INC,,,Manning,51455,Carroll,IA,7,,,,41.92082,-95.07065,GPS,No further action,1989-05-03,2005-07-13,No,No,No,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
5658,,8LTF66,No,FLEXSTEEL INDUSTRIES INC,3473 Jackson St,,Dubuque,520010000,Dubuque,IA,7,,,,42.53013,-90.68183,GPS,,1990-10-24,,No,No,No,Diesel,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
7698,,8LTE42,No,KWIK SHOP #534,1221 EAST PIERCE,,Council Bluffs,515010000,Pottawattamie,IA,7,,,,41.27079,-95.83021,GPS,,1990-10-29,,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
3661,,7LTX66,No,FORMER E COHN & SONS,900 L ST SW,,Cedar Rapids,524040000,Linn,IA,7,,,,41.9669,-91.67209,GPS,No further action,1988-06-09,1992-02-04,No,No,No,Diesel,0.0,Gallons,Gasoline,0.0,Gallons,,,,,,,,,,,,Unknown,Unknown,,,At tank removal,,,,,,,Yes,,Unknown
7672,,7LTT32,No,LONE TREE BP,122 DEVOE ST,,Lone Tree,52755,Johnson,IA,7,,,,41.48639,-91.42536,GPS,No further action,1990-08-30,2023-11-28,No,No,No,Kerosene,0.0,Gallons,Gasoline,0.0,Gallons,Diesel,0.0,Gallons,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
