FacilityID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty, FacilityState,FacilityZipCode,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID
1000039,Casey's General Store #1305,Private,Retail fuel sales (non-marina),Attended Self-Service Station,70 South Somonauk Road,,Cortland,De Kalb,IL,60112,5,No,,41.92020034790039,-88.68840026855469,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1000422,Kaney Aviation Properties,Private,Aviation/airport (non-rental car),Airport,801 Airport Drive,,Rockford,Winnebago,IL,61109,5,No,,42.212398529052734,-89.08679962158203,Geocoded address,"Kaney Aviation Properties, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1000466,De Kalb Airport,Local Government,Aviation/airport (non-rental car),Airport,3232 Pleasant St.,,De Kalb,De Kalb,IL,60115,5,No,,41.932899475097656,-88.71019744873047,Geocoded address,City of De Kalb,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1000467,City of DeKalb Public Works,Local Government,Other,City / Town,1316 Market Street,,De Kalb,De Kalb,IL,60115,5,No,,41.93090057373047,-88.73690032958984,Geocoded address,City of De Kalb,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1000467,City of DeKalb Public Works,Local Government,Other,City / Town,1316 Market Street,,De Kalb,De Kalb,IL,60115,5,No,,41.93090057373047,-88.73690032958984,Geocoded address,City of De Kalb,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,90-3052
1000533,City of Ottawa,Local Government,Other,Fire Department,301 W. Lafayette St.,,Ottawa,LaSalle,IL,61350,5,No,,41.34996,-88.84411,Geocoded address,City of Ottawa ,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1000622,"Roy's Transfer, Inc.",Private,Trucking/transport/fleet operation,Trucking Company,100 E. 4th Avenue,,Rochelle,Ogle,IL,61068,5,No,,41.9223,-89.05947,Geocoded address,"Roy's Transfer, Inc.",,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Unknown,
1000645,Casey's General Store #1320,Private,Retail fuel sales (non-marina),Attended Self-Service Station,317 West Comanche,,Shabbona,De Kalb,IL,60550,5,No,,41.7677001953125,-88.87680053710938,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,00-2063
1000843,Circle K# 1439,Private,Retail fuel sales (non-marina),Attended Self-Service Station,610 West South Street,,Freeport,Stephenson,IL,61032,5,No,,42.28067,-89.62731,Geocoded address,"Mac's Convenience Stores, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,
1000844,Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,913 Kilburn Avenue,,Rockford,Winnebago,IL,61103,5,No,,42.281700134277344,-89.09970092773438,Geocoded address,Aaliya Corp.,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1000847,Citgo,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1602 North Alpine Road,,Rockford,Winnebago,IL,61107,5,No,,42.2857,-89.02935,Geocoded address,Lakhani Sadruddin ,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1000952,"Dohrn Transfer Company, LLC",Private,Trucking/transport/fleet operation,Trucking Company,1422 W Rt 30,,Rock Falls,Whiteside,IL,61071,5,No,,41.77168,-89.70893,Geocoded address,"Dohrn Terminals, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1000952,"Dohrn Transfer Company, LLC",Private,Trucking/transport/fleet operation,Trucking Company,1422 W Rt 30,,Rock Falls,Whiteside,IL,61071,5,No,,41.77168,-89.70893,Geocoded address,"Dohrn Terminals, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,903620
1001051,University Shell,Private,Retail fuel sales (non-marina),Attended Self-Service/Unattended Self-Service,175 West Lincoln Highway,,De Kalb,De Kalb,IL,60115,5,No,,41.93109893798828,-88.75689697265625,Geocoded address,Peugh Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,98-1569
1001085,Western Sand & Gravel Company,Private,Commercial,Commercial / Retail,400 Old North Road,Route 6,Spring Valley,Bureau,IL,61362,5,No,,0.0,0.0,Unknown,Western Sand & Gravel Company,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1001152,Rock River Water Reclamation District,Local Government,Other,City / Town,3333 Kishwaukee Street,,Rockford,Winnebago,IL,61109,5,No,,42.22439956665039,-89.08699798583984,Geocoded address,Four Rivers Sanitation Authority,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,95-1522
1001155,Four Rivers Sanitation Authority,Local Government,Other,City / Town,208 Snow Avenue,,Loves Park,Winnebago,IL,61111,5,No,,42.29930114746094,-89.0614013671875,Geocoded address,Four Rivers Sanitation Authority,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1001164,"Eichberger Trucking, Inc.",Private,Commercial,Commercial / Retail,1654 Burkhardt Lane,,Freeport,Stephenson,IL,61032,5,No,,42.27830123901367,-89.56759643554688,Geocoded address,Maggio Truck Center,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1001308,Nicor Gas Rockford,Private,Utility,Utility,4651 Linden Road,,Rockford,Winnebago,IL,61109,5,No,,42.21620178222656,-89.0260009765625,Geocoded address,Nicor Gas,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,
1001308,Nicor Gas Rockford,Private,Utility,Utility,4651 Linden Road,,Rockford,Winnebago,IL,61109,5,No,,42.21620178222656,-89.0260009765625,Geocoded address,Nicor Gas,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,2024-0390
1001313,Nicor Gas Ottawa,Private,Industrial,Industrial / Manufacturing,1629 Champlain St,,Ottawa,LaSalle,IL,61350,5,No,,41.35710144042969,-88.82879638671875,Geocoded address,Nicor Gas,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,90-1827
1001446,"Ag View FS, Inc.",Private,Bulk plant storage/petroleum distributor,Bulk Plant,902 Illinois Route 26,,Amboy,Lee,IL,61310,5,No,,41.71500015258789,-89.45809936523438,Geocoded address,Bureau Service Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1001501,Zig's Station,Private,Retail fuel sales (non-marina),Attended Self-Service Station,101 E. Main St.,,Tiskilwa,Bureau,IL,61368,5,No,,41.29230117797852,-89.5071029663086,Geocoded address,Craig Ziegler,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Unknown,
1001568,Johnson Oil Company,Private,Retail fuel sales (non-marina),Attended Self-Service Station,504 Route 75,,Davis,Stephenson,IL,61019,5,No,,42.418701171875,-89.41380310058594,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1001568,Johnson Oil Company,Private,Retail fuel sales (non-marina),Attended Self-Service Station,504 Route 75,,Davis,Stephenson,IL,61019,5,No,,42.418701171875,-89.41380310058594,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,912363
1001798,Beck's #25,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1301 13th Avenue,,Mendota,LaSalle,IL,61342,5,No,,41.55540084838867,-89.12770080566406,Geocoded address,Beck Oil Company of Illinois,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,96-0881
1001980,Dan's Philips 66,Private,Retail fuel sales (non-marina),Full Service Station,1348 S. Galena Ave.,,Freeport,Stephenson,IL,61032,5,No,,42.28574,-89.60737,Geocoded address,Dan Rieger,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,20021662
1002029,Wedron Silica Company,Private,Industrial,Industrial / Manufacturing,3450 E. 2056th Road,,Wedron,LaSalle,IL,60557,5,No,,0.0,0.0,Unknown,Wedron Silica Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1002417,Casey's General Store #1392,Private,Retail fuel sales (non-marina),Attended Self-Service Station,180 North Main,,Leland,LaSalle,IL,60531,5,No,,41.61429977416992,-88.79920196533203,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1002689,Northern Illinois University,State Government,Other,State,Health Services #055,,De Kalb,De Kalb,IL,60115,5,No,,41.964296,-88.7216049,Geocoded address,Northern Illinois University,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1002690,Northern Illinois University,State Government,Other,State,Psychology - Mathematics #059,,De Kalb,De Kalb,IL,60115,5,No,,41.9320775,-88.7645353,Geocoded address,Northern Illinois University,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1002691,Northern Il University-Founders Memorial Library #063,State Government,Other,State,217 Normal Road,Founders Library - #063,De Kalb,De Kalb,IL,60115,5,No,,0.0,0.0,Unknown,Northern Illinois University,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1002693,N I U - Stevenson Towers,State Government,Other,State,1350 Stevenson Dr N,,De Kalb,De Kalb,IL,60115,5,No,,0.0,0.0,Unknown,Northern Illinois University,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1002694,N I U - Grant Towers,State Government,Other,State,1250 Grant Dr. N.,Douglas Drive North,De Kalb,De Kalb,IL,60115,5,No,,0.0,0.0,Unknown,Northern Illinois University,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1002702,Dorland Transportation - Physical Plant,State Government,Other,State,100 Stadium Dr,,De Kalb,De Kalb,IL,60115,5,No,,0.0,0.0,Unknown,Northern Illinois University,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,93-2980
1002703,Grounds Dept,State Government,Other,State,100 Stadium Dr,,De Kalb,De Kalb,IL,60115,5,No,,0.0,0.0,Unknown,Northern Illinois University,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1002750,"Emery Air, LLC",Private,Aviation/airport (non-rental car),Airport,One Airport Circle,,Rockford,Winnebago,IL,61109,5,No,,0.0,0.0,Unknown,"Emery Air, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,95-1114
1002807,Tri State Tours,Private,Other,Private Institution,4349 Industrial Park,,Galena,Jo Daviess,IL,61036,5,No,,42.43684,-90.45212,Geocoded address,River Trails Transit Lines Inc,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1002807,Tri State Tours,Private,Other,Private Institution,4349 Industrial Park,,Galena,Jo Daviess,IL,61036,5,No,,42.43684,-90.45212,Geocoded address,River Trails Transit Lines Inc,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,99-1327
1003031,County of LaSalle,Local Government,Other,County,707 Etna Rd,,Ottawa,LaSalle,IL,61350,5,No,,41.37357,-88.82768,Geocoded address,County of LaSalle,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1003663,Princeton Fast Stop,Private,Retail fuel sales (non-marina),Attended Self-Service Station,720 N. Main St.,,Princeton,Bureau,IL,61356,5,No,,41.38180160522461,-89.46510314941406,Geocoded address,Mid American Oil Company,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,19951163
1003688,"Central Transport International, Inc.",Private,Trucking/transport/fleet operation,Trucking Company,5680 S. 11th Street,,Rockford,Winnebago,IL,61109,5,No,,42.19889831542969,-89.06939697265625,Geocoded address,"Crown Enterprises, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,11-0192
1003732,Express Lane #88,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2801 N. Columbus Ave.,,Ottawa,LaSalle,IL,61350,5,No,,41.37089920043945,-88.83599853515625,Geocoded address,Jo-Co of Illinois,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1003732,Express Lane #88,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2801 N. Columbus Ave.,,Ottawa,LaSalle,IL,61350,5,No,,41.37089920043945,-88.83599853515625,Geocoded address,Jo-Co of Illinois,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,91-0776
1003736,Freeport City Yards,Local Government,Other,City / Town,1001 N. Island Ave.,,Freeport,Stephenson,IL,61032,5,No,,0.0,0.0,Unknown,City of Freeport,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1003736,Freeport City Yards,Local Government,Other,City / Town,1001 N. Island Ave.,,Freeport,Stephenson,IL,61032,5,No,,0.0,0.0,Unknown,City of Freeport,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,90-2698
1003737,Albertus Airport,Local Government,Aviation/airport (non-rental car),Airport,1255 East Airport Road,,Freeport,Stephenson,IL,61032,5,No,,42.25156,-89.58618,Geocoded address,City of Freeport,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1003737,Albertus Airport,Local Government,Aviation/airport (non-rental car),Airport,1255 East Airport Road,,Freeport,Stephenson,IL,61032,5,No,,42.25156,-89.58618,Geocoded address,City of Freeport,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,91-1154
1005004,Rockton BP,Private,Retail fuel sales (non-marina),Attended Self-Service Station,629 North Blackhawk Road,,Rockton,Winnebago,IL,61072,5,No,,42.45819854736328,-89.07060241699219,Geocoded address,"IMSA Associates, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,92-2137
1005080,R & L Gas Mart,Private,Retail fuel sales (non-marina),Attended Self-Service/Unattended Self-Service,9927 US Rte. 20 West,,Galena,Jo Daviess,IL,61036,5,No,,0.0,0.0,Unknown,"WSG, Incorporated",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,12-1155
1005208,IL0111,Private,Retail fuel sales (non-marina),Attended Self-Service Station,542 N. Lyford Road,,Rockford,Winnebago,IL,61107,5,No,,42.272499084472656,-88.96119689941406,Geocoded address,Lehigh Gas Wholesale Services,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,95-1879
1005280,Circle G Farms & Feedlots Inc,Private,Agricultural/farm,Farm,3720 Limrick Rd,,Oregon,Ogle,IL,61061,5,No,,42.02972,-89.26821,Geocoded address,Circle G Farms & Feedlots Inc,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1005280,Circle G Farms & Feedlots Inc,Private,Agricultural/farm,Farm,3720 Limrick Rd,,Oregon,Ogle,IL,61061,5,No,,42.02972,-89.26821,Geocoded address,Circle G Farms & Feedlots Inc,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,01-0658
1005442,Woody's True Value,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1802 Sublette (Lamoille & Tower Rd),,Sublette,Lee,IL,61367,5,No,,0.0,0.0,Unknown,Woodhaven Association,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1005442,Woody's True Value,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1802 Sublette (Lamoille & Tower Rd),,Sublette,Lee,IL,61367,5,No,,0.0,0.0,Unknown,Woodhaven Association,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,
1005613,School District Bus Garage,Local Government,School,School/College,1031 5th Ave.,,Belvidere,Boone,IL,61008,5,No,,42.25070190429688,-88.84649658203125,Geocoded address,Belvidere CUSD #100,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1005613,School District Bus Garage,Local Government,School,School/College,1031 5th Ave.,,Belvidere,Boone,IL,61008,5,No,,42.25070190429688,-88.84649658203125,Geocoded address,Belvidere CUSD #100,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,90-2118
1005867,Casey's General Store #2666,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2005 IL Route 84 Urban,,Thomson,Carroll,IL,61285,5,No,,0.0,0.0,Unknown,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,91-1781
1005994,Cassens Transport Company,Private,Industrial,Industrial / Manufacturing,3060 Grant Hwy,,Belvidere,Boone,IL,61080,5,No,,0.0,0.0,Unknown,Cassens Transport Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,20230454
1006050,"Jay Maadi, Inc. d/b/a Clark Station",Private,Retail fuel sales (non-marina),Attended Self-Service Station,391 S. Main Street,,Seneca,LaSalle,IL,61360,5,No,,41.30440139770508,-88.6093978881836,Geocoded address,"Peterson, Thomas and Bonnie",,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,20140289
1006096,Express Lane Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,#1 East Hitt Street,,Mount Morris,Ogle,IL,61054,5,No,,42.04949951171875,-89.43329620361328,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,07-1616
1006228,Spring Valley Boat Club,Private,Marina,Marina,13862 Illinois Highway 89,,Spring Valley,Bureau,IL,61362,5,No,,0.0,0.0,Unknown,Spring Valley Boat Club,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Unknown,
1006250,"Johnson-Pate Pork, Inc.",Private,Agricultural/farm,Farm,15072 Crego Road,,De Kalb,De Kalb,IL,60115,5,No,,41.85068,-88.7313,Geocoded address,"Johnson-Pate Pork, Inc.",,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Unknown,
1006305,Ogle County Highway Dept,Local Government,Other,County,1989 IL Rte 2 S,,Oregon,Ogle,IL,61061,5,No,,41.989904,-89.337752,Geocoded address,Ogle County Highway Dept,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1006305,Ogle County Highway Dept,Local Government,Other,County,1989 IL Rte 2 S,,Oregon,Ogle,IL,61061,5,No,,41.989904,-89.337752,Geocoded address,Ogle County Highway Dept,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,902316
1006603,"Spring Brook Marina, Inc.",Private,Marina,Marina,623 West River Road,P.O. Box 379,Seneca,LaSalle,IL,61360,5,No,,0.0,0.0,Unknown," RTP Holdings, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1006629,"AG View FS, Inc.",Private,Wholesale,Bulk / Unattended Self-Service,7226 Il Hwy 40,,Buda,Bureau,IL,61314,5,No,,41.25181,-89.68342,Geocoded address,Bureau Service Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1006771,Winnebage County,Local Government,Other,County,400 W. State Street,,Rockford,Winnebago,IL,61101,5,No,,42.27166,-89.09673,Geocoded address,Winnebago County,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1006812,Wierman Oil Company,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2000 Harrison Avenue,,Rockford,Winnebago,IL,61104,5,No,,42.238319396972656,-89.06683349609375,Geocoded address,Wierman Oil Company,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1006813,"City Fuel, Inc.",Private,Retail fuel sales (non-marina),Attended Self-Service Station,425 S. Winnebago Street,,Rockford,Winnebago,IL,61102,5,No,,42.26959991455078,-89.10130310058594,Geocoded address,"City Fuel, Inc.",,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1006882,FMS 11 Rock Falls,State Government,Other,State,716 6th Avenue,,Rock Falls,Whiteside,IL,61071,5,No,,41.7743,-89.69657,Geocoded address,Illinois Department of Military Affairs,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1006893,UTES Marseilles,State Government,Other,State,2543 North 23rd Rd.,,Marseilles,LaSalle,IL,61341,5,No,,41.26714,-88.66957,Geocoded address,Illinois Department of Military Affairs,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1007129,Circle K #1425,Private,Retail fuel sales (non-marina),Attended Self-Service Station,3819 Broadway,,Rockford,Winnebago,IL,61108,5,No,,42.25238,-89.0344,Geocoded address,"Mac's Convenience Stores, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,06-1391
1007130,Circle K #1426,Private,Retail fuel sales (non-marina),Attended Self-Service Station,4747 North 2nd St.,,Loves Park,Winnebago,IL,61111,5,No,,0.0,0.0,Unknown,"Mac's Convenience Stores, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,
1007257,Sterling Citgo,Private,Retail fuel sales (non-marina),Attended Self-Service Station,602 N. Locust Street,,Sterling,Whiteside,IL,61081,5,No,,41.79092,-89.69738,Geocoded address,"VP Oil, Inc.",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1007419,Road Ranger #153,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1101 North 7th Street,,Rochelle,Ogle,IL,61068,5,No,,41.93399810791016,-89.06819915771484,Geocoded address,"Road Ranger, LLC",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,99-2653
1007420,Fas Mart #5231,Private,Retail fuel sales (non-marina),Attended Self-Service Station,10114 North 2nd Street,,Machesney Park,Winnebago,IL,61115,5,No,,42.36750030517578,-89.03579711914062,Geocoded address,"GPM Midwest, LLC",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,96-1256
1007421,"AZ Green, LLC",Private,Retail fuel sales (non-marina),Attended Self-Service Station,4962 South 20th Street,,Rockford,Winnebago,IL,61109,5,No,,42.20943,-89.05692,Geocoded address,"A Z Green, LLC",,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1007422,DeKalb Quick Mart #2,Private,Retail fuel sales (non-marina),Attended Self-Service Station,125 N. Annie Glidden,,De Kalb,De Kalb,IL,60115,5,No,,41.93190002441406,-88.7738037109375,Geocoded address,"GPM Midwest, LLC",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,00-0780
1007426,Grand Prix #5152,Private,Retail fuel sales (non-marina),Attended Self-Service Station,7997 Forest Hills Rd.,,Loves Park,Winnebago,IL,61111,5,No,,42.34006881713867,-89.01780700683594,Geocoded address,"GPM Midwest, LLC",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,00-1314
1007427,Exxon 11th and 18th,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1909 11th Street,,Rockford,Winnebago,IL,61104,5,No,,0.0,0.0,Unknown,"Gasland IL, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,94-2483
1007613,"Scales Mound Sinclair Service, Inc.",Private,Retail fuel sales (non-marina),Full Service Station,310 Franklin St.,,Scales Mound,Jo Daviess,IL,61075,5,No,,42.47545,-90.25289,Geocoded address,"Scales Mound Sinclair Service, Inc.",,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,99-0048
1007671,Quick Shop 3,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1401 S. Bloomington Street,,Streator,LaSalle,IL,61364,5,No,,41.10480117797852,-88.83509826660156,Geocoded address,"Shinestar, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1007931,Rockford Main,Private,Utility,Utility,211 North Church Street,,Rockford,Winnebago,IL,61101,5,No,,0.0,0.0,Unknown,AT&T Corp. d/b/a Illinois Bell,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1007932,Loves Park/Parkside,Private,Utility,Utility,910 Harlem Road,,Loves Park,Winnebago,IL,61111,5,No,,42.3401,-89.04579,Geocoded address,AT&T Corp. d/b/a Illinois Bell,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1008340,"Prophet Mini Mart, Inc.",Private,Retail fuel sales (non-marina),Attended Self-Service Station,202 Washington Street,,Prophetstown,Whiteside,IL,61271,5,No,,41.67211,-89.93558,Geocoded address,"Prophet Mini Mart, Inc.",,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,13-1209
