TANK_ID,OWNER_ID,OWNER_NAME,FACILITY_ID,FACILITY_NAME,TRIBAL_SITE,OPERATOR_ID,OPERATOR_NAME,TANK_TYPE,TANK_STATUS,FACILITY_LATITUDE,FACILITY_LONGITUDE,FACILITY_ADDRESS_1,FACILITY_ADDRESS_2,FACILITY_CITY,FACILITY_ZIP_CODE,FACILITY_STATE,FACILITY_COUNTY,TANK_INSTALLATION_DATE,TANK_CLOSURE_DATE
16622,14308,ALAMOGORDO (CITY OF) PUBLIC WORKS,345,ALAMOGORDO (CITY 0F)-WASTEWATER TREATMENT PLANT,,,,U,REMOVED,32.8419,-105.992958,3290 AIRPORT RD,,ALAMOGORDO,88310    ,NM,OTERO,28-NOV-77,16-OCT-98
16623,11506,EL PASO NATURAL GAS,425,WASHINGTON RANCH,,,,U,REMOVED,32.08052,-104.485608,WASHINGTON RANCH RD 493 1,,CARLSBAD,88220    ,NM,EDDY,10-AUG-84,24-JUL-89
16624,14410,ALBUQUERQUE UTILITIES CORP,26467,ALBUQUERQUE UTILITIES B,,,,U,REMOVED,35.257584,-106.640307,333 RIO RANCHO DR NE,,RIO RANCHO,87124    ,NM,SANDOVAL,01-JAN-00,24-JAN-90
16625,300,BREWER BROTHERS,813,CARLSBAD SS NUMBER 1,,,,U,REMOVED,32.4166,-104.22929,401 S CANAL,,CARLSBAD,88220    ,NM,EDDY,11-JAN-79,21-JAN-99
16626,300,BREWER BROTHERS,813,CARLSBAD SS NUMBER 1,,,,U,REMOVED,32.4166,-104.22929,401 S CANAL,,CARLSBAD,88220    ,NM,EDDY,11-JAN-79,21-JAN-99
16627,300,BREWER BROTHERS,813,CARLSBAD SS NUMBER 1,,,,U,REMOVED,32.4166,-104.22929,401 S CANAL,,CARLSBAD,88220    ,NM,EDDY,11-JAN-79,21-JAN-99
16628,377,BELL GAS INC,814,32ND ST STORE,,,,U,REMOVED,32.79522,-108.26698,3110 N SILVER,,SILVER CITY,88061    ,NM,GRANT,24-MAR-71,28-JAN-98
16629,377,BELL GAS INC,814,32ND ST STORE,,,,U,REMOVED,32.79522,-108.26698,3110 N SILVER,,SILVER CITY,88061    ,NM,GRANT,24-MAR-71,28-JAN-98
16630,14890,ALBUQUERQUE (CITY OF) - ENVIRONMENTAL HEALTH DEPT,1986,SMALL SHOPS,,,,U,REMOVED,35.102185,-106.650704,1717 6TH ST NW,,ALBUQUERQUE,87102    ,NM,BERNALILLO,17-JAN-83,04-JAN-92
16631,385,CURRY COUNTY OIL,818,A 1 AERIAL,,,,U,REMOVED,34.412019,-103.449927,3 MILES W GRIER,,CLOVIS,88101    ,NM,CURRY,01-JAN-00,29-JAN-91
16632,379,PRESTON MIKE ATTENTION TAYLOR GENE,819,A 1 MOBILE HOME,,,,U,REMOVED,32.38436,-104.22335,3221 NATIONAL PARKS HWY,,CARLSBAD,88220    ,NM,EDDY,01-JAN-00,30-JUN-93
16633,379,PRESTON MIKE ATTENTION TAYLOR GENE,819,A 1 MOBILE HOME,,,,U,REMOVED,32.38436,-104.22335,3221 NATIONAL PARKS HWY,,CARLSBAD,88220    ,NM,EDDY,01-JAN-00,30-JUN-93
16634,379,PRESTON MIKE ATTENTION TAYLOR GENE,819,A 1 MOBILE HOME,,,,U,REMOVED,32.38436,-104.22335,3221 NATIONAL PARKS HWY,,CARLSBAD,88220    ,NM,EDDY,01-JAN-00,30-JUN-93
16635,316,BRENTARI OIL CO,820,A 1 TIRE CO,,,,U,REMOVED,35.530699,-108.746082,300 W MALONEY,,GALLUP,87301    ,NM,MCKINLEY,05-DEC-51,27-DEC-93
16636,316,BRENTARI OIL CO,820,A 1 TIRE CO,,,,U,REMOVED,35.530699,-108.746082,300 W MALONEY,,GALLUP,87301    ,NM,MCKINLEY,05-DEC-51,27-DEC-93
16637,316,BRENTARI OIL CO,820,A 1 TIRE CO,,,,U,REMOVED,35.530699,-108.746082,300 W MALONEY,,GALLUP,87301    ,NM,MCKINLEY,05-DEC-51,27-DEC-93
16638,388,EVER READY OIL CO,821,ALBERT SANCHEZ BUS CO,,,,U,REMOVED,34.955765,-106.691711,7428 SANCHEZ SW,,ALBUQUERQUE,87105    ,NM,BERNALILLO,01-MAY-76,13-OCT-93
16639,388,EVER READY OIL CO,821,ALBERT SANCHEZ BUS CO,,,,U,REMOVED,34.955765,-106.691711,7428 SANCHEZ SW,,ALBUQUERQUE,87105    ,NM,BERNALILLO,01-MAY-76,13-OCT-93
16640,388,EVER READY OIL CO,821,ALBERT SANCHEZ BUS CO,,,,U,REMOVED,34.955765,-106.691711,7428 SANCHEZ SW,,ALBUQUERQUE,87105    ,NM,BERNALILLO,01-MAY-76,13-OCT-93
16641,342,FRANKEN OIL AND DISTRIBUTING CO,822,A BUSTAMANTE STATION,,,,U,REMOVED,35.374322,-105.450563,SR 3,,RIBERA,87560    ,NM,SAN MIGUEL,19-APR-56,11-DEC-90
