TANK_ID,TANK_INFO_CODE,TANK_INFO_DESCRIPTION,TANK_DETAIL_CODE,TANK_DETAIL_DESCRIPTION
16622.0,B,Contents,B02,DIESEL
16622.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16622.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16623.0,A,Construction Material,A04,FIBERGLASS REINFORCED PLASTIC
16623.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16623.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16623.0,C,Corrosion Protection,C16,NONE - TANK
16623.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16624.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16624.0,B,Contents,B12,EMPTY
16624.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16624.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16624.0,C,Corrosion Protection,C16,NONE - TANK
16624.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16625.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16625.0,B,Contents,B03,UNLEADED GASOLINE
16625.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16625.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16625.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16625.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16625.0,H,Release Detect. Method (Tanks),H09,SIR - STAT INVENTORY RECONCIL
16626.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16626.0,B,Contents,B03,UNLEADED GASOLINE
16626.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16626.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16626.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16626.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16626.0,H,Release Detect. Method (Tanks),H09,SIR - STAT INVENTORY RECONCIL
16627.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16627.0,B,Contents,B03,UNLEADED GASOLINE
16627.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16627.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16627.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16627.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16627.0,H,Release Detect. Method (Tanks),H09,SIR - STAT INVENTORY RECONCIL
16628.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16628.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16628.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16628.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16628.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16628.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16628.0,H,Release Detect. Method (Tanks),H02,TANK TIGHTNESS TEST W INV CONT
16629.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16629.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16629.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16629.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16629.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16629.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16629.0,H,Release Detect. Method (Tanks),H02,TANK TIGHTNESS TEST W INV CONT
16630.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16630.0,B,Contents,B06,USED OIL
16630.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16630.0,C,Corrosion Protection,C16,NONE - TANK
16630.0,F,Piping,F06,UNKNOWN
16631.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16631.0,B,Contents,B12,EMPTY
16631.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16631.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16632.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16632.0,B,Contents,B12,EMPTY
16632.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16632.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16632.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16632.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16633.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16633.0,B,Contents,B12,EMPTY
16633.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16633.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16633.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16633.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16634.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16634.0,B,Contents,B12,EMPTY
16634.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16634.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16634.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16634.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16635.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16635.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16635.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16635.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16635.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16636.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16636.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16636.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16636.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16636.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16637.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16637.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16637.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16637.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16637.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16638.0,A,Construction Material,A07,UNKNOWN
16638.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16638.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16638.0,F,Piping,F06,UNKNOWN
16639.0,A,Construction Material,A07,UNKNOWN
16639.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16639.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16639.0,F,Piping,F06,UNKNOWN
16640.0,A,Construction Material,A07,UNKNOWN
16640.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16640.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16640.0,F,Piping,F06,UNKNOWN
16641.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16641.0,B,Contents,B03,UNLEADED GASOLINE
16641.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16641.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16641.0,F,Piping,F06,UNKNOWN
16642.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16642.0,B,Contents,B03,UNLEADED GASOLINE
16642.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16642.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16642.0,F,Piping,F06,UNKNOWN
16643.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16643.0,B,Contents,B14,KEROSENE
16643.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16643.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16643.0,F,Piping,F06,UNKNOWN
16644.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16644.0,B,Contents,B02,DIESEL
