facility_number,Status,facility_id,Type,Name,Address,Address2,City,State,Zip,Phone,OwnerID,Trust land,Tribe,HighFlow Inspection,Pumps,Tanks,Latitude,Longitude
706346,Inactive,6346,Not Listed,Achille (Att),21 MI S OF ACHILLE ON HWY 78,,Achille,OK,74720,,10350,False,,False,0,1,33.8091,-96.3702
702700,Inactive,2700,Not Listed,Achille Schools,Yuba Site   HWY 91 & 5 TH ST,,Achille,OK,74720,,61,False,,False,0,2,33.8098,-96.2076
708405,Inactive,8405,Not Listed,Formerly Achille 66 Station,HWY 78,,Achille,OK,74720,,1586,False,,False,0,2,33.8321,-96.3874
711060,Active,11060,Gas Station,Kwik Chek 12,HWY 78 & 75A,102 Highway 78,Achille,OK,74720,,4151,False,,False,6,3,33.8333,-96.3875
702759,Inactive,2759,Not Listed,Achille Grocery,18973 STATE HWY 78 N,,Achille,OK,74720,,809018642,False,,False,0,2,33.8353,-96.3871
6206071,Inactive,6071,Not Listed,Kerr Machine Company,BOX 91 N BROADWAY,205 E COTTAGE ST,Ada,OK,74820,,3636,False,,False,0,1,34.7872,-96.6768
6201556,Inactive,1556,Petroleum Distributor,Phillips #1190,330 E 9TH,,Ada,OK,74820,,5034,False,,False,0,3,34.7766,-96.6751
6212673,Active,12673,Gas Station,Homer Stop & Go,4130 ARLINGTON,,Ada,OK,74820,,809019581,False,,False,3,2,34.7817,-96.6175
6258032,Inactive,58032,Gas Station,D & W Super Stop,5020 State Hwy 19,,Ada,OK,74820,,809016072,False,,False,0,2,,
6257095,Inactive,57095,Gas Station,Former Service Station,114 N Constant Ave,,Ada,OK,73901,,809017330,False,,False,0,3,34.7752,-96.6753
6256940,Inactive,56940,Not Listed,Vacant Lot,SW Corner of Rennie & 10th St,,Ada,OK,73901,,1179,False,,False,0,1,34.7754,-96.6773
6211335,Active,11335,Not Listed,Mercy Hospital Ada,430 N Monte Vista,,Ada,OK,74820,5804216107.0,809017516,False,,False,0,4,34.7955,-96.6691
6220970,Inactive,20970,Not Listed,Hodges Car Wash,624 N MISSISSIPPI,,Ada,OK,74820,,809014555,False,,False,0,4,34.7813,-96.6698
