X,Y,OBJECTID,FACILITY_ID,FACILITY_NAME,FACILITY_ADDRESS1,FACILITY_ADDRESS2,FACILITY_CITY,FACILITY_STATE,FACILITY_ZIP,FACILITY_COUNTY,FACILITY_MUNICIPALITY,REG_EXPIRATION_DATE,TANK_OWNER_ID,TANK_OWNER_NAME,TANK_OWNER_ADDRESS1,TANK_OWNER_ADDRESS2,TANK_OWNER_CITY,TANK_OWNER_STATE,TANK_OWNER_ZIP,PRIMARY_FACILITY_ID,SITE_ID,TANK_INFORMATION
-8592049.514,4850072.371,10420,01-00098,GETTYSBURG TRAVEL PLAZA,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,Adams,Straban Twp,2025/06/04 00:00:00+00,139947,CUTTIN CO LLC,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,575017,451147,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-00098&P_ZIP=%
-8618293.084,4827346.774,9787,01-02192,RAVEN ROCK MTN COMPLEX,HARBAUGH VALLEY RD,,FAIRFIELD,PA,17320,Adams,Liberty Twp,2025/06/04 00:00:00+00,163703,RAVEN ROCK MTN COMPLEX,1155 DEFENSE PENTAGON,,WASHINGTON,DC,20301-1155,575021,452770,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-02192&P_ZIP=%
-8593348.946,4852708.05,4606,01-02521,LAWRENCE E WILKINSON,555 RENTZEL RD,,GETTYSBURG,PA,17325-7538,Adams,Butler Twp,2025/06/04 00:00:00+00,165149,LAWRENCE E WILKINSON,555 RENTZEL RD,,GETTYSBURG,PA,17325-7538,575023,560986,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-02521&P_ZIP=%
-8589942.792,4846514.79,3577,01-05516,HUNTERSTOWN COMBUSTION TURBINE,1890 GRANITE STATION RD,,GETTYSBURG,PA,17325,Adams,Straban Twp,2025/06/04 00:00:00+00,351658,HUNTERSTOWN POWER LLC,1890 GRANITE STATION RD,,GETTYSBURG,PA,17325-8348,575041,560999,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-05516&P_ZIP=%
-8610631.631,4843382.996,7364,01-05517,ORRTANNA GENERATING STA,1745 KNOXLYN ORRTANNA RD,,ORRTANNA,PA,17353,Adams,Highland Twp,2025/06/04 00:00:00+00,351656,ORRTANNA POWER LLC,1745 KNOXLYN ORRTANNA RD,,ORRTANNA,PA,17353,575042,497837,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-05517&P_ZIP=%
-8597758.868,4840869.369,2862,01-05523,MET ED GETTYSBURG OFC,261 S FRANKLIN ST,,GETTYSBURG,PA,17325-2506,Adams,Straban Twp,2025/06/04 00:00:00+00,82223,METRO EDISON CO,PO BOX 16001,,READING,PA,19640-0002,575043,509437,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-05523&P_ZIP=%
-8575676.977,4845186.807,5197,01-05648,FROCK BROS TRUCKING,125 FROCK DR,,NEW OXFORD,PA,17350,Adams,Oxford Twp,2025/06/04 00:00:00+00,164911,FROCK BROS TRUCKING INC,PO BOX 157,,NEW OXFORD,PA,17350-0157,575046,561002,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-05648&P_ZIP=%
-8597618.383,4839903.317,5198,01-06949,GETTYSBURG LIBERTY,243 STEINWEHR AVE,,GETTYSBURG,PA,17325-2815,Adams,Gettysburg Boro,2025/06/04 00:00:00+00,213160,KZ STA CORP,243 STEINWEHR AVE,,GETTYSBURG,PA,17325-2815,575051,561007,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-06949&P_ZIP=%
-8595148.648,4837657.334,2863,01-07405,VALLEY QUARRIES,1575 BALTIMORE PIKE,,GETTYSBURG,PA,17325-7089,Adams,Cumberland Twp,2025/06/04 00:00:00+00,62856,NEW ENTERPRISE STONE & LIME CO INC,3912 BRUMBAUGH RD,,NEW ENTERPRISE,PA,16664-9137,575052,245289,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-07405&P_ZIP=%
-8578942.868,4845424.198,2864,01-07545,NEW OXFORD WTP,505 WATER WORKS RD,,NEW OXFORD,PA,17350-1518,Adams,Oxford Twp,2025/06/04 00:00:00+00,28744,NEW OXFORD MUNI AUTH ADAMS CNTY,409 WATER WORKS RD,,NEW OXFORD,PA,17350-1511,575054,454088,http://cedatareporting.pa.gov/Reportserver/Pages/ReportViewer.aspx?/Public/DEP/Tanks/SSRS/TANKS&P_OTHER_ID=01-07545&P_ZIP=%
