SITE_ID,OTHER_ID,PF_NAME,PF_ADDRESS1,PF_ADDRESS2,PF_CITY,PF_STATE,PF_ZIP,COUNTY,MUNICIPALITY,CLIENT_ID,DATE_EXPIRES,CLIENT_NAME,CLIENT_ADDRESS1,CLIENT_ADDRESS2,CLIENT_CITY,CLIENT_STATE,CLIENT_ZIP,SEQ_NUMBER,TANK_CODE,DATE_INSTALLED,CAPACITY,SUBSTANCE_CODE,STATUS,PERMIT_TYPE,PERMIT_STATUS,DATE_LAST_INSPECTION,NEXT_INSPECTION_DUE,NEXT_INSPECTION_DUE_DATE
451147,01-00098,GETTYSBURG TRAVEL PLAZA,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,Adams,Straban Twp,139947,6/4/2026,CUTTIN CO LLC,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,578864 - 001,UST,1/1/1990,6000,GAS,C,OPR,APPR,8/9/2024,FOI,8/9/2027
451147,01-00098,GETTYSBURG TRAVEL PLAZA,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,Adams,Straban Twp,139947,6/4/2026,CUTTIN CO LLC,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,578865 - 002,UST,1/1/1990,10000,GAS,C,OPR,APPR,8/9/2024,FOI,8/9/2027
451147,01-00098,GETTYSBURG TRAVEL PLAZA,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,Adams,Straban Twp,139947,6/4/2026,CUTTIN CO LLC,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,578866 - 003,UST,1/1/1990,10000,DIESL,C,OPR,APPR,8/9/2024,FOI,8/9/2027
451147,01-00098,GETTYSBURG TRAVEL PLAZA,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,Adams,Straban Twp,139947,6/4/2026,CUTTIN CO LLC,25 SANDOE RD,,GETTYSBURG,PA,17325-7561,578867 - 004,UST,1/1/1990,10000,DIESL,C,OPR,APPR,8/9/2024,FOI,8/9/2027
452770,01-02192,RRMC,HARBAUGH VALLEY RD,,FAIRFIELD,PA,17320,Adams,Liberty Twp,163703,6/4/2025,RRMC,1155 DEFENSE PENTAGON,,WASHINGTON,DC,20301-1155,578879 - 003,UST,12/1/1985,20000,DIESL,C,OPR,APPR,1/26/2022,FOI,1/26/2025
452770,01-02192,RRMC,HARBAUGH VALLEY RD,,FAIRFIELD,PA,17320,Adams,Liberty Twp,163703,6/4/2025,RRMC,1155 DEFENSE PENTAGON,,WASHINGTON,DC,20301-1155,578893 - 010,UST,9/1/1991,6000,DIESL,C,OPR,APPR,1/26/2022,FOI,1/26/2025
560986,01-02521,LAWRENCE E WILKINSON,555 RENTZEL RD,,GETTYSBURG,PA,17325-7538,Adams,Butler Twp,165149,6/4/2026,LAWRENCE E WILKINSON,555 RENTZEL RD,,GETTYSBURG,PA,17325-7538,578914 - 003,UST,11/20/1998,5000,DIESL,C,OPR,APPR,4/30/2025,FOI,4/30/2028
560986,01-02521,LAWRENCE E WILKINSON,555 RENTZEL RD,,GETTYSBURG,PA,17325-7538,Adams,Butler Twp,165149,6/4/2026,LAWRENCE E WILKINSON,555 RENTZEL RD,,GETTYSBURG,PA,17325-7538,578915 - 004,UST,11/20/1998,5000,DIESL,C,OPR,APPR,4/30/2025,FOI,4/30/2028
509437,01-05523,MET ED GETTYSBURG OFC,261 S FRANKLIN ST,,GETTYSBURG,PA,17325-2506,Adams,Straban Twp,82223,6/4/2026,METRO EDISON CO,PO BOX 16001,,READING,PA,19640-0002,578968 - 003,UST,6/1/1990,4000,GAS,C,OPR,APPR,11/22/2023,FOI,11/22/2026
509437,01-05523,MET ED GETTYSBURG OFC,261 S FRANKLIN ST,,GETTYSBURG,PA,17325-2506,Adams,Straban Twp,82223,6/4/2026,METRO EDISON CO,PO BOX 16001,,READING,PA,19640-0002,578969 - 004,UST,6/1/1990,4000,DIESL,C,OPR,APPR,11/22/2023,FOI,11/22/2026
