Facilityid,Sitenumber,Facilityname,Facilityaddress1,Facilityaddress2,Facilitycity,Facilityzip,Facilitycounty,Casemanager,Section,Casedescription,Cause,Discoverydate,Currentstatus,Productreleased,Company,Ownercontact,Caccontact,Contacttitle,Caccompany,Howdiscovered
10021,1,TN ARMY/NAT GUARD,Charles Sevier Blvd.,,Clinton,37716,Anderson,,FO,Perm. Closure,7 Unknown,,8 Case Closed,,HEADQUARTERS TN ARMY/NAT GUARD, , ,,"Jim Miller Excavating Co., Inc.",8 Other
10070,1,O.R.A.U. MEDICAL DIV.,140 E. VANCE RD.,,Oak Ridge,37831,Anderson,Steve Wilson,FO,,,,8 Case Closed,,DEPARTMENT OF ENERGY, ,,,,
10097,1,TENN DOT - Anderson Co.,MODINE ROAD,,Clinton,37716,Anderson,Wayne Clifford,FO,,5 Pipe Failure,APR-05-1994,8 Case Closed,,"TENN DOT., ATTN: ALA", , ,,,
10097,2,TENN DOT,MODINE ROAD,,Clinton,37716,Anderson,Wayne Clifford,FO,,,,1a Completed Tank Closure,,"TENN DOT., ATTN: ALAN PINSON", ,,,,
10110,1,Oak Ridge Post Office,301 South Tulane Avenue,,Oak Ridge,37830,Anderson,Rick Huchison,FO,Closure of Tank 2A,,,1a Completed Tank Closure,,,,,,,
10117,1,Y-12 PLANT,BEAR CREEK ROAD,,Oak Ridge,37831,Anderson,,TECH,,5 Pipe Failure,,8 Case Closed,,US DOE OAK RIDGE OPERATIONS, ,,,,
10117,2,Y-12 PLANT,BEAR CREEK ROAD,,Oak Ridge,37831,Anderson,,TECH,Rust Garage Facility,5 Pipe Failure,,8 Case Closed,,U S DEPT OF ENERGY O, ,,,,
10117,3,Y-12 PLANT,Bear Creek Road,,Oak Ridge,37831,Anderson,Rick Huchison,FO,failed LTT conducted January 2011.,,,8 Case Closed,,,,,,,
10117,4,Y-12 PLANT,Bear Creek Road,,Oak Ridge,37831,Anderson,Wayne Clifford,FO,,,,8 Case Closed,,,,,,,
10174,1,EAGLE BEND FISH HATCHERY,1201 MOORE ST,,Clinton,37716,Anderson,Wayne Clifford,FO,,,OCT-09-1998,8 Case Closed,,TENN WILDLIFE RESOUR, ,,,,
10184,1,SCIENTIFIC TECH AND INFO OFFICE,1916-T1 Brisbane Road,,Oak Ridge,37831,Anderson,Wayne Clifford,FO,,,,1a Completed Tank Closure,,U S DEPARTMENT OF ENERGY, ,,,,
20095,1,TENN DOT,RT 5 S.R. 64,,Shelbyville,37160-9805,Bedford,Donene Payne,FO,,7 Unknown,AUG-07-1997,8 Case Closed,,"TENN DOT., ATTN: ALA", , ,,"TVG Environmental, Inc.",1 At Closure
20095,2,TENNESSEE DOT,Rt. 5 S.R. 64,,Shelbyville,37160,Bedford,Steve McMahan,FO,"Suspected UST piping closure, subsequently could not confirm UST, case closed.",7 Unknown,OCT-19-2011,8 Case Closed,,TDOT, ,,,,8 Other
20099,1,TENN NATIONAL GUARD,RT #4 FAYETTEVILLE HWY,,Shelbyville,37160-9804,Bedford,Lee Mathis,FO,,8 Other,FEB-28-1994,8 Case Closed,,HEADQUARTERS TN ARMY, , ,,"TVG Environmental, Inc.",3 On-site Impact
20165,1,FORMER DAVIS HILL MARKET,3705 HWY 41-A,,Normandy,37360,Bedford,Dale Robinson,FO,TANK CLOSURE,,,8 Case Closed,,,,,,,
30045,1,TENN WILDLIFE RESOURCES AGENCY,HWY 70 EAST,,Camden,38320,Greene,Robert Strong,FO,,7 Unknown,MAR-14-1998,8 Case Closed,,Capital Projects Management, , ,,"ATC Associates, Inc.",1 At Closure
40019,1,Southeastern Department of Correction,RT 4 BOX 600,,Pikeville,37367,Bledsoe,Randy Slater,FO,,,,1a Completed Tank Closure,,CORRECTIONS - FISCAL SERVICES, ,,,,
40020,1,TAFT YOUTH CENTER,RT#4 BOX 400,,Pikeville,37367,Bledsoe,Randy Slater,FO,"1989, ""Warehouse"", failed systems test.",7 Unknown,OCT-10-1989,8 Case Closed,,"c/o George G. Brummett, Jr.", , ,,AQUATERRA Inc.,6 Tightness Testing
40020,2,TAFT YOUTH CENTER,RT#4 BOX 400,,Pikeville,37367,Bledsoe,Ian Barrett,FO,"Tank #4, failed systems test.",7 Unknown,JUN-06-1995,8 Case Closed,,TAFT YOUTH CENTER, , ,,AQUATERRA Inc.,
40020,3,TAFT YOUTH CENTER,RT#4 BOX 400,,Pikeville,37367,Bledsoe,Randy Slater,FO,Tank Closure. (#3),7 Unknown,SEP-03-1998,1a Completed Tank Closure,,TAFT YOUTH CENTER, ,,,,1 At Closure
40021,1,TENN. DIV. OF FORESTRY,OFF HWY 30 6 MI.NW OF PIKEV'E,,Pikeville,37367,Bledsoe,Randy Slater,FO,Tank Closure.,,,1a Completed Tank Closure,,DEPT OF AGRICULTURE - FORESTRY, ,,,,
40022,1,TENN DOT Bledsoe County,MANUFACTURE RD.,,Pikeville,37367,Bledsoe,Randy Slater,FO,,7 Unknown,APR-29-1994,8 Case Closed,,"TENN DOT., ATTN: ALA  C/O", , ,,Quantum Environmental & Engineering Services (QE2),
40039,1,FALL CREEK FALLS,Fire Tower 7 Miles Northwest of ,,Pikeville,37367,Bledsoe,Bruce Rohrbaugh,FO,Line removal and closure in place for tank,,,1a Completed Tank Closure,,TENN DEPT OF SAFETY, ,,,,
50150,1,NEW FA ATCT,MCGHEE-TYSON AIRPORT,,Alcoa,37701,Blount,Wayne Clifford,FO,,,,1a Completed Tank Closure,,DOT/FEDERAL AVIATION, ,,,,
50191,1,TENN DOT,BOX 322 LOUISVILLE RD,,Maryville,37701,Blount,Rick Huchison,FO,,7 Unknown,JUN-13-1997,8 Case Closed,,Tennessee Department of Transportation,Barry Brown,Doug Cantrell,Mr.,Quantum Environmental and Engineering Services,1 At Closure
50192,1,STATE OF TENN (HOW BTRY 1/278TH,1721 HWY 321,,Maryville,37801,Blount,Wayne Clifford,FO,,,,1a Completed Tank Closure,,HEADQUARTERS TN ARMY, ,,,,
50285,1,TENNESSEE AIR NATIONAL GUARD,420 POST RD,,Louisville,37777,Blount,Wayne Clifford,FO,"POL Fuel Pipeline (Site 12 (2) Diesel 3,000 gal",5 Pipe Failure,APR-25-1991,8 Case Closed,,MCGHEE TYSON AIRPORT, ,,,,
50285,2,TENNESSEE AIR NATIONAL GUARD,420 POST RD,,Louisville,37777,Blount,Wayne Clifford,FO,134ARG/DE Site 13A,7 Unknown,FEB-06-1992,8 Case Closed,,MCGHEE TYSON AIRPORT, ,,,,
50285,3,TENNESSEE AIR NATIONAL GUARD,90 Briscoe Drive,,Louisville,37777,Blount,Wayne Clifford,FO,Failed ATG,,,8 Case Closed,,,,,,,2 Release Detection
50285,4,TENNESSEE AIR NATIONAL GUARD,90 Briscoe Drive,,Louisville,37777,Blount,Rick Huchison,FO,suspected release Tank 10a (plus unleaded),,JUL-02-2009,8 Case Closed,,,,,,,2 Release Detection
60047,1,CLEVELAND POWER SERVICE CTR.,2190 S. LEE HWY,,Cleveland,37311,Bradley,,FO,Closed,7 Unknown,DEC-05-1991,8 Case Closed,,TENNESSEE VALLEY AUT, , ,,Marion Environmental Incorporated,1 At Closure
60053,1,CLEVELAND ST. COMMUNITY COLLEGE,NORMAND CHAPPEL RD,,Cleveland,37311,Bradley,,LT,,7 Unknown,MAY-17-1996,8 Case Closed,,CLEVELAND ST. COMMUN, , ,,AQUATERRA Inc.,
60053,2,CLEVELAND ST. COMMUNITY COLLEGE,3535 ADKISSON DRIVE,,Cleveland,37320,Bradley,Karen Ridolfo,FO,Tank Closure/Closed.,,,1a Completed Tank Closure,,CLEVELAND ST. COMMUNITY COLLEGE, ,,,,
60168,1,TENN DOT   (Bradley County TDOT),WATER LEVEL HWAY,,Cleveland,37311,Bradley,Donene Payne,FO,,7 Unknown,NOV-15-1999,8 Case Closed,,"TENN DOT., ATTN: Steve L. Westerman", , ,,Quantum Environmental & Engineering Services (QE2),1 At Closure
60176,1,TENN NAT.GUARD/TRP A 1/278TH ACR,4185 DALTON PIKE,,Cleveland,37311,Bradley,Karen Ridolfo,FO,Tank Closure/Closed,,,1a Completed Tank Closure,,HEADQUARTERS TN ARMY/NAT GUARD, ,,,,
60183,1,Former Waterville Grocery,3681 Dalton Pike,,Cleveland,37323,Bradley,Nicole Lizotte,FO,Completed Tank Closure,,,1a Completed Tank Closure,,Tennessee Department of Transportation,Dwight Armstrong,Bruce Stearns,Mr.,MACTEC,
60212,1,RED CLAY STATE PARK,1140 RED CLAY RD SE,,Cleveland,37311,Bradley,Nicole Lizotte,FO,Completed Tank closure,,,1a Completed Tank Closure,,TN. DEPT. OF CONSERVATION, , ,,Ferguson Harbour Incorporated,
70034,1,FORESTRY DIV. LAFOLLETTE,208 N IND. AVE,,Lafollette,37766,Campbell,Wayne Clifford,LT,,4 Corrosion,JUN-16-1992,8 Case Closed,,DEPT OF AGRICULTURE, ,,,,1 At Closure
70074,1,TENN DOT,1600 APPALACHIAN HWY.,,La Follette,37766,Campbell,Wayne Clifford,FO,transferred case from RAH to EWC on 10-9-06,4 Corrosion,OCT-28-1991,8 Case Closed,,"TENN DOT., ATTN: ALAN PINSON", , ,,"Theta Engineering, Inc.",5 Site Check
70098,1,THE LAFOLLETTE HOUSING AUTHORITY,801 South 4th St.,,La Follette,37766,Campbell,Wayne Clifford,FO,SIR fail for Oct and Nov 2005,7 Unknown,MAR-02-2006,8 Case Closed,,THE LAFOLLETTE HOUSING AUTHORITY, ,,,,8 Other
70098,2,Lafollette Housing Authority,802 South 4th Street,,La Follette,37766,Campbell,Wayne Clifford,FO,,,,1a Completed Tank Closure,,,,,,,
70109,1,COVE LAKE STATE PARK,RT 2 BOX 500,,Caryville,37714,Campbell,Wayne Clifford,FO,,7 Unknown,OCT-09-1998,8 Case Closed,,TN. DEPT. OF CONSERV, ,,,,1 At Closure
70110,1,NORRIS DAM STATE PARK,ROUTE 1 BOX 500,,Lake City,37769,Campbell,Wayne Clifford,FO,,7 Unknown,OCT-09-1998,8 Case Closed,,TN. DEPT. OF CONSERV, ,,,,1 At Closure
