ï»¿OBJECTID,LUSTKEY,DERRID,PROJECTMAN,NOTIFICATI,DATECLOSE,CLOSURETYPE,DEPTHGW,GWFLOWDIR1,GWFLOWDIR2,CAPSOILTRE,CAPH2OTREA,PSTFUNDSTA,PSTFUNDPER,DEDUCTIBLE,FACILITYID,NFAFORM,MAPLABEL,BLUESTAKES,ENVCOV,RESIDUALCONTAMMAP
1,6,FYG,[Shelly Quick],7/18/1990 12:00:00 AM,2/1/1991 12:00:00 AM,<blank>,10ft,E,W,,,,,,1,<Blank>,FYG - MUNICIPAL AIRPORT,No,No,No
2,7,GZJ,[Kirsten Kelly],7/23/1991 12:00:00 AM,2/12/1996 12:00:00 AM,<blank>,,,,,,,,,3,<blank>,GZJ - ANDERSON'S FORD INC.,No,No,No
3,8,HPV,[Dale Urban],6/29/1992 12:00:00 AM,3/1/1996 12:00:00 AM,<blank>,,,,,,,,,5,Tier 1 Worksheet,"HPV - AXTELL CHEVROLET CO., INC.",No,No,No
4,9,JVS,UST,10/24/1996 12:00:00 AM,10/24/1996 12:00:00 AM,< RCL/MCL,Unknown,,,,,,,,6,UST NFA,JVS - ATandT RIVERSIDE RS UT0560,No,No,No
5,10,JVT,UST,10/22/1996 12:00:00 AM,10/22/1996 12:00:00 AM,< RCL/MCL,,,,,,,,,7,UST NFA,JVT - ATandT NORTH OGDEN RS UT0550,No,No,No
6,11,JHR,UST,12/26/1995 12:00:00 AM,1/4/1996 12:00:00 AM,< RCL/MCL,,,,,,,,,9,UST NFA,JHR - ATandT BRIGHAM CITY RS,No,No,No
7,12,FUS,[Pete Stewart],6/14/1990 12:00:00 AM,3/15/1995 12:00:00 AM,<blank>,Unknown,,,,,,,,10,<blank>,FUS - LUNDBERG REPAIR,No,No,No
8,13,HRZ,[Pete Stewart],7/28/1992 12:00:00 AM,10/19/1995 12:00:00 AM,<blank>,,,,,,,0.0,0.0,11,<blank>,HRZ - BEAVER MOUNTAIN SKI AREA,No,No,No
9,3293,KIH,[Lenora Bishop],1/9/1998 12:00:00 AM,4/17/1998 12:00:00 AM,< Tier 1,Unknown,,,0.0,0.0,,0.0,0.0,11,Tier 1 Worksheet,KIH - BEAVER MOUNTAIN SKI AREA,No,No,No
10,4959,MNB,[Melissa Turchi],6/4/2009 12:00:00 AM,10/15/2013 12:00:00 AM,Int. CO Files to UST,,,,0.0,0.0,,,0.0,13,UST NFA,MNB - COVE LAND AND LIVESTOCK,No,No,No
11,14,JXA,Michael Pecorelli,1/17/1997 12:00:00 AM,1/31/1997 12:00:00 AM,<blank>,300ft,S,,,,,0.0,0.0,16,<blank>,JXA - BLUE CREEK WHEAT FARM,No,No,No
12,15,JTX,Hillary Mason,10/2/1996 12:00:00 AM,11/4/1996 12:00:00 AM,<blank>,~50ft,SW,,,,,,,17,Tier 1 Worksheet,JTX - BOB'S TIRE and SERVICE CENTER,No,No,No
13,16,ITA,[Jim Martin],10/18/1994 12:00:00 AM,11/18/1994 12:00:00 AM,Int. CO Files to UST,,,,,,,0.0,0.0,18,<blank>,ITA - BOX ELDER COUNTY MOSQUITO DIST.,No,No,No
14,3815,LAH,UST,5/13/1999 12:00:00 AM,5/13/1999 12:00:00 AM,< RCL/MCL,,,,0.0,0.0,,0.0,0.0,20,UST NFA,LAH - BOX ELDER COUNTY NURSING HOME,No,No,No
15,17,HLF,[Pete Stewart],3/12/1992 12:00:00 AM,8/18/1992 12:00:00 AM,<blank>,,,,,,,,,22,<blank>,HLF - WAYNE H BRAEGGER,No,No,No
16,18,IYK,UST,5/2/1995 12:00:00 AM,6/12/1995 12:00:00 AM,< RCL/MCL,,,,,,,,,23,UST NFA,IYK - BRIGHAM CITY COMMUNITY HOSPITAL,No,No,No
17,3592,KRY,Kevin Beery,10/30/1998 12:00:00 AM,3/2/1999 12:00:00 AM,< RCL/MCL,unknown,,,0.0,0.0,,0.0,0.0,29,Tier 1 Worksheet,KRY - CACHE COUNTY ROAD DEPARTMENT,No,No,No
18,20,KCV,Kevin Beery,6/23/1997 12:00:00 AM,8/23/2018 12:00:00 AM,> Tier 1,5,W,NW,,,Eligible (100),100.0,10000.0,30,Tier 1 Worksheet w/ Supp. Info,KCV - MAVERIK #181,No,No,No
19,4037,LIG,Kevin Beery,12/15/2000 12:00:00 AM,7/8/2002 12:00:00 AM,<blank>,,,,0.0,0.0,,0.0,0.0,30,<Blank>,LIG - MAVERIK #181,No,No,No
20,21,HZK,Michael Pecorelli,1/25/1993 12:00:00 AM,1/4/2010 12:00:00 AM,> Tier 1,0.5-11,NW,,,,Eligible (100),100.0,25000.0,31,Tier 1 Worksheet,HZK - MAVERIK #160 RANDOLPH,No,No,No
21,22,IRO,[Jim Martin],9/1/1994 12:00:00 AM,7/13/1995 12:00:00 AM,<blank>,,,,,,,0.0,0.0,32,<blank>,IRO - MAVERIK #373,No,No,No
22,3988,LGK,Kevin Beery,8/18/2000 12:00:00 AM,5/10/2001 12:00:00 AM,Internal Close-out,,,,0.0,0.0,,0.0,0.0,32,Internal Closeout Memo,LGK - MAVERIK #373,No,No,No
23,5469,NFT,UST,1/28/2015 12:00:00 AM,2/6/2015 12:00:00 AM,< ISL,,,,0.0,0.0,,,0.0,32,UST NFA,NFT - MAVERIK #373,No,No,No
24,23,INT,Hong-Lei Tao,4/12/1994 12:00:00 AM,2/12/2018 12:00:00 AM,> Tier 1,3,W,,,,Eligible (100),100.0,25000.0,33,Tier 1 Worksheet w/ Supp. Info,INT - MAVERIK #44 SMITHFIELD,Yes,No,No
25,24,IFX,Michael Pecorelli,8/30/1993 12:00:00 AM,10/4/2002 12:00:00 AM,< Tier 1,8.5-12.0,SE,,,,Eligible (100),100.0,35000.0,34,Tier 1 Worksheet w/ Supp. Info,IFX - MAVERIK #144 TREMONTON,No,No,No
