FacilityID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibility,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID,DispenserID,DispenserUDC,DispenserUDCWallType
1,Suburban Heating Oil  Stowe Facility,Bulk,Commercial,,2333 Pucker Road (Route 100),,Stowe,Lamoille,05672,VT,1,,,44.4873507245166,-72.6525816667005,Unknown,Suburban Heating Oil Partners ,Suburban Propane,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
7,Walter E Jock Oil Co Inc,Bulk,Commercial,,34 Railroad Street,,Newbury,Orange,05081,VT,1,,,44.153045569,-72.0434183267,Unknown,Walter E Jock Oil Company Inc,Walter E Jock Oil Company Inc,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
11,Maplefields at Madonna,Retail,Retail,,4828 VT Route 15,,Cambridge,Lamoille,05464,VT,1,,,44.644351966662,-72.8337765112721,Unknown,R L Vallee Inc,R L Vallee Inc,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
13,JAAW LLC,Retail,Retail,,164 Route 100   West Dover,,Dover,Windham,05356,VT,1,,,42.942507591,-72.8587617915,Unknown,JAAW LLC,W & B Management Inc,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
14,The Marina at Ladd's Landing,Retail,Retail,,412 US Route 2,,Grand Isle,Grand Isle,05458,VT,1,,,44.7649671571,-73.286552662,Unknown,Ladd's Landing Marina LLC,Ladd's Landing Marina LLC,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
15,Hero's Welcome,Retail,Retail,,3537 US Route 2,,North Hero,Grand Isle,05474,VT,1,,,44.816346303,-73.2906132266,Unknown,"Lake Country Provisions, LLC","Lake Country Provisions, LLC",,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
16,Harborside Market,Retail,Retail,,8986 US Route 2,,North Hero,Grand Isle,05474,VT,1,,,44.8832638662,-73.2716517245,Unknown,R L Vallee Inc,Todd Keyworth,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
18,Simon's Milton,Retail,Retail,,6 River Street (Route 7),,Milton,Chittenden,05468,VT,1,,,44.6393365531764,-73.113302520936,Unknown,Slimain Handy's Conven Stores Inc,Slimain Handy's Conven Stores Inc,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
20,Highgate Village Mobil,Retail,Retail,,3108 VT Route 78,,Highgate,Franklin,05459,VT,1,,,44.9384218993158,-73.0445447948593,Unknown,R L Vallee Inc,R L Vallee Inc,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
21,Simon's Four Corner Store,Retail,Retail,,16 Heineberg Drive,,Colchester,Chittenden,05446,VT,1,,,44.5364514476,-73.2481531137,Unknown,R L Vallee Inc,Simons Four Corners Store Inc,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
27,Switchyard Mobil,Retail,Retail,,138 Lake Street,,Saint Albans City,Franklin,05478,VT,1,,,44.8105915734,-73.0892671974,Unknown,R L Vallee Inc,R L Vallee Inc,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
29,Maplefields North,Retail,Retail,,366 Swanton Road,,Saint Albans Town,Franklin,05478,VT,1,,,44.8388057279,-73.082746501,Unknown,R L Vallee Inc,R L Vallee Inc,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
30,Fairfield Market,Retail,Retail,,4684 Route 36,,Fairfield,Franklin,05455,VT,1,,,44.8018943133578,-72.9407973472214,Unknown,JCS Holdings LLC,JCS Holdings LLC,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
33,Sheldon's Market,Retail,Retail,,6057 VT Route 30 South,,Pawlet,Rutland,05761,VT,1,,,43.3415080004506,-73.1767259080734,Unknown,Lynn Sheldon,Lynn Sheldon,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
35,Skip's Mart/Parrish's Mobil,Service Station,Retail,,12 North Main Street,,Rochester,Windsor,05767,VT,1,,,43.8747069387,-72.8079671066,Unknown,Khalsa Market Inc.,Khalsa Market Inc.,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
42,Mac's Quik Stop,Retail,Retail,,233 South Main Street,,Saint Albans City,Franklin,05478,VT,1,,,44.7986073202,-73.0909318683,Unknown,AA & Sea LLC,AA & Sea LLC,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
44,Jay Country Store,Retail,Retail,,1077 VT Route 242,,Jay,Orleans,05859,VT,1,,,44.9474220178,-72.439052572,Unknown,Jay Country Store,Jay Country Store,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
48,Dummerston Circle K #7406,Retail,Retail,,2557 West River Road,,Dummerston,Windham,05357,VT,1,,,42.9268751686,-72.6124986555,Unknown,Irving Oil Terminals Inc,Mac's Convenience Stores LLC,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
53,C Village Store,Retail,Retail,,25A South Craftsbury Road,,Craftsbury,Orleans,05826,VT,1,,,44.6357276447084,-72.3728341951065,Unknown,C Village Store Inc,C Village Store Inc,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
54,Eden General Store,Retail,Retail,,2918 VT Route 100,,Eden,Lamoille,05652,VT,1,,,44.7072628214,-72.5448347111,Unknown,Eden General Store,Sherry Sargent,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
55,Washington Village Store,Retail,Retail,,2980 Main Street (Route 110),,Washington,Orange,05675,VT,1,,,44.10734804,-72.4335349996,Unknown,Washington Village Store LLC,Washington Village Store LLC,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
56,Hardwick Jiffy Mart #457,Retail,Retail,,107  Mill Street,,Hardwick,Caledonia,05819,VT,1,,,44.5038207158,-72.3640595457,Unknown,Global Montello Group Corp,Global Montello Group Corp,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,Yes,,Unknown,Unknown,Unknown
57,Newport Car Wash & Mini Mart,Service Station,Retail,,398 Western Avenue,,Newport City,Orleans,05855,VT,1,,,44.9393501487,-72.197687622,Unknown,"A & J Properties, LLC","Ward's Fuels, LLC",,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
58,Hilliker's Store,Retail,Retail,,2519 VT Route 105  Newport Center,,Newport Town,Orleans,05857,VT,1,,,44.9313227539,-72.2889874602,Unknown,Hilliker's Store,Hilliker's Store,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
59,G&T Bliss Corp dba Troy Hoagies Mini Mart,Retail,Retail,,298 Route 101  North Troy,,Troy,Orleans,05858,VT,1,,,44.9607592737,-72.4136224895,Unknown,G&T Bliss Corp,Tina Bliss,,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
60,Wolcott Store,Retail,Retail,,4076 VT Route 15,,Wolcott,Lamoille,05680,VT,1,,,44.5474539173,-72.4621315289,Unknown,Wolcott Store,Casey Locke,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,,No,,Unknown,Unknown,Unknown
