FacilityID,Actual Lat,Actual Long
319,43.343,-72.5219
397,43.1736,-73.0605
504,43.6681,-72.8036
583,43.5315,-72.9374
679,44.5079,-72.9036
1088,44.4224,-73.0058
1197,44.8156,-73.085
1303,44.428,-73.2106
1372,44.25,-72.7614
1565,43.5157,-73.2328
1581,45.0027,-71.7996
1595,44.5436,-73.2142
1649,43.8331,-72.3236
1786,43.83,-72.6326
1854,43.594,-73.04
1920,43.9266,-72.6569
1961,44.7879,-72.3001
2008,44.937,-72.2118
2452,43.61,73.2083
2476,44.0892,-73.3028
3017,43.123,-72.4381
3056,44.598,-73.1624
3084,44.5986,-73.1615
2537311,44.5105,-72.7655
4429873,42.8968,-73.2057
4725967,44.5158,-72.3745
6580721,44.4648,-73.1287
6854646,43.9925,-72.4474
