FacilityID,TankID,TankName,TankLocation,TankStatus,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrantSystem,MultipleTanks,TankClosureDate,TankInstallationDate,CompartmentalizedUST,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther,DispenserID,DispenserUDC,DispenserUDCWallType
1,6816,1998-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,No,1,Protected steel,No,No,No,No,Yes,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
1,6817,1998-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
7,6820,1995-4,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1995.0,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
7,6821,1995-3,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1995.0,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
7,6822,1997-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1997.0,No,1,Protected Steel with supplemental anodes,Yes,No,No,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
7,6823,1997-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1997.0,No,1,Protected Steel with supplemental anodes,Yes,No,No,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
8,6824,1976-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1976.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
11,6833,1998-1-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,1998.0,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
11,6834,2003-3,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,2003.0,No,1,Protected fiberthane steel tank,No,No,No,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
11,16343,2009-2-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,Yes,2,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
13,6840,1988-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1988.0,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
13,6841,1988-3,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1988.0,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
