Facility ID,Owner Name,Facility Name,Street Address,City,Zip,County,Tank Id,Installed,Material,Compartments,Tank Status,Regulated,Closed,Capacity,Substance
2302809,"ARCH OF WEST VIRGINIA, INC.",AMHERST 4H MINE,BUFFALO CRK RD,ACCOVILLE,25606,Logan,-1,1981-07-12,Steel,1,Permanently Out of Service,Yes,1988-03-15,6000.0,Other
2302810,"ARCH OF WEST VIRGINIA, INC.",MOUNTAINEER STEEL,RIGHT FORK OF BUFFALO CRK,ACCOVILLE,25606,Logan,-2,1977-01-21,Steel,1,Permanently Out of Service,Yes,1990-12-19,2000.0,Gasoline
2302810,"ARCH OF WEST VIRGINIA, INC.",MOUNTAINEER STEEL,RIGHT FORK OF BUFFALO CRK,ACCOVILLE,25606,Logan,-1,1977-01-21,Steel,1,Permanently Out of Service,Yes,1988-09-29,6000.0,Gasoline
2309195,"DOMINION ENERGY TRANSMISSION, INC.",HUFF CREEK COMPRESSOR STATION,PO BOX 359,ACCOVILLE,25606,Logan,-1,,Steel,1,Permanently Out of Service,Yes,1990-11-15,500.0,Hazardous Substance
4907256,UNCERTAIN/UNKNOWN,ABANDONED STATION,INTER OF GOULD RD & RT 20,ADRIAN,26210,Upshur,1,,Not Listed,1,Permanently Out of Service,Yes,,111.0,Not Listed
4907256,UNCERTAIN/UNKNOWN,ABANDONED STATION,INTER OF GOULD RD & RT 20,ADRIAN,26210,Upshur,2,,Not Listed,1,Permanently Out of Service,Yes,,111.0,Not Listed
4907256,UNCERTAIN/UNKNOWN,ABANDONED STATION,INTER OF GOULD RD & RT 20,ADRIAN,26210,Upshur,3,,Not Listed,1,Permanently Out of Service,Yes,,111.0,Not Listed
4907256,UNCERTAIN/UNKNOWN,ABANDONED STATION,INTER OF GOULD RD & RT 20,ADRIAN,26210,Upshur,4,,Not Listed,1,Permanently Out of Service,Yes,,111.0,Not Listed
4907256,UNCERTAIN/UNKNOWN,ABANDONED STATION,INTER OF GOULD RD & RT 20,ADRIAN,26210,Upshur,5,,Not Listed,1,Permanently Out of Service,Yes,,111.0,Not Listed
3902992,DEWITT'S USED AUTO SALES LLC,ALBRIGHT OIL INC, 2748 N PRESTON HWY,ALBRIGHT,26519,Preston,-1,1976-05-07,Steel,1,Permanently Out of Service,Yes,2011-06-30,20000.0,Diesel
3903008,THE POINT LLC,The Pont LLC DBA The Point Convenience,9395 N. PRESTON HWY,ALBRIGHT,26519,Preston,-3,1973-05-07,Steel,1,Permanently Out of Service,Yes,1992-06-17,1000.0,Gasoline
3903008,THE POINT LLC,The Pont LLC DBA The Point Convenience,9395 N. PRESTON HWY,ALBRIGHT,26519,Preston,-2,1976-05-07,Steel,1,Permanently Out of Service,Yes,1992-06-17,2000.0,Gasoline
3903008,THE POINT LLC,The Pont LLC DBA The Point Convenience,9395 N. PRESTON HWY,ALBRIGHT,26519,Preston,-1,1978-05-07,Steel,1,Permanently Out of Service,Yes,1992-06-17,4000.0,Gasoline
3903008,THE POINT LLC,The Pont LLC DBA The Point Convenience,9395 N. PRESTON HWY,ALBRIGHT,26519,Preston,1,1994-07-01,Polyethylene Tank Jacket,5,Currently In Use,Yes,,15000.0,"Diesel
Gasoline
Premium Unleaded"
3904592,NORTH PRESTON KWIK STOP LLC,NORTH PRESTON KWIK STOP LLC, 2735 N PRESTON HWY,ALBRIGHT,26519,Preston,1,1986-05-01,Steel,1,Permanently Out of Service,Yes,2018-09-28,8000.0,Gasoline
3904592,NORTH PRESTON KWIK STOP LLC,NORTH PRESTON KWIK STOP LLC, 2735 N PRESTON HWY,ALBRIGHT,26519,Preston,2,1986-05-01,Steel,1,Permanently Out of Service,Yes,2018-09-28,8000.0,Gasoline
3904592,NORTH PRESTON KWIK STOP LLC,NORTH PRESTON KWIK STOP LLC, 2735 N PRESTON HWY,ALBRIGHT,26519,Preston,3,1986-05-01,Steel,1,Permanently Out of Service,Yes,2018-09-28,6000.0,Gasoline
3904592,NORTH PRESTON KWIK STOP LLC,NORTH PRESTON KWIK STOP LLC, 2735 N PRESTON HWY,ALBRIGHT,26519,Preston,4,1986-05-01,Steel,1,Permanently Out of Service,Yes,2018-09-28,10000.0,Diesel
3904592,NORTH PRESTON KWIK STOP LLC,NORTH PRESTON KWIK STOP LLC, 2735 N PRESTON HWY,ALBRIGHT,26519,Preston,5,1986-05-01,Steel,1,Permanently Out of Service,Yes,2018-09-28,4000.0,Kerosene
3904597,"AT&T COMMUNICATIONS, INC.",AT&T VALLEY POINT FAICLITY,4 1/2 MIN N OF ALBRIGHT,ALBRIGHT,26519,Preston,-1,1968-01-01,Steel,1,Permanently Out of Service,Yes,1993-08-25,2000.0,Diesel
3904672,"BOLINGER, WILLIAM F",LENOX GROCERY,RT 2 BOX 283,ALBRIGHT,26519,Preston,-4,1983-05-14,Steel,1,Permanently Out of Service,Yes,1995-07-24,6000.0,Gasoline
3904672,"BOLINGER, WILLIAM F",LENOX GROCERY,RT 2 BOX 283,ALBRIGHT,26519,Preston,-3,1981-05-15,Steel,1,Permanently Out of Service,Yes,1995-07-24,2000.0,Gasoline
3904672,"BOLINGER, WILLIAM F",LENOX GROCERY,RT 2 BOX 283,ALBRIGHT,26519,Preston,-2,1978-05-14,Steel,1,Permanently Out of Service,Yes,1991-05-10,1000.0,Diesel
3904672,"BOLINGER, WILLIAM F",LENOX GROCERY,RT 2 BOX 283,ALBRIGHT,26519,Preston,-1,1978-05-14,Steel,1,Permanently Out of Service,Yes,1991-05-10,550.0,Diesel
3904679,"ALLEGHENY ENERGY SUPPLY COMPANY, LLC",ALBRIGHT POWER STATION,RT 26 N,ALBRIGHT,26519,Preston,-2,1991-10-01,Fiberglass Reinforced Plastic,1,Permanently Out of Service,Yes,2008-06-18,1000.0,Gasoline
3904679,"ALLEGHENY ENERGY SUPPLY COMPANY, LLC",ALBRIGHT POWER STATION,RT 26 N,ALBRIGHT,26519,Preston,-1,1980-05-25,Steel,1,Permanently Out of Service,Yes,1991-09-26,1000.0,Gasoline
3904702,"RINGER TRI-STATE OIL CO., INC.",DENVER CRAMER'S S/S,RD,ALBRIGHT,26519,Preston,-2,1966-05-02,Steel,1,Permanently Out of Service,Yes,1991-10-18,1000.0,Gasoline
3904702,"RINGER TRI-STATE OIL CO., INC.",DENVER CRAMER'S S/S,RD,ALBRIGHT,26519,Preston,-1,1966-05-02,Steel,1,Permanently Out of Service,Yes,1991-10-21,1000.0,Gasoline
3904703,ROCKVILLE MINING COMPANY,ROCKVILLE MINING CO INC (*SJ/REGTO93/CAP),RT 2 BOX 87-X,ALBRIGHT,26519,Preston,-3,1980-02-02,Steel,1,Permanently Out of Service,Yes,1994-04-20,15000.0,Other
