WorkReportedId,LustId,WorkReportedTypeId,WorkReportedTypeCode,WorkReportedDate,ServiceProviderId,ConsultantId,Comment,LastChangeBy,LastChangeDate
1,10229,17,SOILEX,1998-01-28,302658,0, * OTIS Contact text:Dick Sheldon *,BROMAN,1998-08-25 00:00:00.000
2,10229,6,DECOM,1998-01-28,302658,0, * OTIS Contact text:Dick Sheldon *,BROMAN,1998-08-26 00:00:00.000
3,10229,4,ASSESS,1998-01-28,302658,0, * OTIS Contact text:Dick Sheldon *,BROMAN,1998-08-25 00:00:00.000
4,10981,16,SLMAT,1998-07-24,302658,0, * OTIS Contact text:Dick Sheldon *,BROMAN,1998-09-24 00:00:00.000
5,11207,16,SLMAT,1998-09-03,312131,0, * OTIS Contact text:Mark Yinger *,BROMAN,1998-09-22 00:00:00.000
6,10229,4,ASSESS,1998-01-28,302658,0, * OTIS Contact text:Dick Sheldon *,BROMAN,1998-08-25 00:00:00.000
7,11093,4,ASSESS,1998-08-10,312131,0, * OTIS Contact text:Mark Yinger *,BROMAN,1998-08-18 00:00:00.000
8,9798,6,DECOM,1997-09-30,302658,0, * OTIS Contact text:Dick Sheldon *,BROMAN,1998-08-05 00:00:00.000
9,10981,17,SOILEX,1998-07-29,302658,0, * OTIS Contact text:Dick Sheldon *,BROMAN,1998-09-24 00:00:00.000
10,10981,6,DECOM,1998-07-22,302658,0, * OTIS Contact text:Dick Sheldon *,BROMAN,1998-09-24 00:00:00.000
11,10343,17,SOILEX,1998-03-06,0,35, * OTIS Contact text:Pat Barry *,BROMAN,1998-08-06 00:00:00.000
12,7882,6,DECOM,1996-05-01,312589,0, * OTIS Contact text:Jeff Simon *,BROMAN,1998-08-07 00:00:00.000
13,7882,17,SOILEX,1996-05-01,312131,0, * OTIS Contact text:Mark Yinger *,BROMAN,1998-08-07 00:00:00.000
14,7882,6,DECOM,1996-04-09,312131,0, * OTIS Contact text:Mark Yinger *,BROMAN,1998-08-07 00:00:00.000
15,10343,6,DECOM,1998-03-06,0,35, * OTIS Contact text:Pat Barry 0wner preformed work *,BROMAN,1998-08-06 00:00:00.000
16,9327,12,INRESP,1901-01-01,0,0, * OTIS Contact text:WOHLERS *,CONV,1998-08-01 13:20:02.000
17,9417,12,INRESP,1901-01-01,0,0, * OTIS Contact text:Bergeson & Boese *,CONV,1998-08-01 13:20:02.000
18,9569,12,INRESP,1901-01-01,0,0, * OTIS Contact text:Safe-way Tank *,CONV,1998-08-01 13:20:02.000
19,10128,12,INRESP,1901-01-01,0,0, * OTIS Contact text:Universal Aplicators *,CONV,1998-08-01 13:20:02.000
20,10269,12,INRESP,1901-01-01,0,0, * OTIS Contact text:portland tank *,CONV,1998-08-01 13:20:02.000
21,10540,12,INRESP,1901-01-01,0,0, * OTIS Contact text:PSI *,CONV,1998-08-01 13:20:02.000
22,9268,12,INRESP,1901-01-01,0,0, * OTIS Contact text:goodman bros *,CONV,1998-08-01 13:20:02.000
23,10823,12,INRESP,1901-01-01,0,0, * OTIS Contact text:K & S ENVIRON. *,CONV,1998-08-01 13:20:02.000
24,10628,12,INRESP,1901-01-01,0,0," * OTIS Contact text:E.E.M., INC. *",CONV,1998-08-01 13:20:02.000
25,9288,12,INRESP,1901-01-01,0,0, * OTIS Contact text:KGGC *,CONV,1998-08-01 13:20:02.000
26,9168,12,INRESP,1901-01-01,0,0, * OTIS Contact text:bergson & boese *,CONV,1998-08-01 13:20:02.000
27,8465,12,INRESP,1901-01-01,0,0, * OTIS Contact text:Roger Smith *,CONV,1998-08-01 13:20:02.000
28,10932,12,INRESP,1901-01-01,0,0, * OTIS Contact text:CASCADE *,CONV,1998-08-01 13:20:02.000
29,9955,12,INRESP,1901-01-01,0,0, * OTIS Contact text:Safeway Tank *,CONV,1998-08-01 13:20:02.000
30,10086,12,INRESP,1901-01-01,0,0, * OTIS Contact text:goodman Bros *,CONV,1998-08-01 13:20:02.000
31,10971,12,INRESP,1901-01-01,0,0, * OTIS Contact text:CASCADE TANK *,CONV,1998-08-01 13:20:02.000
32,8510,12,INRESP,1901-01-01,0,0, * OTIS Contact text:PORTLAND TANK *,CONV,1998-08-01 13:20:02.000
33,8016,12,INRESP,1901-01-01,0,0, * OTIS Contact text:Goodman *,CONV,1998-08-01 13:20:02.000
34,7788,12,INRESP,1901-01-01,0,0, * OTIS Contact text:Williams and Taylor/ *,CONV,1998-08-01 13:20:02.000
35,10529,12,INRESP,1901-01-01,0,0, * OTIS Contact text:GOODMAN BROS. *,CONV,1998-08-01 13:20:02.000
36,10759,12,INRESP,1901-01-01,0,0, * OTIS Contact text:ADAM'S *,CONV,1998-08-01 13:20:02.000
37,9601,12,INRESP,1901-01-01,0,0, * OTIS Contact text:PDX TANK *,CONV,1998-08-01 13:20:02.000
38,10828,12,INRESP,1901-01-01,0,0, * OTIS Contact text:PETROLEUM CONST. *,CONV,1998-08-01 13:20:02.000
39,10783,12,INRESP,1901-01-01,0,0, * OTIS Contact text:RESIDENTIAL TANK *,CONV,1998-08-01 13:20:02.000
40,4900,12,INRESP,1901-01-01,0,0, * OTIS Contact text:GOODMAN *,CONV,1998-08-01 13:20:02.000
41,6554,12,INRESP,1901-01-01,0,0, * OTIS Contact text:EPMI *,CONV,1998-08-01 13:20:02.000
42,6330,12,INRESP,1901-01-01,0,0, * OTIS Contact text:Portland Tank *,CONV,1998-08-01 13:20:02.000
