facility_id,land_location_id,facility_desc,facilitystatus,created_by,created_date,updated_by,updated_date,tribe_owned,potential_abandoned,state_id_number,icis_number,frs_number
1,1,APACHE COUNTY ROAD DEPT.,Permanent Closed,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
2,2,KAYENTA MOTORS AND SUPPLY,Permanent Closed,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
3,3,CHEVRON CHINLE,Operating,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
4,4,ALAMO NAVAJO COMMUNITY SCHOOL,Operating,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
5,5,ADOT - GANADO MAINTENANCE FACILITY,Operating,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
6,6,ADOT - CAMERON MAINTENANCE FACILITY,Permanent Closed,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
7,7,TONALEA GENERAL STORE #510 (NEW RED LAKE TRADING POST),Operating,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
8,8,BECLAHBETO TRADING POST,Permanent Closed,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
9,9,BIA - BLDG. 851 - NAZLINI SCHOOL,Permanent Closed,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
10,10,BIA - BLDG. 1000 - CHINLE AGENCY,Permanent Closed,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
11,11,BIA - CHILCHINBETO DAY SCHOOL,Permanent Closed,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
12,12,BIA - ENA - BRANCH OF FACILITY MGMT. (ALSO SITE OF FORMER POWER PLANT),Permanent Closed,,2014-02-10 19:05:27,,2017-02-02 10:15:39,FALSE,,,,
13,13,ADOT - NAVAJO SRINGS,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
14,14,BIA -  BRANCH OF FORESTRY,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
15,15,OLJATO TRADING POST,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
16,16,WALLY'S CHEVRON,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
17,17,BURCH'S TRADING POST,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
18,18,KENNETH CAYADITTO SERVICE STATION,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,Y,,,
19,19,PAINTED HILLS TRADING POST,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,Y,,,
20,20,PALMER MERCANTILE CO.(original site),Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,Y,,,
21,21,CEDAR RIDGE TRADING POST,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
22,22,NASCHITTI SCHOOL,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
23,23,CCSD #22 NEWCOMB BUS BARN,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
24,24,CHEVRON - SAINT MICHAEL'S,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
25,25,TSALIE LAKE PRE SCHOOL,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
26,26,MANY FARMS ELEMENTARY SCHOOL,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
27,27,"""CHINLE Unified School District 24, Transportation, Dept.""",Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
28,28,CIRCLE K 1042,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
29,29,CIRCLE K STORE 1068,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
30,30,RED MESA TRADING CO.,Permanent Closed,,2014-02-10 19:05:28,LBRANDT,2021-11-03 12:54:41,FALSE,,,,
31,31,CHIEF CONOCO,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
32,32,SWIRE COCA COLA,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
33,33,CONSOLIDATE COAL - BURNHAM MINE,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
34,34,COPPERMINE TRADING POST,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,Y,,,
35,35,COVE TRADING POST,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,Y,,,
36,36,TSAIlE FINA,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
37,37,CHETO MINES,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,TRUE,,,,
38,38,"""Fort Courage, Inc.""",Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
39,39,THRIFTWAY 504 aka INDIAN WELLS TRADING POST,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
40,40,RED MESA #507 aka NASCHITTI TRADING POST,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
41,41,GANADO UNIFED SCHOOL DISTRICT,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
42,42,GOULDING TRADING POST,Permanent Closed,,2014-02-10 19:05:28,SPLATUK,2021-06-04 19:56:02,FALSE,,,,
43,43,Kayenta Fina Station,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
44,44,GIANT FOUR CORNERS 108 dba CONOCO AKA FT DEFIANCE FINA #108,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
45,45,TSAILE ELEMENTARY SCHOOL,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
46,46,DINE' COLLEGE,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
47,47,CASTLE BUTTE TRADING POST,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,TRUE,,,,
48,48,RAYTHEON MISSILE SYSTEMS CO,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
49,49,IHS - KAYENTA PUBLIC HEALTH SERVICE,Permanent Closed,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
50,50,NORTHERN NAVAJO MEDICAL CENTER,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
51,51,JUNCTION ENTERPRISES (CHEVRON) aka Cameron Mini Mart/EXXON,Operating,,2014-02-10 19:05:28,,2017-02-02 10:15:39,FALSE,,,,
52,52,KAIBETO MARKET/KAIBITO MARKET/PATTERSON FACILITY,Permanent Closed,,2014-02-10 19:05:28,RJAMISON,2019-04-04 18:53:46,FALSE,,,,
53,53,KAYENTA UNIFIED SCHOOL DISTRICT BUS BARN,Permanent Closed,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,,,,
54,54,RIVER VIEW TEXACO SERVICE STATION,Permanent Closed,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,,,,
55,55,SUPER K CHEVRON,Operating,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,,,,
56,56,MARIANO LAKE TRADING POST,Permanent Closed,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,Y,,,
57,57,TEEC NOS POS TRADING POST,Operating,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,,,,
58,58,"""MILTON MONTANO, LESSEE""",Permanent Closed,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,Y,,,
59,59,MEXICAN WATER TRADING POST aka THRIFTWAY 901 or 511,Operating,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,,,,
60,60,Navajo Country Express,Permanent Closed,,2014-02-10 19:05:29,RJAMISON,2017-11-30 12:45:33,FALSE,,,,
61,61,MONUMENT VALLEY ADVENTIST HOSPITAL,Permanent Closed,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,,,,
62,62,TWO GREY HILLS TRADING POST,Permanent Closed,,2014-02-10 19:05:29,,2017-02-02 10:15:39,FALSE,,,,
