ut_facility_oper_hist_id,facility_operator_id,facility_id,start_date,end_date,date_observed,created_by,created_date,updated_by,updated_date,responsible_entity_id,entity_contact_id
1,1.0,1,,,1999-03-19,,2014-02-10 19:05:27,,2020-06-27 10:18:21,1,1.0
2,2.0,2,,,2002-08-15,,2014-02-10 19:05:27,,2020-06-27 10:18:21,2,2.0
3,3.0,3,,,2004-06-21,,2014-02-10 19:05:27,,2020-06-27 10:18:21,3,3.0
4,4.0,5,,,2006-08-02,,2014-02-10 19:05:27,,2020-06-27 10:18:21,4,4.0
5,4.0,6,,,1999-03-23,,2014-02-10 19:05:27,,2020-06-27 10:18:21,4,4.0
6,5.0,8,,,1999-03-18,,2014-02-10 19:05:27,,2020-06-27 10:18:21,5,5.0
7,6.0,9,,,,,2014-02-10 19:05:27,,2020-06-27 10:18:21,6,6.0
8,7.0,10,,,1997-05-21,,2014-02-10 19:05:27,,2020-06-27 10:18:21,7,7.0
9,8.0,11,,,1999-03-16,,2014-02-10 19:05:27,,2020-06-27 10:18:21,8,8.0
10,9.0,12,,,1997-05-22,,2014-02-10 19:05:27,,2020-06-27 10:18:21,9,9.0
11,4.0,13,,,1999-03-23,,2014-02-10 19:05:28,,2020-06-27 10:18:21,4,4.0
12,10.0,14,,,1997-05-22,,2014-02-10 19:05:28,,2020-06-27 10:18:21,10,10.0
13,11.0,15,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,11,11.0
14,12.0,16,,,2002-12-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,12,12.0
15,13.0,17,,,1999-03-19,,2014-02-10 19:05:28,,2020-06-27 10:18:21,13,13.0
16,14.0,19,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,14,14.0
17,15.0,22,,,1997-06-03,,2014-02-10 19:05:28,,2020-06-27 10:18:21,15,15.0
18,16.0,23,,,2005-07-05,,2014-02-10 19:05:28,,2020-06-27 10:18:21,16,16.0
19,17.0,23,,,2008-08-20,,2014-02-10 19:05:28,,2020-06-27 10:18:21,17,17.0
20,18.0,23,,,2008-08-20,,2014-02-10 19:05:28,,2020-06-27 10:18:21,18,18.0
21,19.0,25,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,19,19.0
22,20.0,26,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,20,20.0
23,20.0,27,,,2006-07-31,,2014-02-10 19:05:28,,2020-06-27 10:18:21,20,20.0
24,21.0,29,,,1997-06-04,,2014-02-10 19:05:28,,2020-06-27 10:18:21,21,21.0
25,22.0,31,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,22,22.0
26,23.0,32,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,23,23.0
27,24.0,33,,,1999-03-22,,2014-02-10 19:05:28,,2020-06-27 10:18:21,24,24.0
28,25.0,34,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,25,25.0
29,26.0,35,,,1999-03-17,,2014-02-10 19:05:28,,2020-06-27 10:18:21,26,26.0
30,27.0,36,,,2004-06-21,,2014-02-10 19:05:28,,2020-06-27 10:18:21,27,27.0
31,28.0,37,,,1997-06-04,,2014-02-10 19:05:28,,2020-06-27 10:18:21,28,28.0
32,29.0,38,,,1999-03-17,,2014-02-10 19:05:28,,2020-06-27 10:18:21,29,29.0
33,30.0,38,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,30,30.0
34,31.0,39,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,31,31.0
35,32.0,40,,,2000-10-06,,2014-02-10 19:05:28,,2020-06-27 10:18:21,32,32.0
36,33.0,40,,,2004-10-14,,2014-02-10 19:05:28,,2020-06-27 10:18:21,33,33.0
37,34.0,41,,,1999-03-15,,2014-02-10 19:05:28,,2020-06-27 10:18:21,34,34.0
38,35.0,41,,,2006-10-20,,2014-02-10 19:05:28,,2020-06-27 10:18:21,35,35.0
39,36.0,43,,,2002-08-15,,2014-02-10 19:05:28,,2020-06-27 10:18:21,36,36.0
40,37.0,43,,,1999-03-15,,2014-02-10 19:05:28,,2020-06-27 10:18:21,37,37.0
41,38.0,43,,,2003-03-31,,2014-02-10 19:05:28,,2020-06-27 10:18:21,38,38.0
42,39.0,44,,,1999-02-22,,2014-02-10 19:05:28,,2020-06-27 10:18:21,39,39.0
43,40.0,44,,,2006-08-14,,2014-02-10 19:05:28,,2020-06-27 10:18:21,40,40.0
44,41.0,45,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,41,41.0
45,42.0,47,,,1999-03-22,,2014-02-10 19:05:28,,2020-06-27 10:18:21,42,42.0
46,43.0,49,,,1999-03-16,,2014-02-10 19:05:28,,2020-06-27 10:18:21,43,43.0
47,44.0,50,,,2005-07-05,,2014-02-10 19:05:28,,2020-06-27 10:18:21,44,44.0
48,45.0,50,,,2005-07-05,,2014-02-10 19:05:28,,2020-06-27 10:18:21,45,45.0
49,46.0,51,,,1999-03-18,,2014-02-10 19:05:28,,2020-06-27 10:18:21,46,46.0
51,48.0,54,,,2002-09-19,,2014-02-10 19:05:29,,2020-06-27 10:18:21,48,48.0
53,50.0,55,,,2001-04-02,,2014-02-10 19:05:29,,2020-06-27 10:18:21,50,50.0
55,52.0,57,,,2006-06-05,,2014-02-10 19:05:29,,2020-06-27 10:18:21,52,52.0
56,53.0,58,,,1999-03-22,,2014-02-10 19:05:29,,2020-06-27 10:18:21,53,53.0
58,55.0,61,,,2002-08-15,,2014-02-10 19:05:29,,2020-06-27 10:18:21,55,55.0
60,57.0,63,,,2006-08-02,,2014-02-10 19:05:29,,2020-06-27 10:18:21,57,57.0
61,58.0,65,,,1999-03-17,,2014-02-10 19:05:29,,2020-06-27 10:18:21,58,58.0
63,60.0,67,,,1997-08-07,,2014-02-10 19:05:29,,2020-06-27 10:18:21,60,60.0
65,62.0,69,,,2002-08-05,,2014-02-10 19:05:29,,2020-06-27 10:18:21,62,62.0
66,63.0,70,,,1999-03-18,,2014-02-10 19:05:29,,2020-06-27 10:18:21,63,63.0
68,65.0,74,,,1997-08-11,,2014-02-10 19:05:29,,2020-06-27 10:18:21,65,65.0
70,67.0,77,,,1999-03-18,,2014-02-10 19:05:29,,2020-06-27 10:18:21,67,67.0
71,68.0,78,,,1997-08-12,,2014-02-10 19:05:29,,2020-06-27 10:18:21,68,68.0
73,70.0,80,,,2002-09-25,,2014-02-10 19:05:29,,2020-06-27 10:18:21,70,70.0
74,29.0,83,,,2004-03-23,,2014-02-10 19:05:29,,2020-06-27 10:18:21,29,29.0
75,29.0,84,,,2005-07-29,,2014-02-10 19:05:29,,2020-06-27 10:18:21,29,29.0
