financial_responsibility_id,facility_id,fr_type,issuer,policy_no,effective_start_date,effective_end_date,created_by,created_date,updated_by,updated_date,third_party,first_dollar,occurrence_amount,aggregate_amount,cleanup
207,2819,State Fund,,,,,BNEAR,2006-02-07 00:00:00,,,,,,,
41,656,Insurance,PETROLEUM MARKETERS MANAGEMENT INSURANCE COMPANY,0-005703,2020-03-19,2021-03-18,MCOSSON,2020-10-01 15:45:18,,,,,,,
208,2820,State Fund,,,,,Cambria,2006-01-24 00:00:00,,,,,,,
209,2821,State Fund,,,,,Cambria,2006-01-30 00:00:00,,,,,,,
210,2822,Insurance,,,,,BNEAR,2008-01-10 00:00:00,,,,,,,
211,2822,Insurance,,,,,BNEAR,2010-05-24 00:00:00,,,,,,,
212,2829,State Fund,,,,,Admin,2004-10-21 00:00:00,,,,,,,
213,2830,Self Insured,,,,,Cambria,2005-12-05 00:00:00,,,,,,,
214,2831,Self Insured,,,,,BNEAR,2007-06-11 00:00:00,,,,,,,
215,2833,Self Insured,,,,,BNEAR,2007-06-11 00:00:00,,,,,,,
216,2836,Self Insured,,,,,BNEAR,2007-03-20 00:00:00,,,,,,,
217,2843,State Fund,,,,,BNEAR,2006-02-06 00:00:00,,,,,,,
218,2851,State Fund,,,,,BNEAR,2009-10-28 00:00:00,,,,,,,
219,2852,State Fund,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
220,2853,State Fund,,,,,BNEAR,2006-02-09 00:00:00,,,,,,,
221,2863,Self Insured,,,,,bnear,2002-10-01 00:00:00,,,,,,,
222,2864,State Fund,,,,,Cambria,2006-01-30 00:00:00,,,,,,,
223,2879,State Fund,,,,,Admin,2005-04-14 00:00:00,,,,,,,
224,2891,State Fund,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
225,2892,State Fund,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
226,2897,State Fund,,,,,Admin,2005-07-20 00:00:00,,,,,,,
227,2898,State Fund,North Dakota Petroleum Tank Release Compensation F,2518,2013-07-01,2014-06-30,BNEAR,2008-12-02 00:00:00,,,,,,,
228,2899,State Fund,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
229,2899,Not Listed,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
230,2903,State Fund,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
231,2909,State Fund,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
232,2912,State Fund,See Comments,,,,Admin,2004-03-10 00:00:00,,,,,,,
233,2916,State Fund,,,,,Admin,2004-11-05 00:00:00,,,,,,,
234,2920,State Fund,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
235,2921,State Fund,,,,,BNEAR,2006-06-08 00:00:00,,,,,,,
236,2924,State Fund,,,,,BNEAR,2006-06-07 00:00:00,,,,,,,
237,2925,Insurance,,,,,Cambria,2006-04-10 00:00:00,,,,,,,
238,2927,State Fund,,,,,BNEAR,2006-06-19 00:00:00,,,,,,,
239,2929,State Fund,,,,,BNEAR,2006-06-19 00:00:00,,,,,,,
240,2930,State Fund,,,,,BNEAR,2006-06-19 00:00:00,,,,,,,
241,2931,State Fund,,,,,BNEAR,2007-03-13 00:00:00,,,,,,,
242,2933,State Fund,,,,,BNEAR,2006-06-19 00:00:00,,,,,,,
243,2934,State Fund,,,,,BNEAR,2006-06-22 00:00:00,,,,,,,
244,2934,Not Listed,,,,,BNEAR,2006-06-22 00:00:00,,,,,,,
245,2935,State Fund,,,,,Cambria,2005-12-22 00:00:00,,,,,,,
246,2936,State Fund,,,,,bnear,2003-02-19 00:00:00,,,,,,,
247,2937,Self Insured,,,,,BNEAR,2006-02-17 00:00:00,,,,,,,
248,2938,State Fund,,,,,bnear,2002-12-06 00:00:00,,,,,,,
249,2943,Self Insured,,,,,bnear,2003-02-19 00:00:00,,,,,,,
250,2948,Insurance,,,,,bnear,2003-02-19 00:00:00,,,,,,,
251,2958,Self Insured,,,,,Admin,2005-05-16 00:00:00,,,,,,,
