land_location_id,site_id,drnk_water_well_within_14,location_name,address_1,address_2,city,county,state,zip,phone,tribe_owned,tribe,land_status,potential_abandoned,latitude,longitude,lat_lon_source,location_desc,created_by,created_date,updated_by,updated_date,region_id,tribe_id,geo_location
1,NAV050,,APACHE COUNTY ROAD DEPT.,"""CHINLE YARD US ROUTE 191""",,Chinle,Apache,AZ,86503.0,,FALSE,NAVAJO,Indian Land,,36.149021,-109.593988,,"""CHINLE YARD 
US ROUTE 191""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8282550>
2,NAV172,,KAYENTA MOTORS AND SUPPLY,100 MAIN STREET,,Kayenta,Navajo,AZ,86033.0,(520) 697-3257,FALSE,NAVAJO,Indian Land,,36.727504,-110.253655,,100 MAIN STREET,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8222090>
3,NAV147,,CHEVRON CHINLE,"""P.O. BOX 1578Navajo Route 7""",,Chinle,Apache,AZ,86503.0,(928) 871-4880,FALSE,NAVAJO,Indian Land,,36.154305,-109.559129,OnlineMapGoogle,"""P.O. BOX 1578
Navajo Route 7""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8220510>
4,NAV366,,ALAMO NAVAJO COMMUNITY SCHOOL,North New Mexico Road 169,,Magdalena,Socorro,NM,87825.0,(505) 854-2543 x1301,FALSE,NAVAJO,Indian Land,,34.413799,-107.509707,,HIGHWAY 52,,2014-02-10 18:37:20,AFONG,2021-05-19 19:12:54,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82222d0>
5,NAV257,,ADOT - GANADO MAINTENANCE FACILITY,"""S.R. 264, MP 445.3""",,Ganado,Apache,AZ,86505.0,(602) 712-6524,FALSE,NAVAJO,Indian Land,,35.716654,-109.566328,,"""S.R. 264, MP 445.3""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82214d0>
6,NAV260,,ADOT - CAMERON MAINTENANCE FACILITY,"""U.S. RTE. 89,  MP 466""",,Cameron,Coconino,AZ,86020.0,(602) 712-6524,FALSE,NAVAJO,Indian Land,,35.752222,-111.469167,,"""U.S. RTE. 89,  MP 466""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82204d0>
7,NAV279,,TONALEA GENERAL STORE #510 (NEW RED LAKE TRADING POST),"""22 MILES N. OF TUBA CITY, HWY 160""",,Tonalea,Coconino,AZ,86044.0,(928) 283-5382,FALSE,NAVAJO,Indian Land,,36.318401,-110.947128,,"""22 MILES N. OF TUBA CITY, HWY 160""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82237d0>
8,NAV213,,BECLAHBETO TRADING POST,"""18 M.W. OF SHIPROCK, U.S. 64""",,Beclabito,San Juan,NM,87420.0,(520) 656-3455,FALSE,NAVAJO,Indian Land,,36.831138,-109.014937,,"""18 M.W. OF SHIPROCK, U.S. 64""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82224d0>
9,NAV085,,BIA - BLDG. 851 - NAZLINI SCHOOL,"""BUILDING 851NAZLINI SCHOOL""",,Nazlini,Apache,AZ,86540.0,(928) 755-6125,FALSE,NAVAJO,Indian Land,,35.896518,-109.452077,,"""BUILDING 851
NAZLINI SCHOOL""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8221710>
10,NAV341,,BIA - BLDG. 1000 - CHINLE AGENCY,"""BUILDING 1000CHINLE AGENCY HQ""",,Chinle,Apache,AZ,86503.0,(602) 781-6235,N,NAVAJO,Indian Land,,36.151983,-109.551033,,"""BUILDING 1000CHINLE AGENCY HQ""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8220bd0>
11,NAV088,,BIA - CHILCHINBETO DAY SCHOOL,"""CHILCHINBETO DAY SCHOOLE HWY 160, I.R 59""",,Chilchinbeto,Navajo,AZ,86033.0,(520) 697-3448,FALSE,NAVAJO,Indian Land,,36.526944,-110.08,null,"""CHILCHINBETO DAY SCHOOL
E HWY 160, I.R 59""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82232d0>
12,NAV110,yes,BIA - ENA - BRANCH OF FACILITY MGMT. (ALSO SITE OF FORMER POWER PLANT),WEST OF HWY 317 1.5 M.,,Crownpoint,Mckinley,NM,87313.0,(505) 786-6150,FALSE,NAVAJO,Indian Land,,35.67546,-108.15541,,WEST OF HWY 317 1.5 M.,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82228d0>
13,NAV258,no info,ADOT - NAVAJO SRINGS,STATE HWY. 89-A,,Page,Coconino,AZ,86040.0,(602) 712-6524,FALSE,NAVAJO,Indian Land,,36.774444,-111.620278,,STATE HWY. 89-A,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82216d0>
14,NAV004,,BIA -  BRANCH OF FORESTRY,"""BRANCH OF FORESTRYN. HIGHWAY 12""",,Fort Defiance,Apache,AZ,86504.0,(520) 729-7230,FALSE,NAVAJO,Indian Land,,35.747753,-109.052902,,"""BRANCH OF FORESTRY
N. HIGHWAY 12""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82208d0>
15,NAV174,,OLJATO TRADING POST,"SJC 485, 11 M. W. OF MONUMENT VALLEY JUNCTION",,Monument Valley,San Juan,UT,84536.0,(801) 727-3210,FALSE,NAVAJO,Indian Land,,37.036273,-110.318172,OnlineMapGoogle,"SJC 485, 11 M. W. OF MONUMENT VALLEY JUNCTION",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8223dd0>
16,NAV265,,WALLY'S CHEVRON,I.R. 4 and 29,,Blue Gap,Navajo,AZ,86520.0,(928) 725-3222,FALSE,NAVAJO,Indian Land,,36.075349,-109.989076,,I.R. 4 and 29,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8222350>
17,NAV263,yes,BURCH'S TRADING POST,"""NO STREET ADDRESS, West side of Highway 371 (North of Thoreau)""",,Smith Lake,Mckinley,NM,87365.0,(505) 786-5578,FALSE,NAVAJO,Indian Land,,36.725682,-110.256254,,"""NO STREET ADDRESS, West side of Highway 371 (North of Thoreau)""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8221010>
18,NAV292,unk,KENNETH CAYADITTO SERVICE STATION,HWY 197,,Torreon,Sandoval,NM,87013.0,(505) 731-2320,FALSE,NAVAJO,Indian Land,Y,35.785426,-107.240078,null,HWY 197,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8223410>
