release_id,land_location_id,facility_id,tank_system_id,end_type,note,project_manager,agency_lead,hist_source_of_funding,responsible_party_obs,product_type_released_old,impacted_media_old,chemicals_of_concern,hist_lust_approval,closed_resid_contam,closed_w_followup_needed,nhpa_done,nhpa_date,esa_done,esa_date,created_by,created_date,updated_by,updated_date,sampling_schedule,other_sampling_schedule,fyr_required,release_name,suspected_causes,how_discovered,product_type_released,substance_comments,impacted_media_new,impacted_media_comments,state_lust_id_number
271,473,472.0,,,,13.0,EPA,RP/Tribe/State Lead (no TF),,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
272,475,474.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
273,480,479.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
274,481,480.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
275,482,481.0,,,,13.0,EPA,RP/Tribe/State Lead (no TF),Federal Gov,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
276,647,647.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
277,225,225.0,,Unconditional,,3.0,EPA,Region Lead w/TF,No Viable,Gasoline,Soil/GW,"""Free product, benzene""",Yes,Y,N,Y,,Y,,,2014-02-11 10:52:21,,2021-12-16 11:12:50,,,,Release 1,,,1,,3:2,,
278,679,734.0,,,,12.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline,soil/gw,MTBE,No,,,,,,,,2014-02-11 10:52:21,AFONG,2022-10-11 16:58:22,,,Y,Release 1,,,1,,3:2,,
279,679,734.0,,,,12.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline,soil/gw,MTBE,No,,,,,,,,2014-02-11 10:52:21,AFONG,2022-10-11 16:57:40,,,Y,Release 2,,,1,,3:2,,
280,300,299.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Tribe,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
281,301,300.0,,,,12.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline,Soil/GW,Free product,No,,,,,,,,2014-02-11 10:52:21,AFONG,2022-10-11 14:49:49,,,Y,Release 1,,,1,,3:2,,
282,535,535.0,,Unconditional,,8.0,EPA,RP/Tribe/State Lead (no TF),Private,Gasoline,soil/gw,"""MTBE, benzene""",No,N,N,,,,,,2014-02-11 10:52:21,,2021-12-16 11:12:50,,,,Release 1,,,1,,3:2,,
283,302,301.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
284,608,608.0,,Conditional,,3.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline,groundwater,"""MTBE, BTEX""",No,Y,N,,,,,,2014-02-11 10:52:21,,2021-12-16 11:12:50,,,Y,Release 1,,,1,,2,,
285,648,648.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
287,451,450.0,,,,8.0,EPA,RP/Tribe/State Lead (no TF),State Gov,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
288,304,303.0,,,Site work planned for mid-April,14.0,EPA,Region Lead w/TF,No Viable,Gasoline / Diesel,soil,TPH-diesel,Yes,,,,,,,,2014-02-11 10:52:21,MCOSSON,2023-04-11 15:14:21,,,Y,Release 1,,,2:1,,3,,
289,427,426.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
290,462,461.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
291,306,305.0,,,Confirmation well sampling schedule for mid-March,12.0,EPA,Region Lead w/TF,No Viable,Gasoline / Diesel,soil,"""TPH, benzene""",Yes,,,,,,,,2014-02-11 10:52:21,MCOSSON,2023-02-14 17:06:35,,,Y,Release 1,,,2:1,,3,,
292,309,308.0,,Conditional,No HP or ESA issues identified by Tribe.,10.0,EPA,RP/Tribe/State Lead (no TF),Tribe,diesel,soil,TPH-diesel,No,Y,Y,N,,N,,,2014-02-11 10:52:21,,2021-12-16 11:12:50,,,Y,Release 1,,,2,,3,,
293,310,309.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
294,311,310.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
295,313,312.0,,Unconditional,"Site near Colorado River.
PWS for Park near former UST location",10.0,EPA,Region Lead w/TF,No Viable,Gasoline,soil/gw,"""BTEX, MTBE""",Yes,Y,N,Y,2015-07-09,Y,,,2014-02-11 10:52:21,,2021-12-16 11:12:50,,,Y,Release 1,,,1,,3:2,,
